Compound Id	XLogP
692	0.021
6153	2.316
127983	0.028
291	0.739
21106179	1.663
16425	2.25
23208	-0.816
6105	1.245
11148	0.903
274	2.435
6086	0.418
9256	2.544
923	-0.095
937	-0.467
6085	1.262
217	0.0
9484	2.058
22814	0.0
22408	0.0
9286	2.028
12577	2.263
6084	1.478
6128	1.542
9243	1.261
62827	2.628
6132	1.8
391	0.419
38403	2.466
1087	-0.543
16641	0.691
7954	1.786
864	-0.499
11153	1.382
748	-0.357
6095	1.017
6094	2.047
518	N/A
16841	2.681
6148	2.195
2056044	4.064
6151	2.59
6087	1.04
9095782	2.818
4514529	0.512
10675065	2.888
21106169	0.926
172	0.334
763	-1.044
7956	0.020
7577	0.005
6089	-0.566
6111	1.707
29040	3.019
10606755	2.136
6098	1.549
6120	2.555
13837650	1.74
13853215	3.334
61149	3.790
12197	1.517
682	-0.076
61346	3.555
7558	1.481
7556	2.25
454215	3.019
7557	1.956
278	-0.316
7957	1.848
654	-0.176
9461	2.249
6130	1.937
7555	2.616
11727	1.72
1114	0.063
14441700	2.553
8960	-2.164
6083	1.378
454209	2.295
56442	2.31
6101	-0.143
6097	1.398
175	0.185
4449912	2.31
6102	0.031
9016	2.818
7559	0.293
2018165	1.884
7733	1.277
3644	0.384
6156	2.112
512	0.587
171	-0.08
9646	3.161
9254	2.818
7734	0.428
9411	1.363
13835550	-1.342
6135	0.348
13837190	-0.033
10325078	3.672
7732	1.247
6335	0.241
7738	1.018
14829	2.332
4481813	0.577
10765	2.754
71390	2.275
6149	2.727
13872989	0.116
9391	1.386
6146	0.801
3631	2.603
6121	1.695
61213	2.279
3441	3.156
11099	2.642
11806	2.050
6308	3.124
3168	0.866
6104	1.519
1004	0.282
66567	2.805
1039	1.311
7713	2.819
73583	3.213
6103	1.305
7566	0.284
9994	0.168
10709	0.801
6309	2.348
6088	1.578
13299573	3.893
13836674	1.390
13835316	1.933
6092	1.736
14694	2.537
6313	0.880
11230	0.486
7564	0.215
7616	0.694
2062437	3.035
7712	3.185
4483639	2.774
10437	1.756
30713	2.302
2282428	3.156
6188	3.471
4483638	2.774
7330	2.074
12442	1.941
7546	0.628
9251	3.156
18971812	2.955
71433	2.47
10113	2.372
11755	0.888
7790	-0.159
107412	2.765
56144	3.699
56020	2.480
13835977	0.049
256	1.156
10054	2.09
1005	0.173
553742	2.258
558883	2.480
99596	2.834
6333	0.212
6321	0.438
23055	2.69
8525	0.664
6125	1.816
4514586	0.85
11526	0.412
6322	0.474
6320	0.742
13836549	2.55
6163	3.73
62826	3.103
6108	1.777
11729	1.669
14672	1.32
6118	2.033
7730	0.67
11756	0.876
8544	2.329
23255	0.675
6312	0.579
6338	0.605
12201	3.327
62597	0.485
8329688	2.617
13837797	1.25
10653	0.494
13835336	-1.275
7782	0.786
21106015	0.266
7727	-0.756
558928	2.258
6093	1.857
693	-1.044
11110	3.022
6311	0.577
8896	2.845
5977	2.074
7728	-0.689
2340753	2.875
6340	3.632
9253	2.955
7626	1.786
7604	3.693
7553	1.728
12209	2.619
394562	0.817
10325184	2.875
83734	2.955
6315	2.053
7627	1.124
7717	0.853
387	1.131
60524	0.428
11109	3.388
63631	0.946
6100	1.936
13866746	2.591
7010	3.693
14998	2.059
12446	2.881
7560	1.663
258	0.851
10053	2.428
124968	0.848
7716	0.784
7552	2.094
7737	0.526
10571	0.787
17619	2.196
11809	0.624
13836713	1.297
13836589	-0.17
11833	1.37
13835235	-1.208
7767	3.754
7030	0.202
13836021	-0.885
10124	2.740
59573	1.160
10777	0.731
6341	0.466
10018	0.115
558020	0.348
12626	1.054
13836591	-0.266
11996	1.743
6165	1.159
7714	2.325
13862665	0.856
6042	2.469
7630	0.691
259	0.742
7607	1.007
5894	-0.275
21108550	2.714
7772	1.725
21111806	2.714
236	4.062
9614	2.966
62808	0.428
10492	1.083
7736	0.822
11055	4.299
10446	1.541
7463	0.917
7619	4.201
7016	0.691
13871721	0.640
7739	2.119
7706	1.022
7028	0.986
5730	2.864
6316	2.037
8903	0.469
24590970	3.172
21011	1.311
9325	2.714
415	-0.984
55090	2.448
10947	1.1
10772140	0.157
28994	-0.526
13839553	-0.850
3973	1.911
71312	3.494
3951	0.393
592	-0.591
8904	0.004
8899	0.723
60329	-0.333
6406	0.714
2916	2.195
2293678	3.494
6119	2.412
29015	-0.38
11680	1.063
7624	1.590
7615	0.963
7090	4.543
6122	2.233
7024	3.353
55188	1.678
11117	2.454
13835224	-0.748
6176	0.932
62249	0.988
13803	0.684
10755	4.299
9377	3.326
15077490	3.293
7823	1.582
11125	1.355
6307	2.391
7787	3.414
6334	-0.290
13255	1.446
109838	0.253
11849	1.793
173	-0.808
66656	2.724
13837280	2.642
11845	3.188
11094	4.262
13854944	-0.646
29000	1.359
8398	1.148
10791	0.984
8733	-0.917
10786	4.201
8554	0.884
92731	3.521
7788	2.898
9233	2.027
1020	1.4
11992	1.377
6187	3.608
8158	1.332
11023	4.262
11731	1.566
11207996	1.338
