Compound Id	ZagrebIndex
692	2.0
6153	20.0
127983	2.0
291	0.0
21106179	12.0
16425	42.0
23208	6.0
6105	6.0
11148	2.0
274	6.0
6086	2.0
9256	30.0
923	6.0
937	0.0
6085	2.0
217	0.0
9484	20.0
22814	0.0
22408	0.0
9286	22.0
12577	24.0
6084	2.0
6128	12.0
9243	6.0
62827	34.0
6132	12.0
391	0.0
38403	44.0
1087	6.0
16641	6.0
7954	6.0
864	2.0
11153	6.0
748	2.0
6095	6.0
6094	6.0
518	0.0
16841	30.0
6148	20.0
2056044	58.0
6151	20.0
6087	2.0
9095782	38.0
4514529	0.0
10675065	36.0
21106169	24.0
172	6.0
763	2.0
7956	6.0
7577	10.0
6089	2.0
6111	12.0
29040	30.0
10606755	48.0
6098	6.0
6120	12.0
13837650	10.0
13853215	38.0
61149	58.0
12197	10.0
682	6.0
61346	42.0
7558	10.0
7556	10.0
454215	30.0
7557	10.0
278	6.0
7957	12.0
654	6.0
9461	32.0
6130	12.0
7555	10.0
11727	10.0
1114	12.0
14441700	24.0
8960	2.0
6083	2.0
454209	24.0
56442	10.0
6101	6.0
6097	6.0
175	12.0
4449912	10.0
6102	6.0
9016	30.0
7559	10.0
2018165	16.0
7733	14.0
3644	12.0
6156	20.0
512	10.0
171	12.0
9646	20.0
9254	30.0
7734	14.0
9411	38.0
13835550	10.0
6135	12.0
13837190	14.0
10325078	38.0
7732	14.0
6335	16.0
7738	20.0
14829	20.0
4481813	10.0
10765	16.0
71390	12.0
6149	20.0
13872989	10.0
9391	30.0
6146	20.0
3631	44.0
6121	12.0
61213	24.0
3441	30.0
11099	14.0
11806	14.0
6308	16.0
3168	14.0
6104	6.0
1004	10.0
66567	56.0
1039	6.0
7713	14.0
73583	38.0
6103	6.0
7566	10.0
9994	16.0
10709	14.0
6309	16.0
6088	2.0
13299573	42.0
13836674	10.0
13835316	12.0
6092	6.0
14694	24.0
6313	16.0
11230	16.0
7564	10.0
7616	20.0
2062437	30.0
7712	14.0
4483639	14.0
10437	10.0
30713	22.0
2282428	30.0
6188	38.0
4483638	14.0
7330	20.0
12442	10.0
7546	22.0
9251	30.0
18971812	38.0
71433	24.0
10113	16.0
11755	20.0
7790	24.0
107412	34.0
56144	48.0
56020	14.0
13835977	10.0
256	14.0
10054	20.0
1005	16.0
553742	10.0
558883	14.0
99596	30.0
6333	16.0
6321	16.0
23055	24.0
8525	20.0
6125	12.0
4514586	0.0
11526	20.0
6322	16.0
6320	16.0
13836549	60.0
6163	24.0
62826	34.0
6108	6.0
11729	10.0
14672	24.0
6118	12.0
7730	14.0
11756	20.0
8544	20.0
23255	16.0
6312	16.0
6338	16.0
12201	20.0
62597	14.0
8329688	24.0
13837797	22.0
10653	20.0
13835336	10.0
7782	18.0
21106015	10.0
7727	14.0
558928	10.0
6093	6.0
693	6.0
11110	18.0
6311	16.0
8896	20.0
5977	12.0
7728	14.0
2340753	24.0
6340	22.0
9253	30.0
7626	26.0
7604	20.0
7553	10.0
12209	18.0
394562	14.0
10325184	24.0
83734	30.0
6315	16.0
7627	26.0
7717	14.0
387	22.0
60524	16.0
11109	18.0
63631	22.0
6100	6.0
13866746	54.0
7010	20.0
14998	28.0
12446	20.0
7560	10.0
258	14.0
10053	20.0
124968	30.0
7716	14.0
7552	10.0
7737	20.0
10571	26.0
17619	26.0
11809	14.0
13836713	10.0
13836589	18.0
11833	18.0
13835235	10.0
7767	18.0
7030	26.0
13836021	14.0
10124	22.0
59573	28.0
10777	22.0
6341	22.0
10018	24.0
558020	30.0
12626	18.0
13836591	18.0
11996	28.0
6165	24.0
7714	14.0
13862665	24.0
6042	20.0
7630	26.0
259	20.0
7607	20.0
5894	16.0
21108550	36.0
7772	18.0
21111806	36.0
236	24.0
9614	30.0
62808	30.0
10492	24.0
7736	20.0
11055	28.0
