Compound Id	APol
692	3.896
6153	3.988
127983	1.902
291	4.427
21106179	4.098
16425	6.242
23208	2.406
6105	4.208
11148	4.317
274	3.364
6086	4.854
9256	6.972
923	3.002
937	2.136
6085	6.187
217	3.1
9484	7.191
22814	5.630
22408	6.310
9286	7.082
12577	7.082
6084	7.521
6128	7.301
9243	7.411
62827	10.065
6132	5.721
391	4.234
38403	10.758
1087	4.504
16641	4.082
7954	9.281
864	5.229
11153	5.831
748	3.527
6095	7.947
6094	10.614
518	5.104
16841	8.595
6148	8.814
2056044	12.830
6151	7.234
6087	5.940
9095782	13.269
4514529	2.18
10675065	13.159
21106169	7.993
172	6.989
763	2.938
7956	8.323
7577	7.791
6089	6.194
6111	9.281
29040	9.465
10606755	10.758
6098	7.7
6120	13.708
13837650	10.547
13853215	10.108
61149	12.830
12197	9.707
682	8.323
61346	11.579
7558	11.041
7556	12.374
454215	9.465
7557	11.041
278	4.698
7957	12.374
654	9.288
9461	12.847
6130	7.344
7555	13.708
11727	7.422
1114	12.381
14441700	11.908
8960	4.867
6083	6.810
454209	13.488
56442	12.374
6101	9.288
6097	9.034
175	10.083
4449912	12.374
6102	6.620
9016	10.218
7559	8.749
2018165	8.814
7733	11.843
3644	11.416
6156	20.422
512	10.083
171	7.791
9646	16.802
9254	10.218
7734	10.885
9411	13.649
13835550	11.054
6135	6.464
13837190	12.218
10325078	10.978
7732	13.176
6335	10.885
7738	10.509
14829	10.437
4481813	8.756
10765	15.468
71390	8.214
6149	8.857
13872989	10.083
9391	11.087
6146	14.510
3631	12.381
6121	12.128
61213	11.908
3441	11.088
11099	14.134
11806	14.134
6308	16.802
3168	14.510
6104	7.454
1004	11.416
66567	13.851
1039	10.421
7713	15.468
73583	13.311
6103	10.421
7566	9.714
9994	10.083
10709	14.510
6309	14.134
6088	9.110
13299573	12.449
13836674	10.794
13835316	9.214
6092	9.904
14694	10.328
6313	13.176
11230	15.475
7564	12.381
7616	12.645
2062437	12.668
7712	16.802
4483639	15.468
10437	12.128
30713	10.328
2282428	11.088
6188	11.731
4483638	15.468
7330	12.801
12442	9.794
7546	13.176
9251	11.088
18971812	14.892
71433	22.182
10113	15.468
11755	13.978
7790	11.687
107412	11.688
56144	13.092
56020	14.134
13835977	11.048
256	13.176
10054	15.221
1005	10.885
553742	9.214
558883	14.134
99596	13.421
6333	9.551
6321	13.176
23055	13.531
8525	13.978
6125	10.547
4514586	3.05
11526	11.687
6322	11.843
6320	14.510
13836549	13.902
6163	19.895
62826	12.558
6108	7.560
11729	13.514
14672	17.604
6118	12.998
7730	15.475
11756	10.360
8544	14.134
23255	15.475
6312	14.510
6338	9.558
12201	18.562
62597	13.176
8329688	12.778
13837797	18.030
10653	13.978
13835336	10.090
7782	13.978
21106015	9.836
7727	13.183
558928	9.214
6093	8.324
693	5.662
11110	17.228
6311	12.808
8896	15.468
5977	8.967
7728	12.218
2340753	11.198
6340	19.895
9253	11.841
7626	20.697
7604	19.895
7553	11.664
12209	17.228
394562	11.843
10325184	11.198
83734	11.841
6315	15.221
7627	17.072
7717	12.808
387	12.652
60524	11.850
11109	18.562
63631	18.568
6100	12.204
13866746	14.012
7010	19.895
14998	24.317
12446	18.562
7560	13.514
258	14.510
10053	16.091
124968	11.797
7716	15.475
7552	12.998
7737	13.176
10571	17.072
17619	27.937
11809	12.930
13836713	12.181
13836589	15.312
11833	17.604
13835235	9.125
7767	19.895
7030	10.353
13836021	13.183
10124	17.228
59573	22.026
10777	16.270
6341	13.978
10018	13.978
558020	11.797
12626	16.270
13836591	15.312
11996	20.697
6165	17.604
7714	15.221
13862665	15.738
6042	12.060
7630	13.447
259	13.978
7607	16.270
5894	10.523
21108550	14.341
7772	16.270
21111806	14.341
236	14.561
9614	14.451
62808	11.797
10492	17.072
7736	11.474
11055	22.989
10446	20.166
7463	17.072
7619	22.989
7016	16.270
13871721	13.176
7739	12.607
7706	17.072
7028	16.270
5730	10.48
6316	13.641
8903	11.907
24590970	14.291
21011	17.604
9325	14.341
415	14.148
55090	18.315
10947	17.604
10772140	9.304
28994	8.756
13839553	12.218
3973	14.223
71312	11.958
3951	12.645
592	11.687
8904	11.907
8899	11.280
60329	16.277
6406	15.738
2916	9.194
2293678	11.958
6119	9.837
29015	13.978
11680	17.072
7624	21.662
7615	12.652
7090	17.325
6122	15.298
7024	18.562
55188	20.697
11117	15.894
13835224	12.218
6176	19.364
62249	20.166
13803	22.828
10755	22.989
9377	19.785
15077490	12.711
7823	20.697
11125	17.072
6307	16.091
7787	18.562
6334	11.850
13255	19.364
109838	18.406
11849	20.697
173	8.756
66656	31.031
13837280	10.727
11845	20.322
11094	22.989
13854944	16.277
29000	17.604
8398	17.604
10791	19.364
8733	13.183
10786	22.989
8554	16.270
92731	14.072
7788	17.228
9233	16.608
1020	13.234
11992	20.166
6187	13.354
8158	21.662
11023	22.989
11731	13.321
11207996	19.499
1609	16.277
7721	16.608
1095	15.274
11121	21.655
10498	11.227
7065	20.166
7791	17.235
109705	22.853
7636	13.447
7621	19.364
11551	22.989
13835836	21.499
7711	16.091
8543	13.641
6040	17.604
10445	26.082
11351244	17.654
7770	15.901
23150	34.124
12161	23.630
13874867	16.540
31029	15.298
4444456	12.307
7769	18.568
18607	16.608
10001	17.072
7747	20.166
10788	19.364
23621376	13.616
5993	11.850
8560	22.989
555074	21.655
10437074	13.420
13861343	11.004
7705	18.406
8141	14.936
10512	18.315
11180	20.697
7701	17.072
62589	20.328
7686	20.328
5439	12.652
11056	20.697
7026	16.270
66675	33.322
2005981	9.527
7622	20.697
7684	18.037
8900	8.154
11025	19.364
7475	20.166
59674	14.936
21171407	13.964
11095	19.364
13837537	14.943
10614293	25.415
6326	12.060
56117	28.213
7466	15.745
29036	10.707
7761	20.166
21168808	15.701
11104	26.082
16778	18.406
13835376	21.499
127750	21.499
10790	20.697
2018460	15.051
68503	24.588
13863629	13.071
7674	21.655
1143	7.429
1108	17.654
7029	12.645
29001	15.738
11788	20.328
11732	20.697
7688	15.001
7515	20.166
11794	20.697
13836520	18.832
11678	20.697
2038738	14.1
8562	21.662
29012	20.166
21106535	14.443
13875283	17.545
13867413	13.078
13837702	17.242
5949	19.364
71089	15.001
7551	12.287
11706	20.166
66996	13.420
61487	19.185
10797	22.457
26325086	20.968
7478	17.874
11799	15.745
13839199	16.328
13835459	15.908
11793	20.697
10534	17.654
9326	15.253
63863	29.541
659	11.223
7459	20.697
10787	20.697
12228	21.274
18688	23.259
10795	26.082
55130	23.259
11086	20.322
11841	26.884
12012	20.166
4489	14.831
48024	19.002
11024	20.697
512621	35.089
66655	35.884
21106032	16.734
6330	11.850
11035	26.082
13439	29.176
7021	13.616
7018	13.732
120464	21.408
11864	23.415
4444608	18.030
10948	15.312
11761	22.795
12229	14.036
24099	16.277
22453	23.259
12499	14.814
7833	24.749
7657	23.259
7013	15.154
13837281	12.24
5708	16.710
7703	20.335
4512642	24.749
4516601	24.749
11244	13.616
4516599	24.749
11846	18.995
7812	20.697
10652594	53.046
7766	19.185
844	11.155
13816	14.943
19953955	16.710
7776	19.702
1141	13.511
11857	20.322
66021	13.420
10497	18.391
70715	14.290
21106520	16.328
66809	17.130
10452	41.108
10433	23.259
29107	14.943
10265264	24.749
13874733	16.328
11911	13.574
7811	21.662
13836399	21.499
7676	16.074
7064	20.166
349	26.082
10488	15.738
4514549	5.35
11193	20.166
4512361	24.749
11739	23.791
8552	20.166
8908	21.655
