Compound Id	KierHallSmarts [khs.sCH3]
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	0
11148	1
274	0
6086	0
9256	0
923	0
937	0
6085	0
217	0
9484	1
22814	0
22408	0
9286	0
12577	0
6084	1
6128	1
9243	1
62827	0
6132	0
391	0
38403	0
1087	0
16641	0
7954	1
864	1
11153	0
748	0
6095	1
6094	2
518	N/A
16841	0
6148	1
2056044	0
6151	0
6087	1
9095782	2
4514529	0
10675065	0
21106169	0
172	1
763	0
7956	2
7577	1
6089	1
6111	0
29040	0
10606755	0
6098	0
6120	3
13837650	0
13853215	0
61149	0
12197	0
682	1
61346	0
7558	1
7556	1
454215	0
7557	0
278	0
7957	2
654	2
9461	0
6130	0
7555	2
11727	1
1114	3
14441700	1
8960	0
6083	1
454209	2
56442	2
6101	1
6097	1
175	2
4449912	2
6102	1
9016	0
7559	0
2018165	0
7733	0
3644	2
6156	4
512	1
171	1
9646	4
9254	0
7734	1
9411	1
13835550	0
6135	1
13837190	2
10325078	0
7732	1
6335	2
7738	0
14829	1
4481813	1
10765	2
71390	0
6149	0
13872989	0
9391	1
6146	3
3631	0
6121	2
61213	1
3441	0
11099	0
11806	1
6308	3
3168	2
6104	0
1004	1
66567	1
1039	2
7713	1
73583	1
6103	1
7566	1
9994	0
10709	2
6309	1
6088	1
13299573	0
13836674	0
13835316	0
6092	1
14694	0
6313	2
11230	3
7564	1
7616	1
2062437	1
7712	2
4483639	2
10437	1
30713	0
2282428	0
6188	0
4483638	2
7330	0
12442	0
7546	1
9251	0
18971812	2
71433	3
10113	3
11755	2
7790	0
107412	0
56144	0
56020	1
13835977	0
256	1
10054	3
1005	1
553742	0
558883	1
99596	1
6333	0
6321	2
23055	1
8525	2
6125	1
4514586	0
11526	2
6322	1
6320	2
13836549	0
6163	4
62826	0
6108	0
11729	2
14672	4
6118	2
7730	2
11756	1
8544	0
23255	2
6312	2
6338	1
12201	2
62597	0
8329688	1
13837797	0
10653	2
13835336	0
7782	1
21106015	0
7727	1
558928	0
6093	0
693	0
11110	0
6311	2
8896	0
5977	0
7728	1
2340753	0
6340	4
9253	0
7626	4
7604	3
7553	0
12209	1
394562	1
10325184	0
83734	0
6315	2
7627	3
7717	1
387	2
60524	2
11109	1
63631	4
6100	1
13866746	0
7010	3
14998	4
12446	2
7560	1
258	1
10053	3
124968	0
7716	1
7552	1
7737	0
10571	3
17619	4
11809	0
13836713	0
13836589	2
11833	2
13835235	0
7767	2
7030	0
13836021	1
10124	2
59573	4
10777	3
6341	2
10018	0
558020	0
12626	0
13836591	1
11996	4
6165	3
7714	1
13862665	1
6042	1
7630	2
259	1
7607	2
5894	2
21108550	0
7772	1
21111806	0
236	0
9614	0
62808	0
10492	2
7736	0
11055	4
10446	4
7463	2
7619	4
7016	2
13871721	1
7739	0
7706	2
7028	1
5730	0
6316	1
8903	0
24590970	1
21011	2
9325	0
415	0
55090	3
10947	2
10772140	0
28994	1
13839553	0
3973	1
71312	0
3951	1
592	1
8904	0
8899	0
60329	1
6406	2
2916	0
2293678	0
6119	0
29015	0
11680	2
7624	4
7615	1
7090	0
6122	2
7024	1
55188	4
11117	0
13835224	1
6176	4
62249	4
13803	4
10755	4
9377	1
15077490	0
7823	2
11125	1
6307	2
7787	0
6334	2
13255	2
109838	2
11849	2
173	1
66656	5
13837280	0
11845	1
11094	3
13854944	2
29000	2
8398	2
10791	3
8733	0
10786	4
8554	0
92731	0
7788	0
9233	2
1020	0
11992	3
6187	0
8158	3
11023	3
11731	2
11207996	2
1609	1
7721	1
1095	0
11121	1
10498	0
7065	3
7791	0
109705	0
7636	1
7621	3
11551	3
13835836	3
7711	1
8543	0
6040	1
10445	5
11351244	0
7770	1
23150	6
12161	4
13874867	2
31029	1
4444456	0
7769	1
18607	2
10001	2
7747	3
10788	3
23621376	1
5993	2
8560	2
555074	2
10437074	0
13861343	0
7705	2
8141	0
10512	1
11180	4
7701	1
62589	1
7686	1
5439	1
11056	3
7026	0
66675	6
2005981	0
7622	3
7684	1
8900	0
11025	2
7475	2
59674	1
21171407	0
11095	2
13837537	0
10614293	4
6326	0
56117	4
7466	2
29036	0
7761	2
21168808	1
11104	4
16778	1
13835376	2
127750	2
10790	3
2018460	0
68503	3
13863629	0
7674	1
1143	0
1108	1
7029	0
29001	2
11788	1
11732	3
7688	1
7515	2
11794	2
13836520	0
11678	2
2038738	0
8562	2
29012	2
21106535	0
13875283	1
13867413	1
13837702	0
5949	1
71089	1
7551	0
11706	2
66996	0
61487	3
10797	4
26325086	3
7478	2
11799	1
13839199	1
13835459	0
11793	2
10534	0
9326	0
63863	4
659	2
7459	2
10787	3
12228	0
18688	4
10795	5
55130	3
11086	1
11841	4
12012	1
4489	0
48024	1
11024	2
512621	6
66655	5
21106032	0
6330	1
11035	3
13439	6
7021	2
7018	0
120464	3
11864	1
4444608	1
10948	1
11761	4
12229	0
24099	0
22453	3
12499	0
7833	1
7657	3
7013	0
13837281	0
5708	2
7703	2
4512642	2
4516601	2
11244	2
4516599	2
11846	1
7812	1
10652594	5
7766	1
844	0
13816	2
19953955	1
7776	1
1141	0
11857	0
66021	0
10497	1
70715	0
21106520	1
66809	1
10452	6
10433	3
29107	3
10265264	2
13874733	1
11911	0
7811	1
13836399	1
7676	0
7064	2
349	2
10488	0
4514549	0
11193	3
4512361	2
11739	3
8552	1
8908	0
28986	2
10526	1
17443	1
68832	2
21800	2
10179173	2
81815	0
29016	3
7003	1
59447	1
13839109	2
13865426	2
7678	0
13842613	2
71430	2
7760	2
971	0
10420	2
11695	2
12643	0
7219	1
11784	0
7482	2
13838404	0
7679	0
15443	0
11434292	6
65936	0
13835209	0
7677	0
6342	0
15438	1
1348	1
11216	3
68328	4
4517338	2
11194	4
11819	3
13402	4
20843	2
55091	0
10487	0
15954	3
11045	2
11210	3
7521	2
7641	2
11543	3
13638	0
11752	2
7242	1
11843	2
7530	2
15765	2
10101	3
16791	2
11029	2
9633	1
28992	2
18717	4
6106	0
99440	4
7838	1
120621	3
9581	1
15413	4
7710	0
7536	2
7689	0
10710415	2
14751	1
7073	4
24533	1
7238	1
13835293	2
13866593	0
13875196	1
120489	1
10197150	0
374462	0
13839575	2
8569	2
11600	1
5889	0
191367	1
6967	2
192642	3
1078	0
23101	8
17558	3
55123	1
68179	1
733	0
11042	2
21132380	2
9349	0
73412	0
235	0
7827	2
68156	0
773	0
17880	1
20119	2
70714	0
7225	0
7786	2
7224	0
13448	6
7673	0
10940	2
10939	1
13842993	2
29025	1
1664	0
7128	2
455420	2
11866	1
21105905	1
10772050	0
26765	2
7681	0
7837	1
553642	0
21106560	1
11830	1
7810	1
7815	1
13842001	2
21169510	1
11930	4
10437135	1
7835	1
19956441	1
78	0
67991	4
455353	1
13875281	1
2039535	1
13837686	0
7240	0
123993	3
7849	2
7803	1
11783	0
13839441	0
18219	2
83866	0
13875160	1
11865	1
11077	2
21106586	3
13835772	1
83850	0
7221	0
11699	2
7385	1
7391	1
7670	4
13860335	0
19231	0
29005	2
7443	0
22191	2
7802	2
7389	0
7241	0
6179	0
7694	2
24972	3
62489	1
6286	3
7528	2
11660	2
62230	3
8568	2
7129	1
69371	6
10784857	6
21105871	1
13839082	1
63889	0
21109330	4
10937	2
7236	0
1577	0
122090	7
8909	0
11716	2
12231	1
10384035	1
6270	4
156255	0
7659	3
11409	2
6402	3
11919	4
7856	2
13257	1
21106036	0
13840690	0
7765	0
7538	2
71787	1
441	1
2606	0
11795	1
6287	3
14692	0
7223	0
7685	0
123860	2
7672	0
9970	0
13857694	0
16159	0
7088	3
28969	1
12069	1
11265	4
13648	1
13876539	0
7533	3
7131	1
7434	2
13866817	0
6977	3
13854136	1
447	1
13837760	0
13835151	1
191	0
7234	1
71628	2
7132	1
11087	0
18801	0
13837988	0
10696	8
76894	8
12456	1
12445	4
69569	6
12809	1
7138	0
10236	3
13863618	0
4446445	1
3954	2
55205	2
11021	1
14198	2
29026	1
5976	0
13875258	1
9903	0
7183	3
21181	2
13839416	0
7851	1
18410	1
13865680	1
21112023	1
503239	2
4878	0
932	1
12010	1
63908	1
5830	0
13839308	0
14680	1
28682	1
14169248	2
63310	2
11671339	3
391428	3
122446	4
238	0
7239	1
11863	1
2041618	9
13851576	0
13854248	0
10437215	1
8070	1
370	1
455090	2
11632	2
14840	2
2656	3
78828	6
10422	3
20939	2
69914	3
9976	2
73479	1
924	2
6883	1
5979	0
577	0
13658	4
21106366	1
7419	1
14299946	7
331	0
7448	2
7509	2
