Compound Id	KierHallSmarts [khs.ssCH2]
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	1
11148	0
274	0
6086	0
9256	0
923	0
937	0
6085	0
217	0
9484	0
22814	0
22408	0
9286	0
12577	1
6084	0
6128	0
9243	1
62827	1
6132	0
391	0
38403	0
1087	0
16641	0
7954	0
864	0
11153	1
748	0
6095	0
6094	1
518	N/A
16841	0
6148	0
2056044	0
6151	0
6087	0
9095782	0
4514529	0
10675065	1
21106169	1
172	0
763	0
7956	0
7577	0
6089	0
6111	1
29040	0
10606755	0
6098	0
6120	0
13837650	2
13853215	0
61149	0
12197	0
682	1
61346	1
7558	1
7556	1
454215	0
7557	0
278	0
7957	0
654	0
9461	1
6130	0
7555	2
11727	0
1114	0
14441700	1
8960	0
6083	0
454209	1
56442	0
6101	1
6097	1
175	0
4449912	0
6102	0
9016	0
7559	0
2018165	1
7733	0
3644	0
6156	0
512	1
171	0
9646	0
9254	0
7734	1
9411	1
13835550	2
6135	0
13837190	1
10325078	0
7732	1
6335	0
7738	0
14829	0
4481813	0
10765	0
71390	0
6149	0
13872989	1
9391	0
6146	0
3631	0
6121	0
61213	1
3441	0
11099	1
11806	2
6308	1
3168	2
6104	1
1004	2
66567	0
1039	0
7713	2
73583	0
6103	1
7566	1
9994	3
10709	2
6309	0
6088	0
13299573	1
13836674	1
13835316	0
6092	1
14694	1
6313	0
11230	1
7564	2
7616	0
2062437	0
7712	3
4483639	1
10437	2
30713	0
2282428	0
6188	0
4483638	1
7330	1
12442	2
7546	2
9251	0
18971812	0
71433	0
10113	0
11755	0
7790	3
107412	1
56144	0
56020	0
13835977	1
256	2
10054	0
1005	1
553742	0
558883	0
99596	0
6333	0
6321	1
23055	1
8525	1
6125	0
4514586	0
11526	0
6322	0
6320	1
13836549	0
6163	1
62826	1
6108	0
11729	1
14672	0
6118	0
7730	2
11756	1
8544	3
23255	1
6312	1
6338	1
12201	1
62597	2
8329688	1
13837797	2
10653	1
13835336	2
7782	2
21106015	2
7727	2
558928	0
6093	1
693	0
11110	2
6311	0
8896	5
5977	0
7728	2
2340753	1
6340	0
9253	0
7626	0
7604	2
7553	1
12209	3
394562	0
10325184	1
83734	0
6315	1
7627	0
7717	2
387	0
60524	0
11109	3
63631	0
6100	1
13866746	0
7010	2
14998	1
12446	2
7560	2
258	3
10053	0
124968	0
7716	3
7552	2
7737	4
10571	0
17619	0
11809	3
13836713	1
13836589	2
11833	3
13835235	2
7767	4
7030	2
13836021	2
10124	0
59573	0
10777	0
6341	0
10018	4
558020	0
12626	3
13836591	3
11996	1
6165	1
7714	3
13862665	1
6042	0
7630	0
259	2
7607	2
5894	0
21108550	0
7772	3
21111806	0
236	0
9614	0
62808	0
10492	1
7736	0
11055	2
10446	0
7463	2
7619	1
7016	2
13871721	1
7739	0
7706	2
7028	3
5730	0
6316	1
8903	0
24590970	0
21011	2
9325	0
415	3
55090	1
10947	2
10772140	1
28994	0
13839553	3
3973	0
71312	0
3951	0
592	0
8904	0
8899	0
60329	3
6406	0
2916	1
2293678	0
6119	0
29015	4
11680	2
7624	0
7615	2
7090	0
6122	0
7024	4
55188	1
11117	2
13835224	1
6176	0
62249	0
13803	0
10755	2
9377	5
15077490	0
7823	4
11125	3
6307	1
7787	6
6334	0
13255	2
109838	3
11849	4
173	0
66656	0
13837280	0
11845	4
11094	3
13854944	2
29000	2
8398	2
10791	1
8733	3
10786	1
8554	5
92731	0
7788	4
9233	2
1020	0
11992	1
6187	0
8158	3
11023	3
11731	0
11207996	2
1609	3
7721	3
1095	4
11121	4
10498	2
7065	1
7791	5
109705	0
7636	1
7621	1
11551	3
13835836	2
7711	3
8543	3
6040	4
10445	1
11351244	3
7770	3
23150	0
12161	0
13874867	1
31029	2
4444456	1
7769	4
18607	2
10001	1
7747	1
10788	1
23621376	2
5993	0
8560	5
555074	3
10437074	0
13861343	0
7705	2
8141	4
10512	4
11180	0
7701	3
62589	4
7686	4
5439	1
11056	2
7026	4
66675	0
2005981	0
7622	1
7684	4
8900	0
11025	3
7475	3
59674	2
21171407	1
11095	3
13837537	4
10614293	1
6326	1
56117	2
7466	1
29036	0
7761	2
21168808	0
11104	2
16778	4
13835376	4
127750	4
10790	1
2018460	1
68503	0
13863629	0
7674	5
1143	0
1108	0
7029	3
29001	1
11788	5
11732	2
7688	0
7515	3
11794	3
13836520	3
11678	3
2038738	0
8562	4
29012	3
21106535	2
13875283	0
13867413	1
13837702	4
5949	4
71089	0
7551	2
11706	3
66996	0
61487	1
10797	0
26325086	1
7478	2
11799	3
13839199	0
13835459	4
11793	3
10534	1
9326	0
63863	0
659	0
7459	3
10787	1
12228	0
18688	1
10795	0
55130	2
11086	4
11841	2
12012	4
4489	0
48024	4
11024	3
512621	0
66655	0
21106032	4
6330	1
11035	4
13439	1
7021	0
7018	2
120464	2
11864	5
4444608	2
10948	2
11761	0
12229	0
24099	4
22453	2
12499	0
7833	5
7657	2
7013	2
13837281	0
5708	2
7703	3
4512642	4
4516601	4
11244	0
4516599	4
11846	4
7812	5
10652594	0
7766	4
844	1
13816	1
19953955	3
7776	4
1141	0
11857	5
66021	0
10497	3
70715	0
21106520	0
66809	0
10452	0
10433	2
29107	0
10265264	4
13874733	0
11911	1
7811	5
13836399	5
7676	0
7064	2
349	6
10488	4
4514549	0
11193	1
4512361	4
11739	3
8552	4
8908	7
28986	4
10526	5
17443	0
68832	2
21800	4
10179173	4
81815	0
29016	2
7003	1
59447	3
13839109	3
13865426	2
7678	5
13842613	0
71430	2
7760	4
971	0
10420	4
11695	2
12643	3
7219	1
11784	0
7482	4
13838404	0
7679	5
15443	5
11434292	0
65936	0
13835209	4
7677	5
6342	0
15438	6
1348	0
11216	3
68328	0
4517338	0
11194	1
11819	2
13402	4
20843	0
55091	0
10487	5
15954	2
11045	4
11210	3
7521	0
7641	0
11543	2
13638	7
11752	1
7242	1
11843	4
7530	4
15765	4
10101	0
16791	4
11029	4
9633	7
28992	0
18717	1
6106	1
99440	1
7838	5
120621	0
9581	0
15413	3
7710	3
7536	4
7689	0
10710415	0
14751	6
7073	1
24533	1
7238	0
13835293	2
13866593	5
13875196	0
120489	0
10197150	0
374462	2
13839575	4
8569	6
11600	0
5889	0
191367	4
6967	0
192642	0
1078	2
23101	0
17558	5
55123	5
68179	5
733	2
11042	0
21132380	0
9349	0
73412	4
235	0
7827	4
68156	5
773	0
17880	6
20119	2
70714	0
7225	0
7786	2
7224	0
13448	2
7673	0
10940	0
10939	4
13842993	0
29025	6
1664	0
7128	0
455420	6
11866	5
21105905	1
10772050	0
26765	2
7681	0
7837	6
553642	6
21106560	1
11830	4
7810	5
7815	5
13842001	4
21169510	1
11930	0
10437135	1
7835	6
19956441	4
78	0
67991	0
455353	6
13875281	0
2039535	1
13837686	0
7240	0
123993	3
7849	7
7803	5
11783	0
13839441	5
18219	0
83866	4
13875160	0
11865	6
11077	0
21106586	1
13835772	0
83850	4
7221	0
11699	3
7385	2
7391	1
7670	2
13860335	1
19231	4
29005	5
7443	0
22191	3
7802	5
7389	0
7241	0
6179	0
7694	5
24972	0
62489	0
6286	3
7528	2
11660	1
62230	4
8568	5
7129	0
69371	0
10784857	0
21105871	0
13839082	0
63889	0
21109330	0
10937	0
7236	5
1577	0
122090	0
8909	8
11716	5
12231	0
10384035	1
6270	4
156255	3
7659	0
11409	1
6402	2
11919	4
7856	6
13257	0
21106036	0
13840690	1
7765	4
7538	5
71787	1
441	6
2606	0
11795	3
6287	3
14692	6
7223	1
7685	0
123860	6
7672	5
9970	6
13857694	0
16159	1
7088	0
28969	0
12069	5
11265	0
13648	0
13876539	1
7533	3
7131	0
7434	5
13866817	0
6977	0
13854136	0
447	0
13837760	0
13835151	0
191	4
7234	0
71628	4
7132	0
11087	0
18801	6
13837988	0
10696	0
76894	0
12456	7
12445	0
69569	0
12809	7
7138	0
10236	0
13863618	0
4446445	4
3954	0
55205	3
11021	1
14198	3
29026	6
5976	1
13875258	0
9903	3
7183	0
21181	3
13839416	6
7851	7
18410	8
13865680	1
21112023	0
503239	0
4878	0
932	7
12010	5
63908	0
5830	2
13839308	1
14680	6
28682	0
14169248	3
63310	0
11671339	0
391428	2
122446	0
238	0
7239	0
11863	6
2041618	0
13851576	1
13854248	0
10437215	2
8070	0
370	6
455090	0
11632	4
14840	8
2656	4
78828	0
10422	2
20939	3
69914	0
9976	6
73479	0
924	0
6883	0
5979	0
577	0
13658	0
21106366	1
7419	3
14299946	0
331	0
7448	2
7509	6
