Compound Id	BondCount
692	1
6153	4
127983	1
291	0
21106179	3
16425	6
23208	2
6105	2
11148	1
274	2
6086	1
9256	6
923	2
937	0
6085	1
217	0
9484	4
22814	0
22408	0
9286	5
12577	5
6084	1
6128	3
9243	2
62827	7
6132	3
391	0
38403	9
1087	2
16641	2
7954	2
864	1
11153	2
748	1
6095	2
6094	2
518	0
16841	6
6148	4
2056044	11
6151	4
6087	1
9095782	7
4514529	0
10675065	8
21106169	5
172	2
763	1
7956	2
7577	3
6089	1
6111	3
29040	6
10606755	9
6098	2
6120	3
13837650	3
13853215	7
61149	11
12197	3
682	2
61346	8
7558	3
7556	3
454215	6
7557	3
278	2
7957	3
654	2
9461	7
6130	3
7555	3
11727	3
1114	3
14441700	5
8960	1
6083	1
454209	5
56442	3
6101	2
6097	2
175	3
4449912	3
6102	2
9016	6
7559	3
2018165	4
7733	4
3644	3
6156	4
512	3
171	3
9646	4
9254	6
7734	4
9411	8
13835550	3
6135	3
13837190	4
10325078	7
7732	4
6335	4
7738	5
14829	4
4481813	3
10765	4
71390	3
6149	4
13872989	3
9391	6
6146	4
3631	9
6121	3
61213	5
3441	6
11099	4
11806	4
6308	4
3168	4
6104	2
1004	3
66567	10
1039	2
7713	4
73583	7
6103	2
7566	3
9994	4
10709	4
6309	4
6088	1
13299573	8
13836674	3
13835316	3
6092	2
14694	5
6313	4
11230	4
7564	3
7616	5
2062437	6
7712	4
4483639	4
10437	3
30713	5
2282428	6
6188	7
4483638	4
7330	5
12442	3
7546	5
9251	6
18971812	7
71433	5
10113	4
11755	5
7790	6
107412	7
56144	9
56020	4
13835977	3
256	4
10054	4
1005	4
553742	3
558883	4
99596	6
6333	4
6321	4
23055	5
8525	5
6125	3
4514586	0
11526	5
6322	4
6320	4
13836549	12
6163	5
62826	7
6108	2
11729	3
14672	5
6118	3
7730	4
11756	5
8544	5
23255	4
6312	4
6338	4
12201	5
62597	4
8329688	5
13837797	6
10653	5
13835336	3
7782	5
21106015	3
7727	4
558928	3
6093	2
693	2
11110	5
6311	4
8896	5
5977	3
7728	4
2340753	5
6340	5
9253	6
7626	6
7604	5
7553	3
12209	5
394562	4
10325184	5
83734	6
6315	4
7627	6
7717	4
387	5
60524	4
11109	5
63631	5
6100	2
13866746	11
7010	5
14998	6
12446	5
7560	3
258	4
10053	4
124968	7
7716	4
7552	3
7737	5
10571	6
17619	6
11809	4
13836713	3
13836589	5
11833	5
13835235	3
7767	5
7030	6
13836021	4
10124	5
59573	6
10777	5
6341	5
10018	6
558020	7
12626	5
13836591	5
11996	6
6165	5
7714	4
13862665	6
6042	4
7630	6
259	5
7607	5
5894	4
21108550	8
7772	5
21111806	8
236	6
9614	7
62808	7
10492	6
7736	5
11055	6
10446	7
7463	6
7619	6
7016	5
13871721	4
7739	5
7706	6
7028	6
5730	4
6316	4
8903	6
24590970	6
21011	5
9325	8
415	4
55090	5
10947	5
10772140	4
28994	3
13839553	4
3973	7
71312	6
3951	5
592	5
8904	6
8899	5
60329	5
6406	6
2916	2
2293678	6
6119	3
29015	6
11680	6
7624	6
7615	5
7090	10
6122	3
7024	6
55188	6
11117	6
13835224	4
6176	6
62249	7
13803	7
10755	6
9377	6
15077490	6
7823	6
11125	6
6307	4
7787	6
6334	4
13255	7
109838	6
11849	6
173	3
66656	7
13837280	4
11845	6
11094	6
13854944	5
29000	5
8398	5
10791	6
8733	4
10786	6
8554	6
92731	8
7788	6
9233	4
1020	6
11992	7
6187	7
8158	6
11023	6
11731	3
11207996	7
1609	5
7721	4
1095	5
11121	6
10498	4
7065	7
7791	6
109705	18
7636	7
7621	6
11551	6
13835836	7
7711	4
8543	4
6040	5
10445	7
11351244	8
7770	5
23150	8
12161	8
13874867	7
31029	3
4444456	4
7769	5
18607	4
10001	6
7747	7
10788	6
23621376	5
5993	4
8560	6
555074	6
10437074	7
13861343	6
7705	6
8141	6
10512	5
11180	6
7701	6
62589	7
7686	7
5439	5
11056	6
7026	6
66675	7
2005981	3
7622	6
7684	7
8900	5
11025	6
7475	7
59674	5
21171407	3
11095	6
13837537	6
10614293	7
6326	4
56117	8
7466	6
29036	3
7761	7
21168808	6
11104	7
16778	6
13835376	7
127750	7
10790	6
2018460	7
68503	8
13863629	7
7674	7
1143	3
1108	7
7029	6
29001	6
11788	7
11732	6
7688	7
7515	7
11794	6
13836520	8
11678	6
2038738	8
8562	6
29012	7
21106535	5
13875283	8
13867413	6
13837702	5
5949	6
71089	7
7551	3
11706	7
66996	7
61487	5
10797	7
26325086	9
7478	7
11799	6
13839199	7
13835459	6
11793	6
10534	7
9326	8
63863	8
659	3
7459	6
10787	6
12228	7
18688	8
10795	7
55130	8
11086	7
11841	8
12012	7
4489	8
48024	7
11024	6
512621	8
66655	9
21106032	5
6330	4
11035	7
13439	8
7021	5
7018	5
120464	6
11864	7
4444608	6
10948	5
11761	6
12229	7
24099	5
22453	8
12499	12
7833	7
7657	8
7013	5
13837281	5
5708	6
7703	6
4512642	7
4516601	7
11244	5
4516599	7
11846	6
7812	6
10652594	15
7766	5
844	6
13816	5
19953955	6
7776	5
1141	8
11857	7
66021	7
10497	4
70715	7
21106520	7
66809	8
10452	12
10433	8
29107	5
10265264	8
13874733	7
11911	5
7811	6
13836399	7
7676	7
7064	7
349	7
10488	7
4514549	0
11193	7
4512361	7
11739	7
8552	7
8908	7
28986	7
10526	6
17443	8
68832	7
21800	8
10179173	8
81815	8
29016	8
7003	8
59447	7
13839109	8
13865426	8
7678	7
13842613	8
71430	9
7760	7
971	7
10420	8
11695	7
12643	7
7219	8
11784	7
7482	8
13838404	3
7679	7
15443	8
11434292	11
65936	8
13835209	5
7677	7
6342	5
15438	8
1348	6
11216	7
68328	10
4517338	5
11194	7
11819	7
13402	8
20843	8
55091	6
10487	7
15954	7
11045	8
11210	7
7521	8
7641	8
11543	7
13638	8
11752	5
7242	8
11843	8
7530	8
15765	8
10101	7
16791	7
11029	7
9633	8
28992	8
18717	7
6106	2
99440	7
7838	7
120621	6
9581	9
15413	10
7710	4
7536	8
7689	7
10710415	8
14751	8
7073	9
24533	8
7238	8
13835293	6
13866593	6
13875196	9
120489	8
10197150	7
374462	6
13839575	8
8569	8
