Compound Id	RotatableBondsCount
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	0
11148	0
274	0
6086	0
9256	1
923	0
937	0
6085	0
217	0
9484	0
22814	0
22408	0
9286	1
12577	1
6084	0
6128	0
9243	0
62827	2
6132	0
391	0
38403	3
1087	0
16641	0
7954	0
864	0
11153	0
748	0
6095	0
6094	0
518	0
16841	1
6148	0
2056044	3
6151	0
6087	0
9095782	1
4514529	0
10675065	3
21106169	1
172	0
763	0
7956	0
7577	1
6089	0
6111	0
29040	1
10606755	2
6098	0
6120	0
13837650	1
13853215	1
61149	3
12197	0
682	0
61346	2
7558	0
7556	1
454215	1
7557	1
278	0
7957	0
654	0
9461	3
6130	0
7555	1
11727	0
1114	0
14441700	1
8960	0
6083	0
454209	1
56442	0
6101	0
6097	0
175	0
4449912	0
6102	0
9016	1
7559	1
2018165	1
7733	2
3644	0
6156	0
512	1
171	0
9646	0
9254	1
7734	2
9411	3
13835550	1
6135	0
13837190	2
10325078	1
7732	2
6335	1
7738	0
14829	0
4481813	0
10765	1
71390	0
6149	0
13872989	1
9391	1
6146	0
3631	3
6121	0
61213	1
3441	1
11099	2
11806	1
6308	1
3168	2
6104	0
1004	1
66567	2
1039	0
7713	2
73583	1
6103	0
7566	0
9994	0
10709	2
6309	1
6088	0
13299573	2
13836674	1
13835316	0
6092	0
14694	1
6313	1
11230	1
7564	1
7616	2
2062437	1
7712	2
4483639	1
10437	1
30713	1
2282428	1
6188	1
4483638	1
7330	0
12442	1
7546	1
9251	1
18971812	1
71433	1
10113	0
11755	2
7790	0
107412	2
56144	2
56020	1
13835977	1
256	2
10054	0
1005	1
553742	0
558883	1
99596	1
6333	1
6321	1
23055	1
8525	2
6125	0
4514586	0
11526	2
6322	1
6320	1
13836549	0
6163	1
62826	2
6108	0
11729	1
14672	1
6118	0
7730	2
11756	2
8544	0
23255	1
6312	1
6338	1
12201	2
62597	2
8329688	1
13837797	4
10653	2
13835336	1
7782	3
21106015	1
7727	2
558928	0
6093	0
693	0
11110	3
6311	0
8896	0
5977	0
7728	2
2340753	1
6340	1
9253	1
7626	2
7604	2
7553	1
12209	2
394562	1
10325184	1
83734	1
6315	1
7627	2
7717	1
387	1
60524	0
11109	3
63631	1
6100	0
13866746	0
7010	2
14998	2
12446	2
7560	1
258	2
10053	0
124968	0
7716	2
7552	1
7737	0
10571	2
17619	2
11809	2
13836713	1
13836589	3
11833	3
13835235	1
7767	3
7030	0
13836021	2
10124	1
59573	2
10777	1
6341	1
10018	0
558020	0
12626	3
13836591	3
11996	2
6165	1
7714	2
13862665	3
6042	0
7630	2
259	2
7607	2
5894	1
21108550	0
7772	3
21111806	0
236	0
9614	0
62808	0
10492	3
7736	0
11055	2
10446	2
7463	3
7619	2
7016	2
13871721	1
7739	0
7706	3
7028	0
5730	0
6316	1
8903	0
24590970	1
21011	2
9325	0
415	2
55090	1
10947	2
10772140	1
28994	1
13839553	2
3973	2
71312	1
3951	1
592	1
8904	0
8899	0
60329	3
6406	2
2916	0
2293678	1
6119	0
29015	0
11680	3
7624	2
7615	2
7090	1
6122	0
7024	0
55188	2
11117	0
13835224	1
6176	1
62249	2
13803	3
10755	2
9377	4
15077490	1
7823	4
11125	4
6307	1
7787	0
6334	1
13255	0
109838	4
11849	4
173	0
66656	2
13837280	0
11845	3
11094	3
13854944	2
29000	2
8398	2
10791	2
8733	2
10786	2
8554	0
92731	2
7788	0
9233	2
1020	0
11992	3
6187	1
8158	3
11023	3
11731	1
11207996	3
1609	3
7721	2
1095	0
11121	4
10498	1
7065	3
7791	0
109705	3
7636	0
7621	2
11551	3
13835836	4
7711	2
8543	2
6040	3
10445	2
11351244	0
7770	2
23150	2
12161	4
13874867	3
31029	1
4444456	1
7769	3
18607	2
10001	2
7747	3
10788	2
23621376	3
5993	1
8560	4
555074	3
10437074	0
13861343	1
7705	3
8141	0
10512	3
11180	1
7701	3
62589	0
7686	0
5439	2
11056	2
7026	0
66675	1
2005981	0
7622	2
7684	0
8900	0
11025	3
7475	4
59674	1
21171407	1
11095	3
13837537	0
10614293	2
6326	1
56117	4
7466	3
29036	0
7761	4
21168808	0
11104	3
16778	4
13835376	5
127750	5
10790	2
2018460	2
68503	4
13863629	1
7674	0
1143	0
1108	0
7029	0
29001	2
11788	0
11732	2
7688	0
7515	4
11794	3
13836520	4
11678	3
2038738	0
8562	4
29012	4
21106535	2
13875283	0
13867413	2
13837702	3
5949	4
71089	0
7551	1
11706	4
66996	0
61487	1
10797	2
26325086	0
7478	4
11799	3
13839199	0
13835459	0
11793	3
10534	0
9326	0
63863	2
659	0
7459	3
10787	2
12228	0
18688	3
10795	2
55130	4
11086	0
11841	4
12012	5
4489	0
48024	0
11024	3
512621	2
66655	3
21106032	3
6330	1
11035	4
13439	2
7021	2
7018	2
120464	2
11864	4
4444608	3
10948	2
11761	2
12229	0
24099	3
22453	4
12499	0
7833	5
7657	4
7013	2
13837281	0
5708	3
7703	3
4512642	4
4516601	4
11244	1
4516599	4
11846	3
7812	4
10652594	0
7766	3
844	2
13816	2
19953955	4
7776	3
1141	0
11857	0
66021	0
10497	2
70715	0
21106520	0
66809	1
10452	0
10433	4
29107	1
10265264	0
13874733	0
11911	1
7811	4
13836399	5
7676	0
7064	3
349	5
10488	0
4514549	0
11193	2
4512361	4
11739	3
8552	4
8908	0
28986	4
10526	4
17443	1
68832	3
21800	0
10179173	0
81815	1
29016	4
7003	4
59447	0
13839109	5
13865426	4
7678	0
13842613	0
71430	2
7760	4
971	0
10420	5
11695	4
12643	0
7219	1
11784	0
7482	5
13838404	0
7679	0
15443	1
11434292	4
65936	0
13835209	3
7677	0
6342	1
15438	2
1348	0
11216	3
68328	4
4517338	1
11194	2
11819	3
13402	4
20843	0
55091	1
10487	0
15954	3
11045	5
11210	3
7521	0
7641	0
11543	3
13638	0
11752	2
7242	1
11843	5
7530	0
15765	0
10101	3
16791	3
11029	4
9633	6
28992	0
18717	2
6106	0
99440	2
7838	5
120621	2
9581	1
15413	6
7710	2
7536	5
7689	0
10710415	4
14751	1
7073	4
24533	1
7238	1
13835293	2
13866593	4
13875196	1
120489	1
10197150	2
374462	0
13839575	6
8569	6
11600	1
5889	0
191367	4
6967	0
192642	2
1078	3
23101	4
17558	5
55123	6
68179	5
733	2
11042	0
21132380	0
9349	0
73412	3
235	1
7827	4
68156	4
773	0
17880	5
20119	3
70714	0
7225	0
7786	3
7224	0
13448	3
7673	0
10940	0
10939	0
13842993	1
29025	6
1664	0
7128	1
455420	6
11866	4
21105905	1
10772050	1
26765	3
7681	0
7837	5
553642	0
21106560	1
11830	3
7810	4
7815	4
13842001	4
21169510	3
11930	2
10437135	2
7835	5
19956441	5
78	0
67991	2
455353	6
13875281	0
2039535	2
13837686	0
7240	1
123993	4
7849	6
7803	5
11783	0
13839441	4
18219	2
83866	0
13875160	0
11865	5
11077	0
21106586	4
13835772	0
83850	0
7221	1
11699	5
7385	2
7391	2
7670	4
13860335	1
19231	1
29005	6
7443	1
22191	4
7802	5
7389	1
7241	0
6179	1
7694	6
24972	0
62489	1
6286	5
7528	0
11660	1
62230	4
8568	6
7129	1
69371	2
10784857	0
21105871	0
13839082	0
63889	0
21109330	1
10937	0
7236	0
1577	0
122090	5
8909	0
11716	6
12231	0
10384035	2
6270	8
156255	0
7659	0
11409	1
6402	0
11919	4
7856	6
13257	0
21106036	1
13840690	1
7765	3
7538	6
71787	3
441	6
2606	1
11795	3
6287	6
14692	7
7223	1
7685	0
123860	7
7672	0
9970	0
13857694	0
16159	2
7088	1
28969	2
12069	5
11265	3
13648	1
13876539	2
7533	4
7131	1
7434	5
13866817	0
6977	0
13854136	0
447	1
13837760	0
13835151	0
191	5
7234	1
71628	4
7132	1
11087	0
18801	5
13837988	0
10696	0
76894	6
12456	6
12445	2
69569	4
12809	7
7138	1
10236	0
13863618	1
4446445	5
3954	2
55205	4
11021	1
14198	0
29026	5
5976	0
13875258	0
9903	0
7183	1
21181	4
13839416	5
7851	6
18410	4
13865680	1
21112023	1
503239	1
4878	0
932	6
12010	4
63908	1
5830	2
13839308	1
14680	5
28682	1
14169248	5
63310	0
11671339	3
391428	0
122446	2
238	1
7239	1
11863	5
2041618	6
13851576	1
13854248	0
10437215	3
8070	1
370	6
455090	1
11632	5
14840	7
2656	0
78828	6
10422	5
20939	1
69914	3
9976	6
73479	1
924	1
6883	2
5979	1
577	0
13658	0
21106366	2
7419	3
14299946	0
331	1
7448	2
7509	7
12632	6
61001	2
