Compound Id	AutocorrelationMass [ATSm5]
502855	16.325
6191	0.0
26325183	29.672
5709	6.495
6153	0.0
16425	0.0
8521	58.602
23150	9.0
76894	30.367
2041618	40.381
8520	42.031
66656	6.0
26824	49.381
18019	80.763
11434292	27.491
26325084	146.132
6190	0.0
11919	6.0
10696	51.798
26325083	129.562
10451	82.854
23101	25.460
122090	30.137
26325082	112.991
26325081	96.420
512621	6.0
10449	99.424
26325080	79.849
66655	11.338
10652594	55.533
14021447	63.279
67991	24.520
109705	34.472
17619	4.0
9256	0.0
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	1.0
6308	0.0
9646	0.0
10781	3.0
15802	6.0
17976	5.0
7767	2.0
7604	2.0
7010	1.0
6163	0.0
6340	0.0
8560	3.0
11094	3.0
11023	3.0
11055	3.0
10786	2.0
7619	4.0
10755	1.0
11551	3.0
349	4.0
11035	4.0
11104	4.0
10795	4.0
10445	6.0
7849	5.0
17558	5.0
13439	9.0
13402	6.0
14840	6.0
13448	6.0
13619	7.0
7890	8.0
11882	9.0
11883	10.0
10540	12.0
7929	16.0
11897	17.0
11899	18.0
12017	19.0
12072	20.0
11900	21.0
11901	22.0
11146	23.0
11902	24.0
10542	28.0
11906	32.0
8878	0.0
11585	9.495
11557190	46.708
10452	19.993
10784857	67.439
108106	93.212
127983	0.0
78828	30.137
68328	13.677
67414	51.053
13837650	0.0
13853215	0.0
9392	0.0
10765	0.0
7674	1.0
14998	3.0
10614293	6.0
61149	26.343
6156	0.0
12201	2.0
11109	2.0
24142	11.0
13622	10.0
16180	9.0
7891	8.0
12446	2.0
29025	5.0
12635	7.0
11121	3.0
7713	1.0
12809	6.0
7833	4.0
7556	0.0
7954	0.0
555074	3.0
7957	0.0
4516601	4.0
56442	0.0
4483639	1.0
4516599	4.0
4512361	4.0
4483638	1.0
4449912	0.0
4512642	4.0
18410	6.0
22408	0.0
66675	0.0
10113	0.0
9484	0.0
23208	0.0
6085	0.0
7024	0.0
15438	4.0
8896	0.0
14751	3.0
221117	2.0
7787	0.0
8908	0.0
8909	4.0
8910	10.0
71433	0.0
22814	0.0
9095782	0.0
6151	0.0
14299946	54.011
6188	0.0
11099	1.0
73583	0.0
7340	12.499
8158	3.0
11110	2.0
9642	0.0
12577	0.0
11996	3.0
10756390	72.505
62827	5.004
7626	4.0
10265264	2.0
13835550	0.0
56117	7.664
11230	0.0
63631	0.0
11086	1.0
21106179	0.0
11841	5.0
6402	5.0
1406720	22.0
2056044	24.503
1114	0.0
14692	6.0
10179173	2.0
21800	2.0
8544	0.0
7788	0.0
4927801	134.621
9088156	36.528
29040	0.0
10325078	0.0
55188	1.0
7624	4.0
68224	70.505
24263	6.0
6364	3.0
11749	2.0
14672	0.0
11228	0.0
11864	4.0
12209	2.0
11857	0.0
391428	6.0
10733068	108.237
454638	20.0
12456	6.0
17880	5.0
11845	3.0
11806	1.0
9990	0.0
6309	0.0
7557	0.0
558883	1.0
56020	1.0
10124	0.0
6111	0.0
10265270	6.0
14198	5.0
7794	5.0
7180	6.0
9286	0.0
9411	7.077
14441700	0.0
6148	0.0
6149	0.0
15765	2.0
553642	4.0
15413	13.993
7182	6.0
10669	6.0
66567	22.518
6132	0.0
8569	5.664
12220	7.664
7823	3.0
11849	3.332
10441	0.0
3168	1.0
11833	2.332
455420	5.332
10709	1.0
7558	0.0
6095	0.0
10179239	6.0
12197	0.0
11761	4.0
6108	0.0
69914	34.023
59573	1.0
70850	0.0
38403	12.913
11671339	35.023
7956	0.0
55090	0.0
11180	0.0
274	0.0
6145	0.0
10053	0.0
28993	6.0
59483	18.997
11811	1.0
7777	2.166
15482	7.332
454215	0.0
7856	5.332
8562	3.0
10054	0.0
7730	1.0
11739	4.332
11056	3.332
6146	0.0
9461	5.745
654	0.0
11194	2.0
6165	0.0
11216	4.332
62230	6.332
16791	4.0
18717	3.0
11210	3.0
518	0.0
11117	0.0
205483	9.163
10979	6.0
61346	29.019
6186	0.0
391	0.0
69371	9.0
69569	38.467
6310	0.0
7606	2.332
7181	6.0
99596	0.0
23255	0.0
6123	0.0
4514529	0.0
11351244	0.0
499714	4.997
78467	9.329
16841	0.0
2062437	0.0
61266	64.816
15954	4.332
11819	4.332
7622	4.664
99440	6.996
11239	0.0
11543	4.332
10790	2.0
6187	0.0
2656	7.0
6827	10.0
20939	6.0
9016	0.0
7817	3.332
11788	1.0
13835316	0.0
6270	21.985
454209	0.0
9633	5.582
9377	3.582
9243	0.0
11148	0.0
923	0.0
6121	0.0
8576	7.166
7851	5.166
15387	6.166
6315	0.0
7811	3.166
7835	4.166
7769	2.166
7716	1.166
7564	0.0
6101	0.0
6089	0.0
6118	0.0
8577	8.670
14349	7.670
7852	6.670
14680	5.670
7776	3.670
7330	0.0
6122	0.0
63863	11.103
2282428	0.0
15486	8.664
7732	1.0
18920	5.332
11861	6.332
123993	7.664
11036	4.332
11029	5.664
11794	3.332
11732	3.996
10511	4.332
21011	2.332
11678	3.332
7533	7.664
3644	0.0
6320	0.0
10947	1.0
6164	0.0
11729	0.0
9254	0.0
9251	0.0
6307	0.0
62589	1.166
7686	1.0
13837280	0.0
9253	0.0
13255	1.0
10512	3.952
13837797	3.0
16641	0.0
6098	0.0
10536	8.340
7827	3.0
9233	1.0
18607	1.0
5730	0.0
3441	0.0
83734	0.0
217	0.0
56559	15.332
9053802	11.332
10787	2.332
29000	2.664
11793	3.332
10526	4.952
120464	1.0
7434	6.664
7459	3.332
11024	3.664
6312	0.0
8398	1.332
24590970	0.0
7733	1.0
56144	27.724
23055	0.0
6130	0.0
7850	6.952
11865	5.952
7714	2.952
10437	0.0
6097	0.0
12219	11.653
7848	10.653
61487	0.0
11863	9.653
7810	8.653
7766	7.653
7711	6.653
7552	0.0
6092	0.0
7791	0.0
12010	12.566
11830	11.566
10497	10.566
31029	0.0
6100	0.0
12228	2.338
6042	0.0
553742	0.0
13836713	0.0
13803	3.0
11898	17.332
72522	16.332
7928	15.332
14348	14.332
2581	13.332
11891	12.332
7917	11.332
7915	10.332
7901	9.332
7892	8.332
7882	7.332
8574	6.332
932	5.332
7812	3.332
7837	4.332
6040	2.332
258	1.332
1004	0.0
682	0.0
7815	4.670
7560	0.0
6103	0.0
6635	46.658
14829	0.0
6087	0.0
11525	1.0
7721	2.670
6083	0.0
1039	0.0
6088	0.0
864	0.0
13837281	0.0
937	0.0
56232	8.498
71390	0.0
5979	0.0
13837190	1.0
7074	6.332
15077490	0.0
13872989	0.0
13638	4.166
7170	11.0
10534	0.0
6128	0.0
9391	0.0
6086	0.0
10410	7.0
68503	6.0
10675065	11.331
14694	0.0
7090	10.491
7028	0.0
63156	3.332
12626	2.332
62597	1.332
15803	11.328
10487	2.952
13492	9.0
15747	10.0
8356	7.0
13849981	7.332
12933	23.716
6105	0.0
18971812	0.0
14688	12.498
6125	0.0
13835977	0.0
5977	0.0
71876	9.664
7128	5.0
7183	6.0
7088	7.0
15461	9.0
13299573	46.582
107412	9.338
7073	6.332
455353	5.664
16778	3.332
7705	3.332
2340753	0.0
7728	1.332
8554	0.0
10340	0.0
21112738	0.0
4481813	0.0
13487	8.0
7385	5.0
8531	7.0
7448	6.0
4514586	0.0
764	2.664
10325184	0.0
6406	2.0
12066	0.0
7738	0.0
7098	13.155
10404	7.0
7419	6.0
7219	3.0
11660	4.0
6999	6.0
5026296	3.996
18688	5.332
7737	0.0
13871721	1.332
1108	1.0
236	0.0
7521	2.0
7641	3.0
7659	6.0
11871	7.340
55130	8.328
10433	5.332
11992	5.664
13836399	4.664
7703	3.360
10253	8.0
60886	52.648
83962	12.660
12161	6.0
7671	10.328
10446	6.996
62249	3.0
11526	1.0
13571291	0.0
71312	0.0
7026	0.0
7678	1.332
9970	2.664
7672	6.653
7786	2.0
8335	8.0
6301	7.332
10606755	15.012
7657	8.660
22453	6.996
7065	4.332
11193	2.664
13836591	2.332
13875283	2.582
7553	0.0
11409	5.0
13249	13.664
3631	17.247
13835836	5.664
55084	9.328
7694	8.328
7482	6.996
11716	6.664
11045	5.664
7515	4.332
13836549	24.503
7546	0.0
7677	1.166
13836674	0.0
2293678	0.0
6967	2.0
6977	4.0
21168808	0.0
960	14.664
6177	0.0
61213	0.0
20545	16.664
7472	5.664
11207996	6.328
29016	5.996
7747	4.332
7627	4.664
10571	2.0
7076	6.664
6649	6.328
8012	2.664
7003	5.332
13854944	2.664
6104	0.0
4937830	0.0
61191	11.823
9614	1.582
7739	0.0
8883	3.0
7757	11.996
7511	9.996
7509	8.996
29005	7.996
10420	6.996
7478	6.328
7475	5.996
7463	3.332
6333	0.0
21111806	5.666
10364	3.0
21111820	0.0
21171407	0.0
3210	14.664
10756	7.332
11910	0.0
7469	6.328
7064	4.664
60329	2.166
13842001	5.664
13850082	16.328
21106169	0.0
7872	8.664
7875	10.664
7913	12.664
7670	10.328
8568	6.664
14846	8.664
7800	7.664
11843	5.664
29012	4.664
10797	4.0
7538	6.664
7536	5.664
11755	2.664
7706	3.332
7761	4.996
10492	3.332
11680	3.664
11706	4.664
10653	1.0
68179	5.498
10001	5.328
6341	0.0
11727	0.0
7727	1.166
3951	0.0
21108550	3.164
13836021	1.332
9724	5.0
11731	0.0
8950	5.0
14866	10.0
6720	11.328
13850142	8.664
558917	8.664
11153	0.0
7559	0.0
558928	0.0
415	1.360
390927	8.664
10236	4.0
7012	1.332
11065	2.664
28981	6.664
99681	17.660
8525	2.332
6176	0.0
7081	3.664
6313	0.0
13837702	2.332
9903	4.0
13849989	8.664
55123	5.664
12012	4.664
7534	6.664
10791	2.0
11125	3.664
7782	2.332
8552	4.664
7701	3.664
6316	0.0
9325	3.164
13866593	3.332
11911	0.0
55091	0.0
552744	2.664
7888	9.664
12013	11.664
123860	6.664
28986	5.664
2863	8.664
6335	0.0
7803	5.664
259	2.664
7616	2.332
171	0.0
24641	12.103
7129	5.0
7866	7.664
3756	10.664
10033	15.664
30713	0.0
10788	2.332
7621	4.664
8329688	0.0
10777	0.0
441	5.332
7838	4.332
5949	3.332
370	6.664
29029	6.332
