Compound Id	BCUT [BCUTw-1h]
502855	15.998
6191	19.004
26325183	31.972
5709	15.998
6153	19.002
16425	31.973
8521	27.981
23150	27.978
76894	27.980
2041618	27.980
8520	27.980
66656	27.978
26824	27.980
18019	27.981
11434292	N/A
26325084	27.986
6190	34.969
11919	27.977
10696	27.980
26325083	27.985
10451	27.981
23101	27.979
122090	27.979
26325082	27.984
26325081	27.983
512621	27.978
10449	27.982
26325080	27.982
66655	27.978
10652594	27.981
14021447	27.981
67991	34.970
109705	19.007
17619	27.978
9256	19.003
692	16.006
291	12.0
6084	12.11
6094	12.110
7555	12.110
6120	12.110
7712	12.110
6308	12.110
9646	12.110
10781	12.110
15802	12.110
17976	12.110
7767	12.110
7604	12.110
7010	12.110
6163	12.110
6340	12.110
8560	12.110
11094	12.110
11023	12.110
11055	12.110
10786	12.110
7619	12.110
10755	12.110
11551	12.110
349	12.110
11035	12.110
11104	12.110
10795	12.110
10445	12.110
7849	12.110
17558	12.110
13439	12.110
13402	12.110
14840	12.110
13448	12.110
13619	12.110
7890	12.110
11882	12.110
11883	12.110
10540	12.110
7929	12.110
11897	12.110
11899	12.110
12017	12.110
12072	12.110
11900	12.111
11901	12.111
11146	12.111
11902	12.111
10542	12.111
11906	12.111
8878	12.1
11585	15.996
11557190	27.980
10452	27.979
10784857	27.982
108106	27.980
127983	16.017
78828	27.979
68328	27.978
67414	27.979
13837650	34.970
13853215	34.970
9392	34.970
10765	12.110
7674	12.1
14998	27.978
10614293	12.110
61149	19.006
6156	27.978
12201	12.110
11109	12.210
24142	12.110
13622	12.110
16180	12.110
7891	12.210
12446	12.110
29025	12.110
12635	12.110
11121	12.110
7713	12.210
12809	12.210
7833	12.110
7556	12.210
7954	12.210
555074	12.110
7957	12.110
4516601	12.110
56442	12.110
4483639	12.110
4516599	12.110
4512361	12.110
4483638	12.110
4449912	12.110
4512642	12.110
18410	12.110
22408	74.922
66675	27.978
10113	12.110
9484	19.0
23208	16.205
6085	12.21
7024	12.1
15438	12.1
8896	12.1
14751	12.1
221117	12.110
7787	12.1
8908	12.1
8909	12.1
8910	12.1
71433	27.977
22814	30.974
9095782	19.002
6151	34.970
14299946	27.980
6188	34.971
11099	12.210
73583	34.970
7340	14.003
8158	14.003
11110	12.210
9642	12.210
12577	19.002
11996	15.995
10756390	27.980
62827	19.003
7626	15.995
10265264	12.1
13835550	14.009
56117	27.978
11230	14.009
63631	14.009
11086	12.1
21106179	19.001
11841	15.995
6402	12.110
1406720	12.110
2056044	19.006
1114	14.009
14692	12.210
10179173	12.1
21800	12.110
8544	12.1
7788	12.1
4927801	27.981
9088156	27.979
29040	78.918
10325078	78.918
55188	15.998
7624	14.003
68224	27.980
24263	12.110
6364	12.1
11749	15.998
14672	15.998
11228	15.998
11864	12.310
12209	12.310
11857	12.1
391428	12.110
10733068	27.981
454638	12.110
12456	12.110
17880	12.110
11845	12.110
11806	12.110
9990	12.110
6309	12.210
7557	12.210
558883	12.110
56020	12.110
10124	12.110
6111	12.1
10265270	12.1
14198	12.110
7794	14.003
7180	12.110
9286	19.002
9411	19.0
14441700	34.969
6148	34.969
6149	34.971
15765	12.110
553642	12.1
15413	27.978
7182	12.110
10669	12.1
66567	19.004
6132	34.969
8569	15.995
12220	15.995
7823	15.995
11849	15.995
10441	15.998
3168	15.995
11833	15.998
455420	15.998
10709	15.998
7558	12.110
6095	12.110
10179239	12.1
12197	12.210
11761	31.972
6108	31.975
69914	27.979
59573	27.978
70850	14.009
38403	19.004
11671339	27.979
7956	15.998
55090	34.969
11180	15.998
274	16.006
6145	14.003
10053	78.918
28993	12.110
59483	27.979
11811	14.009
7777	14.009
15482	14.003
454215	78.918
7856	14.003
8562	14.003
10054	34.969
7730	14.003
11739	15.995
11056	15.995
6146	15.998
9461	19.0
654	14.009
11194	15.995
6165	15.995
11216	15.995
62230	15.995
16791	12.110
18717	15.995
11210	15.995
518	N/A
11117	12.1
205483	15.995
10979	12.110
61346	34.969
6186	34.972
391	31.972
69371	31.972
69569	34.970
6310	14.003
7606	14.003
7181	12.1
99596	34.970
23255	14.003
6123	14.003
4514529	34.969
11351244	12.2
499714	15.995
78467	15.996
16841	34.969
2062437	78.918
61266	19.008
15954	15.995
11819	15.995
7622	15.995
99440	15.995
11239	15.995
11543	15.998
10790	15.995
6187	34.972
2656	15.995
6827	12.1
20939	12.110
9016	34.970
7817	15.995
11788	14.008
13835316	34.970
6270	27.977
454209	18.999
9633	18.998
9377	18.998
9243	18.998
11148	19.0
923	16.001
6121	34.969
8576	14.003
7851	14.003
15387	14.003
6315	34.969
7811	14.009
7835	14.003
7769	14.003
7716	14.003
7564	14.009
6101	14.003
6089	14.009
6118	78.918
8577	31.972
14349	31.973
7852	31.973
14680	31.972
7776	31.972
7330	12.1
6122	126.904
63863	27.978
2282428	78.918
15486	15.995
7732	15.995
18920	15.995
11861	15.995
123993	15.995
11036	15.995
11029	15.995
11794	15.995
11732	15.995
10511	15.995
21011	15.995
11678	15.998
7533	15.995
3644	15.998
6320	15.995
10947	15.995
6164	15.995
11729	31.973
9254	34.970
9251	78.918
6307	78.918
62589	14.008
7686	14.008
13837280	34.971
9253	34.971
13255	15.995
10512	34.969
13837797	15.995
16641	34.969
6098	34.969
10536	31.972
7827	31.972
9233	31.972
18607	31.973
5730	34.972
3441	78.919
83734	34.971
217	14.003
56559	15.995
9053802	15.995
10787	15.995
29000	15.995
11793	15.995
10526	34.969
120464	34.969
7434	15.995
7459	15.995
11024	15.995
6312	15.998
8398	15.995
24590970	78.919
7733	15.995
56144	34.970
23055	34.970
6130	34.970
7850	34.969
11865	34.969
7714	34.969
10437	34.969
6097	34.969
12219	78.918
7848	78.918
61487	78.918
11863	78.918
7810	78.918
7766	78.918
7711	78.918
7552	78.918
6092	78.918
7791	14.003
12010	126.904
11830	126.904
10497	126.904
31029	126.904
6100	126.904
12228	N/A
6042	34.971
553742	34.970
13836713	31.973
13803	27.978
11898	15.995
72522	15.995
7928	15.995
14348	15.995
2581	15.995
11891	15.995
7917	15.995
7915	15.995
7901	15.995
7892	15.995
7882	15.995
8574	15.998
932	15.998
7812	15.998
7837	15.995
6040	15.995
258	15.998
1004	15.998
682	15.998
7815	31.972
7560	31.972
6103	31.973
6635	34.974
14829	34.970
6087	34.969
11525	15.995
7721	31.972
6083	78.919
1039	31.973
6088	126.905
864	15.998
13837281	34.972
937	15.995
56232	15.995
71390	78.918
5979	34.974
13837190	15.998
7074	15.996
15077490	78.918
13872989	15.998
13638	14.003
7170	12.110
10534	12.1
6128	18.999
9391	19.0
6086	12.31
10410	12.110
68503	27.977
10675065	19.003
14694	34.970
7090	19.001
7028	15.997
63156	15.995
12626	15.995
62597	15.995
15803	15.995
10487	34.969
13492	12.110
15747	12.110
8356	12.110
13849981	15.995
12933	27.977
6105	19.001
18971812	34.969
14688	15.995
6125	34.970
13835977	14.009
5977	34.971
71876	15.996
7128	12.150
7183	12.110
7088	12.110
15461	12.110
13299573	78.918
107412	34.969
7073	15.996
455353	15.996
16778	15.996
7705	15.996
2340753	78.918
7728	15.998
8554	15.997
10340	16.001
21112738	34.969
4481813	15.995
13487	12.110
7385	12.110
8531	12.110
7448	12.110
4514586	78.918
764	15.996
10325184	78.918
6406	15.996
12066	15.998
7738	15.995
7098	19.0
10404	12.110
7419	12.110
7219	12.150
11660	12.110
6999	12.110
5026296	15.995
18688	15.996
7737	15.995
13871721	15.998
1108	12.150
236	12.150
7521	12.110
7641	12.110
7659	12.110
11871	31.973
55130	15.996
10433	15.996
11992	15.996
13836399	15.998
7703	14.009
10253	12.110
60886	19.006
83962	15.996
12161	27.977
7671	15.996
10446	15.996
62249	15.996
11526	15.999
13571291	14.050
71312	78.919
7026	15.998
7678	15.998
9970	15.995
7672	78.918
7786	31.973
8335	12.110
6301	15.995
10606755	19.004
7657	15.996
22453	15.996
7065	15.996
11193	15.996
13836591	15.998
13875283	18.998
7553	78.919
11409	12.110
13249	15.996
3631	34.969
13835836	15.996
55084	15.996
7694	15.996
7482	15.996
11716	15.996
11045	15.996
7515	15.996
13836549	19.004
7546	15.997
7677	14.003
13836674	34.969
2293678	78.919
6967	12.110
6977	12.110
21168808	31.973
960	15.998
6177	15.996
61213	34.969
20545	15.996
7472	15.996
11207996	16.006
29016	15.996
7747	15.996
7627	15.996
10571	15.996
7076	15.996
6649	15.996
8012	15.996
7003	15.996
13854944	15.998
6104	34.970
4937830	15.995
61191	19.0
9614	18.998
7739	31.972
8883	12.1
7757	15.996
7511	15.996
7509	15.996
29005	15.996
10420	15.996
7478	15.997
7475	15.996
7463	15.996
6333	15.998
21111806	18.999
10364	12.150
21111820	31.972
21171407	126.905
3210	15.995
10756	15.998
11910	15.995
7469	15.996
7064	15.996
60329	15.995
13842001	15.998
13850082	15.996
21106169	19.0
7872	15.996
7875	15.996
7913	15.996
7670	15.995
8568	15.996
14846	15.996
7800	15.996
11843	15.996
29012	15.996
10797	15.995
7538	15.996
7536	15.996
11755	15.996
7706	15.996
7761	15.996
10492	15.996
11680	15.996
11706	15.996
10653	15.996
68179	15.995
10001	15.996
6341	15.996
11727	15.995
7727	15.998
3951	15.998
21108550	18.999
13836021	15.998
9724	12.110
11731	31.973
8950	12.150
14866	12.210
6720	15.995
13850142	15.998
558917	15.995
11153	34.969
7559	16.006
558928	34.970
415	14.009
390927	15.995
10236	12.110
7012	15.995
11065	15.995
28981	15.995
99681	15.996
8525	15.996
6176	15.995
7081	15.995
6313	16.006
13837702	14.009
9903	12.1
13849989	15.995
55123	15.996
12012	15.996
7534	15.995
10791	15.995
11125	15.996
7782	15.996
8552	15.998
7701	15.996
6316	34.970
9325	19.001
13866593	14.009
11911	34.972
55091	34.971
552744	15.996
7888	15.996
12013	15.996
123860	15.996
28986	15.995
2863	15.996
6335	15.996
7803	15.996
259	15.998
7616	15.996
171	15.998
24641	15.996
7129	12.150
7866	15.996
3756	15.996
10033	15.996
30713	34.970
10788	15.995
7621	15.995
8329688	78.918
10777	15.995
441	16.006
7838	15.995
5949	15.995
370	15.998
29029	16.006
7772	15.995
256	15.995
512	16.006
1005	15.998
2018460	78.919
21169510	34.971
48024	14.008
7013	34.971
7676	34.969
13875281	34.969
7220	12.150
7248	12.110
11661	12.110
12674	12.1
8097	12.1
12071	15.996
10035	15.996
12972	15.995
9976	15.995
7514	15.995
215929	15.995
11025	15.995
7734	15.996
7016	15.995
1087	31.975
60524	15.995
72551	15.996
763	16.105
1095	31.973
6179	34.973
2038738	14.050
11154	126.905
12259	12.110
3973	34.970
13836589	15.998
172	16.006
13836520	15.998
22191	15.996
75951	15.996
72793	15.996
13835336	15.995
13875230	34.969
18219	31.974
4514549	126.904
10801109	27.977
15016	14.003
29004	15.998
7871	15.995
21153	15.995
7802	15.995
12218	15.995
12632	15.995
7760	15.995
11095	15.995
21106173	15.998
7607	15.995
13866746	19.003
7577	15.998
7506	15.995
13835861	15.998
6326	34.971
9228	34.969
29036	78.919
13838404	78.920
7239	31.973
11647	15.996
7530	14.008
21106535	34.970
6119	78.918
10251740	16.001
9326	18.998
2916	78.919
558875	78.919
6106	126.906
3544	15.996
1266019	15.996
109838	15.996
6321	15.995
175	15.995
13874867	15.999
6314	15.995
4510484	15.995
68832	15.996
62530	14.003
13842613	14.014
7391	15.995
7984	15.999
11809	34.969
7242	14.003
58234	15.995
26325086	15.997
13862665	15.996
15443	15.995
124968	19.0
9581	18.998
66809	15.998
221082	12.110
13875320	78.919
6642	12.110
62826	78.918
13835376	15.996
127750	15.996
12442	78.918
13857694	34.970
7673	78.919
7443	15.996
7662	34.971
1609	15.998
363458	15.997
7684	15.995
61111	19.0
13875196	18.998
11042	14.003
24972	14.004
28992	14.004
13875160	34.969
13875258	78.918
73479	15.996
8935	15.995
15093	34.969
9994	15.997
29015	15.998
278	15.998
4446445	15.995
4444608	16.006
394562	15.995
13839199	14.014
18724	14.003
7238	15.995
21105959	15.998
13866817	34.970
13875392	78.918
13839575	15.999
6322	15.995
558020	19.0
733	15.999
6342	34.972
21132380	14.003
7551	78.919
12244	15.995
1266393	31.972
13677	12.150
124	15.997
132	15.997
21106015	34.969
65750	14.003
63903	14.003
10940	14.003
13865438	15.995
7223	14.009
13868640	78.919
29001	15.996
59674	15.995
21106135	15.995
10248	15.995
13837988	34.970
8528	14.010
8900	14.009
10400	14.003
8067	34.974
13839109	15.997
13837537	15.997
21105905	14.003
11077	14.003
13839123	15.995
9911	15.995
13839174	15.998
906	12.150
7630	15.997
13865426	15.997
13884973	15.998
10710415	15.999
8543	34.970
13835604	15.998
6093	78.918
59447	14.004
21106560	14.003
20843	14.004
15965	15.996
70682	78.919
13658	14.004
11862	78.919
7710	78.919
7809	78.919
7765	78.919
69177	15.995
21111822	31.972
6794	14.003
7681	31.973
26516	126.904
17131	27.977
10772140	34.969
7190	15.996
63054	19.002
18801	15.995
68156	15.995
21106520	14.003
16119	15.995
10244	15.995
924	14.009
13862559	34.971
6788	12.110
7131	15.998
7466	15.996
13861343	34.971
73412	78.918
8904	14.014
13874733	14.003
24535	14.004
25552	14.004
10437215	15.995
12225	14.004
13839151	15.995
13848808	15.999
8140	34.970
11087	126.905
10909	12.110
10918	12.110
15489	34.969
2441	15.995
12499	19.003
7480	15.995
10939	15.995
7018	34.969
11784	34.969
13839128	15.995
8868	16.001
7518	78.918
21106019	34.969
7528	14.004
24533	14.004
1020	14.003
2039535	15.995
13839110	15.995
21105998	15.998
13865680	15.998
11604	15.995
8374	15.996
21106586	15.997
11756	16.001
8733	15.995
13835459	14.008
71089	14.004
7688	14.004
8902	14.004
10937	14.003
6897	15.996
773	14.014
17443	15.998
6883	15.996
11785	34.969
15495	15.999
1141	16.006
7240	14.003
503239	14.014
13860641	14.009
6974	78.919
21106571	34.972
10908	12.110
3463	34.975
16388	27.977
6828	12.150
7161	15.995
592	15.999
8141	15.995
7679	15.995
4444456	34.970
83866	15.998
66996	34.969
21105897	15.999
15427	14.009
5830	15.998
13840690	34.969
13839105	15.995
11667	34.969
13835772	15.998
61538	15.995
238	15.996
13864445	34.971
21108548	126.904
13047	34.972
21106163	34.972
967	34.973
13876103	15.996
2018165	34.969
14256731	15.997
6311	14.003
11699	15.996
12643	15.995
83850	15.998
30595	15.996
13839082	15.995
13865424	15.995
13853758	14.003
13860335	15.998
4366810	15.996
10422	15.996
11695	15.996
13229	15.995
24099	15.995
11576	15.996
7175	15.996
7157	15.996
12060	15.995
14678	15.995
11021	15.995
21105871	15.998
466305	15.997
13837686	34.969
61411	15.995
917	14.004
21106519	14.003
65	34.970
13029	34.971
13875356	78.919
19766	34.972
12044	12.150
12682	12.110
10181341	15.996
748	14.050
71628	14.004
7568	34.969
13839553	15.998
9363	19.0
6296	15.995
9574	18.998
971	15.998
13846663	15.998
21106091	15.995
10246	15.995
70715	78.919
13871718	15.998
2654	31.972
9547	19.0
92731	78.918
62632	14.003
78998	14.003
11884	14.003
16177	14.003
15853	14.003
67360	14.003
11866	14.003
15846	14.003
7566	14.050
29026	14.003
11846	14.003
7770	14.003
7717	14.050
6102	14.050
21109330	15.998
10948	15.998
13835293	15.998
13835224	15.998
13839441	15.998
13835235	15.998
62808	18.998
7236	15.995
11589	15.996
79969	15.996
21106366	15.995
62310	15.999
7420	34.969
28982	15.995
19709	15.996
21168831	34.969
55443	15.995
453675	15.995
