Compound Id	KappaShapeIndices [Kier1]
502855	12.071
6191	8.0
26325183	14.583
5709	7.111
6153	5.0
16425	7.0
8521	21.0
23150	9.0
76894	15.0
2041618	16.0
8520	17.0
66656	8.0
26824	17.0
18019	21.0
11434292	12.0
26325084	43.0
6190	8.0
11919	9.0
10696	14.063
26325083	39.0
10451	18.05
23101	13.0
122090	14.0
26325082	35.0
26325081	31.0
512621	9.0
10449	22.042
26325080	27.0
66655	10.0
10652594	13.067
14021447	23.0
67991	9.0
109705	16.056
17619	7.0
9256	7.0
692	2.0
291	0.0
6084	2.0
6094	3.0
7555	4.0
6120	4.0
7712	5.0
6308	5.0
9646	5.0
10781	8.0
15802	9.0
17976	9.0
7767	6.0
7604	6.0
7010	6.0
6163	6.0
6340	6.0
8560	7.0
11094	7.0
11023	7.0
11055	7.0
10786	7.0
7619	7.0
10755	7.0
11551	7.0
349	8.0
11035	8.0
11104	8.0
10795	8.0
10445	8.0
7849	9.0
17558	9.0
13439	9.0
13402	9.0
14840	10.0
13448	10.0
13619	11.0
7890	12.0
11882	13.0
11883	14.0
10540	16.0
7929	20.0
11897	21.0
11899	22.0
12017	23.0
12072	24.0
11900	25.0
11901	26.0
11146	27.0
11902	28.0
10542	32.0
11906	36.0
8878	3.938
11585	9.091
11557190	19.0
10452	10.083
10784857	16.056
108106	22.042
127983	2.0
78828	15.0
68328	11.0
67414	16.056
13837650	4.0
13853215	8.0
9392	8.0
10765	5.0
7674	5.143
14998	7.0
10614293	8.0
61149	12.0
6156	5.0
12201	6.0
11109	6.0
24142	15.0
13622	14.0
16180	13.0
7891	12.0
12446	6.0
29025	9.0
12635	11.0
11121	7.0
7713	5.0
12809	10.0
7833	8.0
7556	4.0
7954	3.0
555074	7.0
7957	4.0
4516601	8.0
56442	4.0
4483639	5.0
4516599	8.0
4512361	8.0
4483638	5.0
4449912	4.0
4512642	8.0
18410	8.1
22408	0.0
66675	8.0
10113	5.0
9484	5.0
23208	3.0
6085	2.0
7024	4.167
15438	6.125
8896	3.2
14751	6.125
221117	6.125
7787	4.167
8908	5.143
8909	6.125
8910	8.1
71433	6.0
22814	0.0
9095782	8.0
6151	5.0
14299946	14.063
6188	8.0
11099	5.0
73583	8.0
7340	13.0
8158	7.0
11110	6.0
9642	3.0
12577	6.0
11996	7.0
10756390	18.05
62827	8.0
7626	7.0
10265264	6.125
13835550	4.0
56117	9.0
11230	5.0
63631	6.0
11086	5.143
21106179	4.0
11841	9.0
6402	6.694
1406720	10.173
2056044	12.0
1114	4.0
14692	10.0
10179173	6.125
21800	6.125
8544	3.2
7788	4.167
4927801	28.033
9088156	16.0
29040	7.0
10325078	8.0
55188	7.0
7624	7.0
68224	18.05
24263	6.694
6364	6.694
11749	6.0
14672	6.0
11228	5.0
11864	8.0
12209	6.0
11857	5.143
391428	6.694
10733068	23.04
454638	10.173
12456	10.0
17880	9.0
11845	7.0
11806	5.0
9990	4.0
6309	5.0
7557	4.0
558883	5.0
56020	5.0
10124	6.0
6111	1.333
10265270	6.694
14198	6.694
7794	9.0
7180	8.1
9286	6.0
9411	9.0
14441700	6.0
6148	5.0
6149	5.0
15765	6.125
553642	6.125
15413	11.0
7182	8.1
10669	8.1
66567	11.0
6132	4.0
8569	9.0
12220	11.0
7823	7.0
11849	7.0
10441	4.0
3168	5.0
11833	6.0
455420	9.0
10709	5.0
7558	4.0
6095	3.0
10179239	6.694
12197	4.0
11761	7.0
6108	3.0
69914	13.067
59573	7.0
70850	5.0
38403	10.0
11671339	13.067
7956	3.0
55090	6.0
11180	7.0
274	3.0
6145	5.0
10053	5.0
28993	10.0
59483	10.083
11811	5.0
7777	6.0
15482	11.0
454215	7.0
7856	9.0
8562	7.0
10054	5.0
7730	5.0
11739	8.0
11056	7.0
6146	5.0
9461	8.0
654	3.0
11194	8.0
6165	6.0
11216	8.0
62230	9.0
16791	8.0
18717	8.0
11210	8.0
518	0.0
11117	4.167
205483	9.091
10979	8.1
61346	9.0
6186	8.0
391	0.0
69371	9.0
69569	13.0
6310	5.0
7606	6.0
7181	8.1
99596	7.0
23255	5.0
6123	4.0
4514529	0.0
11351244	3.938
499714	6.125
78467	9.091
16841	7.0
2062437	7.0
61266	18.340
15954	8.0
11819	8.0
7622	7.0
99440	8.0
11239	6.0
11543	8.0
10790	7.0
6187	8.0
2656	7.639
6827	8.592
20939	8.1
9016	7.0
7817	7.0
11788	5.143
13835316	4.0
6270	13.0
454209	6.0
9633	9.0
9377	7.0
9243	3.0
11148	2.0
923	3.0
6121	4.0
8576	11.0
7851	9.0
15387	10.0
6315	5.0
7811	7.0
7835	8.0
7769	6.0
7716	5.0
7564	4.0
6101	3.0
6089	2.0
6118	4.0
8577	11.0
14349	10.0
7852	9.0
14680	8.0
7776	6.0
7330	3.2
6122	4.0
63863	9.0
2282428	7.0
15486	11.0
7732	5.0
18920	9.0
11861	10.0
123993	9.0
11036	8.0
11029	8.0
11794	7.0
11732	7.0
10511	8.0
21011	6.0
11678	7.0
7533	9.0
3644	4.0
6320	5.0
10947	6.0
6164	6.0
11729	4.0
9254	7.0
9251	7.0
6307	5.0
62589	5.143
7686	5.143
13837280	5.0
9253	7.0
13255	5.143
10512	6.0
13837797	7.0
16641	3.0
6098	3.0
10536	9.0
7827	7.0
9233	5.0
18607	5.0
5730	5.0
3441	7.0
83734	7.0
217	0.0
56559	19.0
9053802	15.0
10787	7.0
29000	6.0
11793	7.0
10526	7.0
120464	7.0
7434	9.0
7459	7.0
11024	7.0
6312	5.0
8398	6.0
24590970	7.0
7733	5.0
56144	10.0
23055	6.0
6130	4.0
7850	9.0
11865	8.0
7714	5.0
10437	4.0
6097	3.0
12219	10.0
7848	9.0
61487	6.0
11863	8.0
7810	7.0
7766	6.0
7711	5.0
7552	4.0
6092	3.0
7791	4.167
12010	7.0
11830	6.0
10497	5.0
31029	4.0
6100	3.0
12228	5.143
6042	5.0
553742	4.0
13836713	4.0
13803	8.0
11898	21.0
72522	20.0
7928	19.0
14348	18.0
2581	17.0
11891	16.0
7917	15.0
7915	14.0
7901	13.0
7892	12.0
7882	11.0
8574	10.0
932	9.0
7812	7.0
7837	8.0
6040	6.0
258	5.0
1004	4.0
682	3.0
7815	7.0
7560	4.0
6103	3.0
6635	10.0
14829	5.0
6087	2.0
11525	6.0
7721	5.0
6083	2.0
1039	3.0
6088	2.0
864	2.0
13837281	6.0
937	0.0
56232	12.0
71390	4.0
5979	8.0
13837190	5.0
7074	10.0
15077490	7.0
13872989	4.0
13638	6.125
7170	10.083
10534	5.143
6128	4.0
9391	7.0
6086	2.0
10410	8.1
68503	9.0
10675065	9.0
14694	6.0
7090	8.1
7028	4.167
63156	7.0
12626	6.0
62597	5.0
15803	9.091
10487	5.143
13492	11.077
15747	12.071
8356	8.1
13849981	11.0
12933	14.0
6105	3.0
18971812	8.0
14688	16.0
6125	4.0
13835977	4.0
5977	4.0
71876	13.0
7128	7.111
7183	8.1
7088	8.1
15461	9.091
13299573	9.0
107412	8.0
7073	10.0
455353	9.0
16778	7.0
7705	7.0
2340753	6.0
7728	5.0
8554	4.167
10340	4.167
21112738	4.0
4481813	4.0
13487	10.083
7385	7.111
8531	8.1
7448	8.1
4514586	0.0
764	6.125
10325184	6.0
6406	7.0
12066	3.2
7738	3.2
7098	9.091
10404	9.091
7419	8.1
7219	6.125
11660	7.111
6999	8.1
5026296	7.639
18688	9.0
7737	3.2
13871721	5.0
1108	5.143
236	4.167
7521	6.125
7641	6.125
7659	7.111
11871	8.0
55130	9.0
10433	9.0
11992	8.0
13836399	8.0
7703	7.0
10253	8.1
60886	14.410
83962	10.516
12161	9.0
7671	10.0
10446	8.0
62249	8.0
11526	6.0
13571291	4.0
71312	7.0
7026	4.167
7678	5.143
9970	6.125
7672	5.143
7786	6.0
8335	8.1
6301	11.0
10606755	10.0
7657	9.0
22453	9.0
7065	8.0
11193	8.0
13836591	6.0
13875283	6.125
7553	4.0
11409	7.111
13249	17.0
3631	10.0
13835836	8.0
55084	11.0
7694	10.0
7482	9.0
11716	10.0
11045	9.0
7515	8.0
13836549	10.083
7546	3.2
7677	5.143
13836674	4.0
2293678	7.0
6967	6.125
6977	7.111
21168808	4.167
960	18.0
6177	7.0
61213	6.0
20545	20.0
7472	8.0
11207996	8.0
29016	9.0
7747	8.0
7627	7.0
10571	7.0
7076	10.0
6649	8.0
8012	7.0
7003	9.0
13854944	6.0
6104	3.0
4937830	4.0
61191	9.091
9614	5.143
7739	3.2
8883	5.625
7757	14.0
7511	12.0
7509	11.0
29005	10.0
10420	9.0
7478	8.0
7475	8.0
7463	7.0
6333	5.0
21111806	6.125
10364	6.125
21111820	4.167
21171407	4.0
3210	16.0
10756	9.091
11910	6.0
7469	8.0
7064	8.0
60329	6.0
13842001	8.0
13850082	14.0
21106169	6.0
7872	12.0
7875	14.0
7913	16.0
7670	10.0
8568	10.0
14846	12.0
7800	11.0
11843	9.0
29012	8.0
10797	8.0
7538	10.0
7536	9.0
11755	6.0
7706	7.0
7761	8.0
10492	7.0
11680	7.0
11706	8.0
10653	6.0
68179	9.0
10001	7.0
6341	6.0
11727	4.0
7727	5.0
3951	6.0
21108550	6.125
13836021	5.0
9724	6.694
11731	4.0
8950	7.111
14866	10.083
6720	9.091
13850142	9.091
558917	11.0
11153	3.0
7559	4.0
558928	4.0
415	5.0
390927	9.091
10236	7.111
7012	6.0
11065	6.0
28981	9.0
99681	12.071
8525	6.0
6176	7.0
7081	7.0
6313	5.0
13837702	6.0
9903	5.76
13849989	11.0
55123	9.0
12012	8.0
7534	9.0
10791	7.0
11125	7.0
7782	6.0
8552	8.0
7701	7.0
6316	5.0
9325	6.125
13866593	7.0
11911	6.0
55091	7.0
552744	6.0
7888	13.0
12013	15.0
123860	10.0
28986	8.0
2863	12.0
6335	5.0
7803	9.0
259	6.0
7616	6.0
171	4.0
24641	11.0
7129	7.111
7866	11.0
3756	14.0
10033	19.0
30713	6.0
10788	7.0
7621	7.0
8329688	6.0
10777	6.0
441	9.0
7838	8.0
5949	7.0
370	10.0
29029	10.0
7772	6.0
256	5.0
512	4.0
1005	5.0
2018460	8.0
21169510	9.0
48024	5.143
7013	6.0
7676	5.143
13875281	6.125
7220	6.125
7248	7.111
11661	7.111
12674	8.592
8097	6.694
12071	21.0
10035	22.0
12972	12.0
9976	10.0
7514	8.0
215929	9.0
11025	7.0
7734	5.0
7016	6.0
1087	3.0
60524	5.0
72551	11.0
763	2.0
1095	3.2
6179	7.0
2038738	6.125
11154	3.0
12259	9.091
3973	8.0
13836589	6.0
172	3.0
13836520	6.125
22191	9.0
75951	10.0
72793	10.0
13835336	4.0
13875230	6.125
18219	5.0
4514549	0.0
10801109	15.0
15016	19.0
29004	7.111
7871	12.0
21153	13.0
7802	9.0
12218	11.0
12632	10.0
7760	8.0
11095	7.0
21106173	7.111
7607	6.0
13866746	9.091
7577	4.0
7506	11.0
13835861	6.0
6326	5.0
9228	6.125
29036	4.0
13838404	4.0
7239	6.125
11647	8.1
7530	6.125
21106535	6.0
6119	4.0
10251740	6.125
9326	6.125
2916	3.0
558875	4.0
6106	3.0
3544	13.067
1266019	14.0
109838	7.0
6321	5.0
175	4.0
13874867	8.0
6314	5.0
4510484	9.0
68832	8.0
62530	7.111
13842613	6.125
