Compound Id	ChiCluster [SC-3]
502855	1.015
6191	2.5
26325183	1.075
5709	0.5
6153	2.0
16425	8.165
8521	6.743
23150	3.121
76894	N/A
2041618	N/A
8520	5.536
66656	N/A
26824	5.609
18019	6.950
11434292	N/A
26325084	12.071
6190	2.5
11919	0.707
10696	4.828
26325083	10.864
10451	6.036
23101	4.328
122090	4.048
26325082	9.657
26325081	8.450
512621	N/A
10449	7.243
26325080	7.243
66655	2.768
10652594	N/A
14021447	6.036
67991	3.121
109705	4.531
17619	N/A
9256	1.655
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.577
7712	0.0
6308	0.408
9646	2.0
10781	1.570
15802	0.289
17976	1.969
7767	0.0
7604	0.408
7010	0.289
6163	1.561
6340	0.667
8560	0.0
11094	0.408
11023	0.289
11055	1.561
10786	0.569
7619	0.816
10755	1.207
11551	0.204
349	0.0
11035	0.289
11104	0.816
10795	0.859
10445	1.969
7849	0.0
17558	0.408
13439	3.121
13402	0.707
14840	0.0
13448	3.121
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.408
11585	0.691
11557190	4.828
10452	3.621
10784857	N/A
108106	2.828
127983	0.0
78828	3.621
68328	2.414
67414	2.121
13837650	0.0
13853215	2.5
9392	2.5
10765	0.408
7674	0.289
14998	1.561
10614293	1.969
61149	2.232
6156	2.0
12201	0.408
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
12446	0.408
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
7957	0.577
4516601	0.0
56442	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4449912	0.0
4512642	0.0
18410	0.204
22408	0.0
66675	2.5
10113	0.408
9484	2.0
23208	0.0
6085	0.0
7024	0.289
15438	0.204
8896	0.0
14751	0.204
221117	0.471
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	1.561
22814	0.0
9095782	2.5
6151	2.0
14299946	4.828
6188	2.5
11099	0.0
73583	2.5
7340	0.204
8158	0.204
11110	0.0
9642	0.0
12577	1.561
11996	1.561
10756390	3.828
62827	1.339
7626	0.816
10265264	0.577
13835550	0.0
56117	1.207
11230	0.408
63631	0.667
11086	0.289
21106179	0.577
11841	0.816
6402	1.409
1406720	2.260
2056044	3.065
1114	0.577
14692	0.0
10179173	0.577
21800	0.471
8544	0.0
7788	0.0
4927801	3.536
9088156	4.048
29040	1.655
10325078	2.5
55188	1.207
7624	0.816
68224	3.707
24263	1.435
6364	1.388
11749	0.408
14672	1.561
11228	0.408
11864	0.0
12209	0.0
11857	0.0
391428	1.435
10733068	4.755
454638	2.095
12456	0.0
17880	0.0
11845	0.0
11806	0.0
9990	0.0
6309	0.408
7557	0.0
558883	0.0
56020	0.0
10124	0.667
6111	0.0
10265270	0.333
14198	1.409
7794	0.816
7180	0.789
9286	0.667
9411	1.570
14441700	1.561
6148	2.0
6149	2.0
15765	0.471
553642	0.0
15413	0.927
7182	0.789
10669	0.789
66567	3.25
6132	0.577
8569	0.0
12220	0.0
7823	0.0
11849	0.0
10441	0.0
3168	0.0
11833	0.0
455420	0.0
10709	0.0
7558	0.0
6095	0.0
10179239	0.333
12197	0.0
11761	0.816
6108	0.0
69914	2.780
59573	1.207
70850	0.408
38403	1.978
11671339	2.841
7956	0.0
55090	1.561
11180	1.655
274	0.0
6145	2.0
10053	2.0
28993	0.697
59483	3.621
11811	0.0
7777	0.0
15482	0.0
454215	1.655
7856	0.0
8562	0.0
10054	2.0
7730	0.0
11739	1.561
11056	1.561
6146	2.0
9461	1.561
654	0.0
11194	1.339
6165	1.561
11216	1.207
62230	0.927
16791	0.0
18717	1.570
11210	0.927
518	N/A
11117	0.0
205483	0.691
10979	0.789
61346	3.121
6186	2.5
391	0.0
69371	3.121
