Compound Id	ChiPathCluster [VPC-5]
502855	0.462
6191	0.031
26325183	1.137
5709	0.184
6153	0.0
16425	0.0
8521	46.819
23150	18.371
76894	N/A
2041618	N/A
8520	36.908
66656	N/A
26824	28.736
18019	25.691
11434292	N/A
26325084	92.451
6190	0.071
11919	7.864
10696	39.646
26325083	82.539
10451	49.558
23101	26.996
122090	21.990
26325082	72.628
26325081	62.716
512621	N/A
10449	59.470
26325080	52.804
66655	15.489
10652594	N/A
14021447	42.893
67991	20.897
109705	0.848
17619	N/A
9256	0.012
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	1.718
15802	0.493
17976	0.827
7767	0.0
7604	0.289
7010	0.289
6163	0.354
6340	0.0
8560	0.0
11094	0.204
11023	0.408
11055	1.0
10786	0.707
7619	0.943
10755	1.0
11551	0.612
349	0.0
11035	0.348
11104	0.333
10795	1.540
10445	2.041
7849	0.0
17558	0.204
13439	3.536
13402	2.621
14840	0.0
13448	1.25
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	1.204
11585	0.352
11557190	32.981
10452	29.735
10784857	N/A
108106	34.151
127983	0.0
78828	23.069
68328	13.263
67414	25.613
13837650	0.0
13853215	0.153
9392	0.173
10765	0.0
7674	0.433
14998	1.732
10614293	2.041
61149	0.487
6156	0.0
12201	0.167
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
12446	0.177
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
7957	0.0
4516601	0.0
56442	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4449912	0.0
4512642	0.0
18410	0.612
22408	0.0
66675	13.5
10113	0.0
9484	0.0
23208	0.0
6085	0.0
7024	0.433
15438	0.655
8896	0.0
14751	0.595
221117	1.040
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	0.612
22814	0.0
9095782	0.125
6151	0.0
14299946	33.632
6188	0.337
11099	0.0
73583	0.409
7340	0.474
8158	0.474
11110	0.0
9642	0.0
12577	0.007
11996	0.577
10756390	28.273
62827	0.088
7626	0.544
10265264	0.760
13835550	0.0
56117	2.177
11230	0.0
63631	0.0
11086	0.306
21106179	0.0
11841	0.236
6402	3.618
1406720	7.763
2056044	0.352
1114	0.0
14692	0.0
10179173	0.760
21800	1.040
8544	0.0
7788	0.0
4927801	42.688
9088156	24.664
29040	0.037
10325078	0.286
55188	0.577
7624	0.667
68224	27.734
24263	2.299
6364	3.829
11749	0.167
14672	0.204
11228	0.0
11864	0.0
12209	0.0
11857	0.0
391428	2.299
10733068	35.599
454638	8.694
12456	0.0
17880	0.0
11845	0.0
11806	0.0
9990	0.0
6309	0.0
7557	0.0
558883	0.0
56020	0.0
10124	0.0
6111	0.0
10265270	1.5
14198	3.583
7794	0.289
7180	0.877
9286	0.0
9411	0.105
14441700	0.057
6148	0.0
6149	0.0
15765	1.040
553642	0.0
15413	2.022
7182	0.882
10669	0.936
66567	0.533
6132	0.0
8569	0.0
12220	0.0
7823	0.0
11849	0.0
10441	0.0
3168	0.0
11833	0.0
455420	0.0
10709	0.0
7558	0.0
6095	0.0
10179239	1.5
12197	0.0
11761	1.633
6108	0.0
69914	20.801
59573	1.0
70850	0.0
38403	0.107
11671339	20.677
7956	0.0
55090	0.401
11180	0.258
274	0.0
6145	0.0
10053	0.0
28993	0.275
59483	42.188
11811	0.0
7777	0.0
15482	0.0
454215	0.061
7856	0.0
8562	0.0
10054	0.0
7730	0.0
11739	0.447
11056	0.585
6146	0.0
9461	0.044
654	0.0
11194	1.069
6165	0.158
11216	0.814
62230	1.194
16791	0.0
18717	1.219
11210	1.103
518	N/A
11117	0.0
205483	0.386
10979	0.926
61346	0.382
6186	0.827
391	0.0
69371	55.114
69569	28.874
6310	0.0
7606	0.167
7181	0.877
99596	0.1
23255	0.0
6123	0.0
4514529	0.0
11351244	0.674
499714	0.865
78467	0.349
16841	0.024
2062437	0.046
61266	1.441
15954	0.482
11819	0.241
7622	0.552
99440	1.364
11239	0.0
11543	0.390
10790	0.447
6187	0.643
2656	3.597
6827	1.5
20939	0.922
9016	0.035
7817	0.0
11788	0.335
13835316	0.0
6270	1.596
454209	0.051
9633	0.0
9377	0.0
9243	0.0
11148	0.0
923	0.0
6121	0.0
8576	0.0
7851	0.0
15387	0.0
6315	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
6089	0.0
6118	0.0
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7330	0.0
6122	0.0
63863	9.339
2282428	0.110
15486	0.220
7732	0.0
18920	0.091
11861	0.091
123993	0.967
11036	0.156
11029	0.247
11794	0.091
11732	0.585
10511	0.091
21011	0.129
11678	0.183
7533	0.831
3644	0.0
6320	0.0
10947	0.129
6164	0.158
11729	0.0
9254	0.071
9251	0.122
6307	0.0
62589	0.348
7686	0.306
13837280	0.0
9253	0.106
13255	0.601
10512	0.0
13837797	0.0
16641	0.0
6098	0.0
10536	0.0
7827	0.0
9233	0.0
18607	0.0
5730	0.0
3441	0.048
83734	0.212
217	0.0
56559	0.204
9053802	0.204
10787	0.447
29000	0.129
11793	0.204
10526	0.0
120464	1.1
7434	0.402
7459	0.295
11024	0.295
6312	0.0
8398	0.129
24590970	0.139
7733	0.0
56144	0.771
23055	0.172
6130	0.0
7850	0.0
11865	0.0
7714	0.0
10437	0.0
6097	0.0
12219	0.0
7848	0.0
61487	0.694
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
7791	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
6100	0.0
12228	N/A
6042	0.0
553742	0.0
13836713	0.0
13803	1.362
11898	0.0
72522	0.0
7928	0.0
14348	0.0
2581	0.0
11891	0.0
7917	0.0
7915	0.0
7901	0.0
7892	0.0
7882	0.0
8574	0.0
932	0.0
7812	0.0
7837	0.0
6040	0.0
258	0.0
1004	0.0
682	0.0
7815	0.0
7560	0.0
6103	0.0
6635	1.897
14829	0.0
6087	0.0
11525	0.075
7721	0.0
6083	0.0
1039	0.0
6088	0.0
864	0.0
13837281	0.0
937	0.0
56232	0.25
71390	0.0
5979	2.480
13837190	0.0
7074	0.202
15077490	0.145
13872989	0.0
13638	0.0
7170	1.005
10534	0.0
6128	0.0
9391	0.023
6086	0.0
10410	0.568
68503	1.570
10675065	0.129
14694	0.065
7090	0.279
7028	0.25
63156	0.0
12626	0.0
62597	0.0
15803	1.881
10487	0.491
13492	0.273
15747	0.273
8356	0.726
13849981	0.606
12933	2.384
6105	0.0
18971812	0.278
14688	0.25
6125	0.0
13835977	0.0
5977	0.0
71876	0.122
7128	0.511
7183	0.654
7088	1.161
15461	1.594
