Compound Id	WienerNumbers [WPATH]
502855	336.0
6191	58.0
26325183	1074.0
5709	88.0
6153	16.0
16425	36.0
8521	960.0
23150	88.0
76894	412.0
2041618	444.0
8520	528.0
66656	66.0
26824	496.0
18019	832.0
11434292	211.0
26325084	7484.0
6190	58.0
11919	88.0
10696	376.0
26325083	5644.0
10451	685.0
23101	248.0
122090	298.0
26325082	4132.0
26325081	2916.0
512621	86.0
10449	1140.0
26325080	1964.0
66655	119.0
10652594	340.0
14021447	1244.0
67991	88.0
109705	552.0
17619	48.0
9256	42.0
692	1.0
291	0.0
6084	1.0
6094	4.0
7555	10.0
6120	9.0
7712	20.0
6308	18.0
9646	16.0
10781	63.0
15802	108.0
17976	98.0
7767	35.0
7604	32.0
7010	31.0
6163	28.0
6340	29.0
8560	56.0
11094	52.0
11023	50.0
11055	46.0
10786	46.0
7619	48.0
10755	44.0
11551	48.0
349	84.0
11035	76.0
11104	74.0
10795	65.0
10445	66.0
7849	120.0
17558	114.0
13439	88.0
13402	88.0
14840	165.0
13448	127.0
13619	220.0
7890	286.0
11882	364.0
11883	455.0
10540	680.0
7929	1330.0
11897	1540.0
11899	1771.0
12017	2024.0
12072	2300.0
11900	2600.0
11901	2925.0
11146	3276.0
11902	3654.0
10542	5456.0
11906	7770.0
8878	36.0
11585	160.0
11557190	724.0
10452	171.0
10784857	566.0
108106	1112.0
127983	1.0
78828	372.0
68328	156.0
67414	525.0
13837650	10.0
13853215	58.0
9392	58.0
10765	18.0
7674	42.0
14998	46.0
10614293	66.0
61149	178.0
6156	16.0
12201	32.0
11109	35.0
24142	560.0
13622	455.0
16180	364.0
7891	286.0
12446	32.0
29025	120.0
12635	220.0
11121	56.0
7713	20.0
12809	165.0
7833	84.0
7556	10.0
7954	4.0
555074	56.0
7957	9.0
4516601	84.0
56442	10.0
4483639	20.0
4516599	84.0
4512361	84.0
4483638	20.0
4449912	10.0
4512642	84.0
18410	140.0
22408	0.0
66675	58.0
10113	18.0
9484	16.0
23208	4.0
6085	1.0
7024	26.0
15438	67.0
8896	15.0
14751	64.0
221117	60.0
7787	27.0
8908	42.0
8909	64.0
8910	125.0
71433	28.0
22814	0.0
