Compound Id	WeightedPath [WTPT-1]
502855	27.250
6191	14.063
26325183	44.140
5709	17.529
6153	8.5
16425	11.949
8521	38.786
23150	16.049
76894	27.682
2041618	29.483
8520	31.206
66656	14.279
26824	31.230
18019	38.862
11434292	21.863
26325084	80.660
6190	14.063
11919	16.428
10696	30.315
26325083	73.080
10451	37.902
23101	23.626
122090	25.626
26325082	65.499
26325081	57.918
512621	16.105
10449	45.483
26325080	50.338
66655	18.032
10652594	28.975
14021447	42.757
67991	16.049
109705	34.265
17619	12.509
9256	12.293
692	3.0
291	1.0
6084	3.0
6094	4.914
7555	6.871
6120	6.732
7712	8.850
6308	8.697
9646	8.5
10781	14.275
15802	16.655
17976	16.272
7767	10.839
7604	10.679
7010	10.676
6163	10.466
6340	10.524
8560	12.834
11094	12.670
11023	12.665
11055	12.449
10786	12.505
7619	12.509
10755	12.443
11551	12.669
349	14.831
11035	14.660
11104	14.502
10795	14.335
10445	14.279
7849	16.830
17558	16.664
13439	16.049
13402	16.428
14840	18.829
13448	18.042
13619	20.829
7890	22.829
11882	24.829
11883	26.828
10540	30.828
7929	38.828
11897	40.828
11899	42.828
12017	44.828
12072	46.828
11900	48.828
11901	50.828
11146	52.828
11902	54.828
10542	62.828
11906	70.828
8878	14.389
11585	21.385
11557190	35.177
10452	22.699
10784857	34.738
108106	46.424
127983	3.0
78828	27.596
68328	20.017
67414	34.774
13837650	6.871
13853215	14.063
9392	14.063
10765	8.697
7674	13.677
14998	12.449
10614293	14.279
61149	21.683
6156	8.5
12201	10.679
11109	10.839
24142	28.828
13622	26.828
16180	24.829
7891	22.829
12446	10.679
29025	16.830
12635	20.829
11121	12.834
7713	8.850
12809	18.829
7833	14.831
7556	6.871
7954	4.914
555074	12.834
7957	6.732
4516601	14.831
56442	6.871
4483639	8.850
4516599	14.831
4512361	14.831
4483638	8.850
4449912	6.871
4512642	14.831
18410	19.594
22408	1.0
66675	14.063
10113	8.697
9484	8.5
23208	4.914
6085	3.0
7024	11.575
15438	15.590
8896	9.688
14751	15.693
221117	15.533
7787	11.813
8908	13.891
8909	15.938
8910	19.980
71433	10.466
22814	1.0
9095782	14.063
6151	8.5
14299946	30.315
6188	14.063
11099	8.850
73583	14.063
7340	24.678
8158	12.669
11110	10.839
9642	4.914
12577	10.466
11996	12.449
10756390	38.362
62827	14.272
7626	12.509
10265264	15.533
13835550	6.871
56117	16.422
11230	8.697
63631	10.524
11086	13.677
21106179	6.732
11841	16.498
6402	19.923
1406720	30.621
2056044	21.693
1114	6.732
14692	18.829
10179173	15.533
21800	15.533
8544	9.688
7788	11.813
4927801	58.039
9088156	29.626
29040	12.293
10325078	14.063
55188	12.443
7624	12.509
68224	38.342
24263	19.770
6364	19.943
11749	10.679
14672	10.466
11228	8.697
11864	14.831
12209	10.839
11857	13.891
391428	19.770
10733068	47.958
454638	30.623
12456	18.829
17880	16.830
11845	12.834
11806	8.850
9990	6.871
6309	8.697
7557	6.871
558883	8.850
56020	8.850
10124	10.524
6111	5.25
10265270	20.658
14198	19.923
7794	16.498
7180	19.386
9286	10.524
9411	16.266
14441700	10.466
6148	8.5
6149	8.5
15765	15.533
553642	15.938
15413	20.419
7182	19.386
10669	19.386
66567	19.641
6132	6.732
8569	16.830
12220	20.829
7823	12.834
11849	12.834
10441	6.871
3168	8.850
11833	10.839
455420	16.830
10709	8.850
7558	6.871
6095	4.914
10179239	20.658
12197	6.871
11761	12.509
6108	4.914
69914	28.716
59573	12.443
70850	8.697
38403	18.098
11671339	28.725
7956	4.914
55090	10.466
11180	12.293
274	4.914
6145	8.5
10053	8.5
28993	18.490
59483	22.699
11811	8.850
7777	10.839
15482	20.829
454215	12.293
7856	16.830
8562	12.834
10054	8.5
7730	8.850
11739	14.440
11056	12.449
6146	8.5
9461	14.440
654	4.914
11194	14.272
6165	10.466
11216	14.431
62230	16.424
16791	14.831
18717	14.275
11210	14.430
518	1.0
11117	11.813
205483	21.385
10979	19.386
61346	16.049
6186	14.063
391	1.0
69371	16.049
69569	23.626
6310	8.697
7606	10.679
7181	19.386
99596	12.293
23255	8.697
6123	6.732
4514529	1.0
11351244	14.389
499714	14.764
78467	21.393
16841	12.293
2062437	12.293
61266	43.030
15954	14.496
11819	14.502
7622	12.509
99440	14.279
11239	10.524
11543	14.496
10790	12.505
6187	14.063
2656	21.994
6827	24.594
20939	19.386
9016	12.293
7817	12.834
11788	13.677
13835316	6.732
6270	24.441
454209	10.466
9633	16.830
9377	12.834
9243	4.914
11148	3.0
923	4.914
6121	6.732
8576	20.829
7851	16.830
15387	18.829
6315	8.697
7811	12.834
7835	14.831
7769	10.839
7716	8.850
7564	6.871
6101	4.914
6089	3.0
6118	6.732
8577	20.829
14349	18.829
7852	16.830
14680	14.831
7776	10.839
7330	9.688
6122	6.732
63863	16.049
2282428	12.293
15486	20.652
7732	8.850
18920	16.664
11861	18.663
123993	16.492
11036	14.660
11029	14.658
11794	12.670
11732	12.449
10511	14.666
21011	10.679
11678	12.665
7533	16.498
3644	6.732
6320	8.697
10947	10.676
6164	10.466
11729	6.871
9254	12.293
9251	12.293
6307	8.697
62589	13.677
7686	13.677
13837280	8.697
9253	12.293
13255	13.454
10512	10.839
13837797	12.834
16641	4.914
6098	4.914
10536	16.830
7827	12.834
9233	8.850
18607	8.850
5730	8.5
3441	12.293
83734	12.293
217	1.0
56559	36.662
9053802	28.662
10787	12.505
29000	10.679
11793	12.670
10526	12.834
120464	12.443
7434	16.664
7459	12.665
11024	12.665
6312	8.697
8398	10.676
24590970	12.293
7733	8.850
56144	17.871
23055	10.466
6130	6.732
7850	16.830
11865	14.831
7714	8.850
