Compound Id	XLogP
502855	2.131
6191	3.06
26325183	4.757
5709	0.637
6153	2.316
16425	2.25
8521	6.672
23150	3.252
76894	4.476
2041618	5.004
8520	5.532
66656	2.724
26824	5.532
18019	6.672
11434292	3.131
26325084	13.088
6190	3.197
11919	3.544
10696	4.560
26325083	11.948
10451	5.7
23101	4.392
122090	4.75
26325082	10.808
26325081	9.668
512621	2.767
10449	6.840
26325080	8.528
66655	3.61
10652594	3.06
14021447	7.388
67991	3.22
109705	6.138
17619	2.196
9256	2.544
692	0.021
291	0.739
6084	1.478
6094	2.047
7555	2.616
6120	2.555
7712	3.185
6308	3.124
9646	3.161
10781	4.807
15802	5.4
17976	5.376
7767	3.754
7604	3.693
7010	3.693
6163	3.73
6340	3.632
8560	4.323
11094	4.262
11023	4.262
11055	4.299
10786	4.201
7619	4.201
10755	4.299
11551	4.262
349	4.892
11035	4.831
11104	4.77
10795	4.709
10445	4.807
7849	5.461
17558	5.4
13439	5.413
13402	5.437
14840	6.030
13448	5.982
13619	6.599
7890	7.168
11882	7.737
11883	8.306
10540	9.444
7929	11.720
11897	12.289
11899	12.858
12017	13.427
12072	13.996
11900	14.565
11901	15.134
11146	15.703
11902	16.272
10542	18.548
11906	20.824
8878	3.521
11585	1.324
11557190	6.248
10452	3.42
10784857	3.672
108106	7.424
127983	0.028
78828	5.108
68328	3.968
67414	5.568
13837650	1.74
13853215	3.334
9392	3.334
10765	2.754
7674	3.922
14998	2.059
10614293	4.807
61149	3.790
6156	2.112
12201	3.327
11109	3.388
24142	8.509
13622	7.940
16180	7.371
7891	6.802
12446	2.881
29025	5.095
12635	6.233
11121	3.957
7713	2.819
12809	5.664
7833	4.526
7556	2.25
7954	1.786
555074	3.912
7957	1.848
4516601	4.481
56442	2.31
4483639	2.774
4516599	4.376
4512361	4.481
4483638	2.774
4449912	2.31
4512642	4.376
18410	5.629
22408	0.0
66675	3.168
10113	2.372
9484	2.058
23208	-0.816
6085	1.262
7024	3.353
15438	4.491
8896	2.845
14751	4.491
221117	4.43
7787	3.414
8908	3.983
8909	4.552
8910	5.690
71433	2.47
22814	0.0
9095782	2.818
6151	2.59
14299946	3.565
6188	3.471
11099	2.642
73583	3.213
7340	4.113
8158	1.332
11110	3.022
9642	3.335
12577	2.263
11996	1.743
10756390	5.992
62827	2.628
7626	1.786
10265264	4.43
13835550	-1.342
56117	2.006
11230	0.486
63631	0.946
11086	2.96
21106179	1.663
11841	2.176
6402	4.177
1406720	6.444
2056044	4.064
1114	0.063
14692	5.298
10179173	4.43
21800	4.43
8544	2.329
7788	2.898
4927801	9.280
9088156	3.909
29040	3.019
10325078	3.672
55188	1.678
7624	1.590
68224	5.992
24263	4.181
6364	4.024
11749	1.098
14672	1.32
11228	0.903
11864	3.757
12209	2.619
11857	3.467
391428	4.181
10733068	7.490
454638	6.597
12456	4.895
17880	4.326
11845	3.188
11806	2.050
9990	1.616
6309	2.348
7557	1.956
558883	2.480
56020	2.480
10124	2.740
6111	1.707
10265270	5.228
14198	4.222
7794	1.98
7180	4.427
9286	2.028
9411	1.363
14441700	2.553
6148	2.195
6149	2.727
15765	4.43
553642	4.036
15413	1.953
7182	3.546
10669	4.472
66567	2.805
6132	1.8
8569	2.72
12220	3.858
7823	1.582
11849	1.793
10441	0.443
3168	0.866
11833	1.37
455420	3.077
10709	0.801
7558	1.481
6095	1.017
10179239	5.228
12197	1.517
11761	2.621
6108	1.777
69914	4.494
59573	1.160
70850	0.707
38403	2.466
11671339	4.494
7956	0.020
55090	2.448
11180	1.456
274	2.435
6145	0.734
10053	2.428
28993	4.17
59483	2.832
11811	0.605
7777	1.174
15482	3.662
454215	3.019
7856	2.524
8562	1.386
10054	2.09
7730	0.67
11739	2.297
11056	1.728
6146	0.801
9461	2.249
654	-0.176
11194	1.814
6165	1.159
11216	2.086
62230	2.444
16791	3.787
18717	1.792
11210	1.875
518	N/A
11117	2.454
205483	0.793
10979	3.326
61346	3.555
6186	3.608
391	0.419
69371	3.423
69569	4.36
6310	0.512
7606	1.292
7181	3.852
99596	2.834
23255	0.675
6123	0.317
4514529	0.512
11351244	1.648
499714	0.512
78467	0.334
16841	2.681
2062437	3.035
61266	4.35
15954	2.177
11819	2.388
7622	1.819
99440	2.425
11239	1.039
11543	1.966
10790	1.397
6187	3.608
2656	2.595
6827	6.366
20939	3.729
9016	2.818
7817	2.174
11788	0.927
13835316	1.933
6270	1.9
454209	2.295
9633	4.464
9377	3.326
9243	1.261
11148	0.903
923	-0.095
6121	1.695
8576	4.198
7851	3.060
15387	3.629
6315	2.053
7811	1.922
7835	2.491
7769	1.353
7716	0.784
7564	0.215
6101	-0.143
6089	-0.566
6118	2.033
8577	5.646
14349	5.077
7852	4.508
14680	3.939
7776	2.801
7330	2.074
6122	2.233
63863	1.262
2282428	3.156
15486	3.945
7732	1.247
18920	3.018
11861	3.587
123993	2.535
11036	2.238
11029	2.238
11794	1.880
11732	1.965
10511	2.449
21011	1.311
11678	1.669
7533	2.794
3644	0.384
6320	0.742
10947	1.1
6164	0.974
11729	1.669
9254	2.818
9251	3.156
6307	2.391
62589	1.196
7686	1.148
13837280	2.642
9253	2.955
13255	1.446
10512	2.894
13837797	1.25
16641	0.691
6098	1.549
10536	3.881
7827	2.743
9233	2.027
18607	2.027
5730	2.864
3441	3.156
83734	2.955
217	0.0
56559	8.756
9053802	6.48
10787	1.608
29000	1.359
11793	1.928
10526	3.463
120464	2.806
7434	2.855
7459	1.717
11024	1.928
6312	0.579
8398	1.148
24590970	3.172
7733	1.277
56144	3.699
23055	2.69
6130	1.937
7850	4.601
11865	4.032
7714	2.325
10437	1.756
6097	1.398
12219	5.508
7848	4.939
61487	2.786
11863	4.37
7810	3.801
7766	3.232
7711	2.663
7552	2.094
6092	1.736
7791	0.688
12010	4.001
11830	3.432
10497	2.863
31029	2.294
6100	1.936
12228	2.591
6042	2.469
553742	2.258
13836713	1.297
13803	0.684
11898	9.955
72522	9.386
7928	8.817
14348	8.248
2581	7.679
11891	7.110
7917	6.541
7915	5.972
7901	5.403
7892	4.834
7882	4.265
8574	3.696
932	3.127
7812	1.989
7837	2.558
6040	1.42
258	0.851
1004	0.282
682	-0.076
7815	3.370
7560	1.663
6103	1.305
6635	4.452
14829	2.332
6087	1.04
11525	1.0
7721	2.232
6083	1.378
1039	1.311
6088	1.578
864	-0.499
13837281	3.026
937	-0.467
56232	3.008
71390	2.275
5979	3.882
13837190	-0.033
7074	1.792
15077490	3.293
13872989	0.116
13638	1.615
7170	6.862
10534	2.768
6128	1.542
9391	1.386
6086	0.418
10410	6.031
68503	1.042
10675065	2.888
14694	2.537
7090	4.543
7028	0.986
63156	1.623
12626	1.054
62597	0.485
15803	3.211
10487	2.64
13492	7.799
15747	8.368
8356	6.031
13849981	2.468
12933	1.470
6105	1.245
18971812	2.955
14688	5.284
6125	1.816
13835977	0.049
5977	2.074
71876	3.771
7128	5.462
7183	5.785
7088	6.068
15461	6.637
13299573	3.893
107412	2.765
7073	1.865
455353	1.230
16778	0.092
7705	0.194
2340753	2.875
7728	-0.689
8554	0.884
10340	1.515
21112738	1.043
4481813	0.577
13487	7.23
7385	5.523
8531	5.846
7448	5.846
4514586	0.85
764	0.870
10325184	2.875
6406	0.714
12066	-0.243
7738	1.018
7098	2.947
10404	6.661
7419	6.092
7219	4.954
11660	5.277
6999	5.354
5026296	2.734
18688	1.411
7737	0.526
13871721	0.640
1108	4.385
236	4.062
7521	4.708
7641	4.708
7659	5.031
11871	2.998
55130	1.946
10433	1.572
11992	1.377
13836399	0.661
7703	-0.355
10253	5.785
60886	3.5
83962	3.474
12161	0.208
7671	2.559
10446	1.541
62249	0.988
11526	0.412
13571291	0.320
71312	3.494
7026	0.760
7678	1.329
9970	1.898
7672	2.978
7786	2.282
8335	5.846
6301	2.468
10606755	2.136
7657	1.994
22453	1.779
7065	1.21
11193	1.236
13836591	-0.266
13875283	3.289
7553	1.728
11409	5.277
13249	7.001
3631	2.603
13835836	1.273
55084	2.982
7694	2.413
7482	1.844
11716	2.413
11045	1.844
7515	1.275
13836549	2.55
7546	0.628
7677	1.262
13836674	1.390
2293678	3.494
6967	4.708
6977	5.031
21168808	2.231
960	7.570
6177	0.667
61213	2.279
20545	8.647
7472	1.482
11207996	1.338
29016	2.099
7747	1.319
7627	1.124
10571	0.787
7076	2.064
6649	1.604
8012	1.035
7003	1.329
13854944	-0.646
6104	1.519
4937830	1.009
61191	2.947
9614	2.966
7739	2.119
8883	4.766
7757	4.9
7511	3.762
7509	3.193
29005	2.624
10420	2.055
7478	1.258
7475	1.486
7463	0.917
6333	0.212
21111806	2.714
10364	4.185
21111820	2.231
21171407	1.928
3210	4.346
10756	1.947
11910	1.081
7469	1.819
7064	1.604
60329	-0.333
13842001	0.2
13850082	3.208
21106169	0.926
7872	3.867
7875	5.005
7913	6.143
7670	2.845
8568	2.729
14846	3.908
7800	3.339
11843	2.16
29012	1.591
10797	1.277
7538	2.770
7536	2.201
11755	0.888
7706	1.022
7761	1.863
10492	1.083
11680	1.063
11706	1.632
10653	0.494
68179	4.042
10001	1.250
6341	0.466
11727	1.72
7727	-0.756
3951	0.393
21108550	2.714
13836021	-0.885
9724	5.143
11731	1.566
8950	5.157
14866	6.960
6720	2.798
13850142	2.369
558917	2.524
11153	1.382
7559	0.293
558928	2.258
415	-0.984
390927	2.369
10236	5.031
7012	1.449
11065	1.664
28981	3.156
99681	3.109
8525	0.664
6176	0.932
7081	2.018
6313	0.880
13837702	-0.626
9903	4.937
13849989	2.524
55123	2.493
12012	1.924
7534	2.337
10791	0.984
11125	1.355
7782	0.786
8552	1.880
7701	1.311
6316	2.037
9325	2.714
13866593	-0.268
11911	2.811
55091	0.302
552744	0.736
7888	4.725
12013	5.863
123860	1.392
28986	1.829
2863	4.156
6335	0.241
7803	2.449
259	0.742
7616	0.694
171	-0.08
24641	1.875
7129	5.016
7866	3.587
3756	5.294
10033	8.139
30713	2.302
10788	1.3
7621	1.515
8329688	2.617
10777	0.731
441	3.432
7838	2.863
5949	2.294
370	3.018
29029	4.001
7772	1.725
256	1.156
512	0.587
1005	0.173
2018460	3.715
21169510	1.774
48024	-0.533
7013	2.379
7676	3.103
13875281	3.215
7220	4.954
7248	5.277
11661	5.277
12674	6.829
8097	5.506
12071	9.277
10035	9.846
12972	4.105
9976	2.967
7514	1.829
215929	2.398
11025	1.26
7734	0.428
7016	0.691
1087	-0.543
60524	0.428
72551	2.191
763	-1.044
1095	1.687
6179	3.229
2038738	-0.083
11154	2.057
12259	5.677
3973	1.911
13836589	-0.17
172	0.334
13836520	0.272
22191	1.053
75951	1.622
72793	1.306
13835336	-1.275
13875230	3.426
18219	1.821
4514549	1.05
10801109	2.006
15016	8.75
29004	1.221
7871	4.421
21153	4.99
7802	2.714
12218	3.852
12632	3.283
7760	2.145
11095	1.576
21106173	1.221
7607	1.007
13866746	2.591
7577	0.005
7506	3.591
13835861	-0.398
6326	2.158
9228	2.851
29036	2.75
13838404	3.088
7239	3.374
11647	2.069
7530	-0.294
21106535	1.068
6119	2.412
10251740	0.643
9326	1.792
2916	2.195
558875	2.61
6106	2.595
3544	5.342
1266019	3.264
109838	0.253
6321	0.438
175	0.185
13874867	0.287
6314	0.474
4510484	2.495
68832	0.484
62530	2.824
13842613	2.394
7391	2.986
7984	-2.422
11809	0.624
7242	2.255
58234	2.734
26325086	1.178
13862665	0.856
15443	2.247
124968	0.848
9581	2.311
66809	1.456
221082	5.478
13875320	3.553
6642	6.0
62826	3.103
13835376	0.676
127750	0.611
12442	1.941
13857694	2.988
7673	3.441
7443	1.368
7662	3.084
1609	-0.398
363458	-0.116
7684	-0.337
61111	1.359
13875196	2.311
11042	2.009
24972	1.495
28992	0.998
13875160	3.426
13875258	3.764
73479	1.48
8935	2.52
15093	2.121
9994	0.168
29015	-0.38
278	-0.316
4446445	2.988
4444608	1.85
394562	0.817
13839199	1.897
18724	3.406
7238	2.563
21105959	2.675
13866817	2.988
13875392	3.764
13839575	-0.36
6322	0.474
558020	0.348
733	-1.880
6342	2.576
21132380	2.22
7551	2.416
12244	2.802
1266393	0.277
13677	6.830
124	1.062
132	1.07
21106015	0.266
65750	3.999
63903	2.861
10940	2.009
13865438	2.886
7223	2.342
13868640	3.664
29001	0.231
59674	0.526
21106135	2.886
10248	2.591
13837988	2.988
8528	0.340
8900	0.002
10400	6.0
8067	3.372
13839109	0.474
13837537	-0.576
21105905	2.081
11077	1.624
13839123	2.479
9911	2.802
13839174	2.268
906	5.938
7630	0.691
13865426	0.710
13884973	0.487
10710415	0.94
8543	2.098
13835604	-1.594
6093	1.857
59447	-0.312
21106560	2.292
20843	0.998
15965	3.768
70682	4.986
13658	1.992
11862	3.848
7710	2.774
7809	3.49
7765	3.132
69177	2.914
21111822	3.333
6794	3.452
7681	3.010
26516	5.201
17131	2.747
10772140	0.157
7190	2.989
63054	1.669
18801	0.157
68156	-0.201
21106520	1.512
16119	2.591
10244	2.914
924	2.606
13862559	3.084
6788	6.261
7131	2.869
7466	0.304
13861343	1.604
73412	2.794
8904	0.004
13874733	1.723
24535	2.433
25552	1.714
10437215	0.841
12225	0.535
13839151	2.479
