Compound Id	APol
502855	27.476
6191	6.862
26325183	42.866
5709	16.598
6153	3.988
16425	6.242
8521	75.233
23150	34.124
76894	55.343
2041618	58.436
8520	61.530
66656	31.031
26824	61.530
18019	75.233
11434292	44.733
26325084	147.266
6190	8.485
11919	32.796
10696	54.811
26325083	133.564
10451	68.514
23101	47.827
122090	49.587
26325082	119.861
26325081	106.158
512621	35.089
10449	82.217
26325080	92.455
66655	35.884
10652594	53.046
14021447	78.753
67991	30.964
109705	22.853
17619	27.937
9256	6.972
692	3.896
291	4.427
6084	7.521
6094	10.614
7555	13.708
6120	13.708
7712	16.802
6308	16.802
9646	16.802
10781	26.082
15802	29.176
17976	29.176
7767	19.895
7604	19.895
7010	19.895
6163	19.895
6340	19.895
8560	22.989
11094	22.989
11023	22.989
11055	22.989
10786	22.989
7619	22.989
10755	22.989
11551	22.989
349	26.082
11035	26.082
11104	26.082
10795	26.082
10445	26.082
7849	29.176
17558	29.176
13439	29.176
13402	29.176
14840	32.269
13448	32.269
13619	35.363
7890	38.457
11882	41.550
11883	44.644
10540	50.831
7929	63.205
11897	66.299
11899	69.392
12017	72.486
12072	75.580
11900	78.673
11901	81.767
11146	84.860
11902	87.954
10542	100.328
11906	112.703
8878	20.322
11585	22.785
11557190	65.050
10452	41.108
10784857	63.655
108106	79.560
127983	1.902
78828	51.347
68328	37.644
67414	59.670
13837650	10.547
13853215	10.108
9392	10.108
10765	15.468
7674	21.655
14998	24.317
10614293	25.415
61149	12.830
6156	20.422
12201	18.562
11109	18.562
24142	46.404
13622	43.310
16180	40.217
7891	37.123
12446	18.562
29025	27.842
12635	34.029
11121	21.655
7713	15.468
12809	30.936
7833	24.749
7556	12.374
7954	9.281
555074	21.655
7957	12.374
4516601	24.749
56442	12.374
4483639	15.468
4516599	24.749
4512361	24.749
4483638	15.468
4449912	12.374
4512642	24.749
18410	30.936
22408	6.310
66675	33.322
10113	15.468
9484	7.191
23208	2.406
6085	6.187
7024	18.562
15438	24.749
8896	15.468
14751	24.749
221117	24.749
7787	18.562
8908	21.655
8909	24.749
8910	30.936
71433	22.182
22814	5.630
9095782	13.269
6151	7.234
14299946	52.519
6188	11.731
11099	14.134
73583	13.311
7340	40.223
8158	21.662
11110	17.228
9642	7.947
12577	7.082
11996	20.697
10756390	61.851
62827	10.065
7626	20.697
10265264	24.749
13835550	11.054
56117	28.213
11230	15.475
63631	18.568
11086	20.322
21106179	4.098
11841	26.884
6402	28.269
1406720	42.403
2056044	12.830
1114	12.381
14692	29.602
10179173	24.749
21800	24.749
8544	14.134
7788	17.228
4927801	99.450
9088156	55.781
29040	9.465
10325078	10.978
55188	20.697
7624	21.662
68224	61.851
24263	28.269
6364	28.269
11749	17.604
14672	17.604
11228	14.510
11864	23.415
12209	17.228
11857	20.322
391428	28.269
10733068	77.314
454638	42.403
12456	29.602
17880	26.509
11845	20.322
11806	14.134
9990	11.041
6309	14.134
7557	11.041
558883	14.134
56020	14.134
10124	17.228
6111	9.281
10265270	29.602
14198	28.269
7794	27.849
7180	28.269
9286	7.082
9411	13.649
14441700	11.908
6148	8.814
6149	8.857
15765	24.749
553642	23.415
15413	32.108
7182	28.269
10669	28.269
66567	13.851
6132	5.721
8569	26.884
12220	33.071
7823	20.697
11849	20.697
10441	11.416
3168	14.510
11833	17.604
455420	26.884
10709	14.510
7558	11.041
6095	7.947
10179239	29.602
12197	9.707
11761	22.795
6108	7.560
69914	46.388
59573	22.026
70850	15.475
38403	10.758
11671339	46.388
7956	8.323
55090	18.315
11180	20.697
274	3.364
6145	15.475
10053	16.091
28993	28.269
59483	44.003
11811	15.475
7777	18.568
15482	34.036
454215	9.465
7856	27.849
8562	21.662
10054	15.221
7730	15.475
11739	23.791
11056	20.697
6146	14.510
9461	12.847
654	9.288
11194	23.791
6165	17.604
11216	23.791
62230	26.884
16791	23.415
18717	23.791
11210	23.791
518	5.104
11117	15.894
205483	23.750
10979	28.269
61346	11.579
6186	13.354
391	4.234
69371	36.222
69569	44.666
6310	15.475
7606	18.568
7181	28.269
99596	13.421
23255	15.475
6123	12.381
4514529	2.18
11351244	17.654
499714	19.797
78467	22.785
16841	8.595
2062437	12.668
61266	26.69
15954	23.791
11819	23.791
7622	20.697
99440	23.791
11239	17.604
11543	23.791
10790	20.697
6187	13.354
2656	30.404
6827	35.789
20939	28.269
9016	10.218
7817	19.364
11788	20.328
13835316	9.214
6270	36.004
454209	13.488
9633	25.972
9377	19.785
9243	7.411
11148	4.317
923	3.002
6121	12.128
8576	34.036
7851	27.849
15387	30.943
6315	15.221
7811	21.662
7835	24.755
7769	18.568
7716	15.475
7564	12.381
6101	9.288
6089	6.194
6118	12.998
8577	35.169
14349	32.076
7852	28.982
14680	25.889
7776	19.702
7330	12.801
6122	15.298
63863	29.541
2282428	11.088
15486	33.071
7732	13.176
18920	26.884
11861	29.978
123993	26.884
11036	23.791
11029	23.791
11794	20.697
11732	20.697
10511	23.791
21011	17.604
11678	20.697
7533	26.884
3644	11.416
6320	14.510
10947	17.604
6164	17.604
11729	13.514
9254	10.218
9251	11.088
6307	16.091
62589	20.328
7686	20.328
13837280	10.727
9253	11.841
13255	19.364
10512	18.315
13837797	18.030
16641	4.082
6098	7.7
10536	28.982
7827	22.795
9233	16.608
18607	16.608
5730	10.48
3441	11.088
83734	11.841
217	3.1
56559	57.820
9053802	45.446
10787	20.697
29000	17.604
11793	20.697
10526	21.408
120464	21.408
7434	26.884
7459	20.697
11024	20.697
6312	14.510
8398	17.604
24590970	14.291
7733	11.843
56144	13.092
23055	13.531
6130	7.344
7850	27.595
11865	24.502
7714	15.221
10437	12.128
6097	9.034
12219	31.559
7848	28.465
61487	19.185
11863	25.372
7810	22.278
7766	19.185
7711	16.091
7552	12.998
6092	9.904
7791	17.235
12010	24.578
11830	21.485
10497	18.391
31029	15.298
6100	12.204
12228	21.274
6042	12.060
553742	9.214
13836713	12.181
13803	22.828
11898	64.007
72522	60.914
7928	57.820
14348	54.727
2581	51.633
11891	48.539
7917	45.446
7915	42.352
7901	39.259
7892	36.165
7882	33.071
8574	29.978
932	26.884
7812	20.697
7837	23.791
6040	17.604
258	14.510
1004	11.416
682	8.323
7815	22.795
7560	13.514
6103	10.421
6635	20.12
14829	10.437
6087	5.940
11525	16.270
7721	16.608
6083	6.810
1039	10.421
6088	9.110
864	5.229
13837281	12.24
937	2.136
56232	34.838
71390	8.214
5979	16.6
13837190	12.218
7074	25.019
15077490	12.711
13872989	10.083
13638	23.422
7170	33.122
10534	17.654
6128	7.301
9391	11.087
6086	4.854
10410	26.935
68503	24.588
10675065	13.159
14694	10.328
7090	17.325
7028	16.270
63156	19.364
12626	16.270
62597	13.176
15803	31.738
10487	20.075
13492	36.216
15747	39.309
8356	26.935
13849981	30.404
12933	40.062
6105	4.208
18971812	14.892
14688	47.213
6125	10.547
13835977	11.048
5977	8.967
71876	34.3
7128	23.842
7183	26.935
7088	26.935
15461	30.029
13299573	12.449
107412	11.688
7073	26.353
455353	24.593
16778	18.406
7705	18.406
2340753	11.198
7728	12.218
8554	16.270
10340	13.603
21112738	9.460
4481813	8.756
13487	33.122
7385	23.842
8531	26.935
7448	26.935
4514586	3.05
764	16.165
10325184	11.198
6406	15.738
12066	10.885
7738	10.509
7098	18.127
10404	30.029
7419	26.935
7219	20.748
11660	23.842
6999	26.935
5026296	30.404
18688	23.259
7737	13.176
13871721	13.176
1108	17.654
236	14.561
7521	20.748
7641	20.748
7659	23.842
11871	25.695
55130	23.259
10433	23.259
11992	20.166
13836399	21.499
7703	20.335
10253	26.935
60886	22.056
83962	36.060
12161	23.630
7671	26.353
10446	20.166
62249	20.166
11526	11.687
13571291	7.714
71312	11.958
7026	16.270
7678	19.364
9970	22.457
7672	20.945
7786	19.508
8335	26.935
6301	30.404
10606755	10.758
7657	23.259
22453	23.259
7065	20.166
11193	20.166
13836591	15.312
13875283	17.545
7553	11.664
11409	23.842
13249	48.008
3631	12.381
13835836	21.499
55084	29.446
7694	26.353
7482	23.259
11716	26.353
11045	23.259
7515	20.166
13836549	13.902
7546	13.176
7677	20.328
13836674	10.794
2293678	11.958
6967	20.748
6977	23.842
21168808	15.701
960	51.101
6177	17.072
61213	11.908
20545	57.289
7472	20.166
11207996	19.499
29016	23.259
7747	20.166
7627	17.072
10571	17.072
7076	25.019
6649	20.166
8012	17.072
7003	20.592
13854944	16.277
6104	7.454
4937830	8.749
61191	18.127
9614	14.451
7739	12.607
8883	28.269
7757	38.727
7511	32.540
7509	29.446
29005	26.353
10420	23.259
7478	17.874
7475	20.166
7463	17.072
6333	9.551
21111806	14.341
10364	18.081
21111820	15.701
21171407	13.964
3210	44.539
10756	30.404
11910	16.270
7469	20.166
7064	20.166
60329	16.277
13842001	22.464
13850082	36.060
21106169	7.993
7872	32.540
7875	38.727
7913	44.914
7670	28.644
8568	26.353
14846	32.540
7800	29.446
11843	23.259
29012	20.166
10797	22.457
7538	26.353
7536	23.259
11755	13.978
7706	17.072
7761	20.166
10492	17.072
11680	17.072
11706	20.166
10653	13.978
68179	22.890
10001	17.072
6341	13.978
11727	7.422
7727	13.183
3951	12.645
21108550	14.341
13836021	13.183
9724	29.602
11731	13.321
8950	22.508
14866	31.789
6720	30.404
13850142	30.404
558917	30.404
11153	5.831
7559	8.749
558928	9.214
415	14.148
390927	30.404
10236	23.842
7012	16.270
11065	16.270
28981	25.551
99681	36.060
8525	13.978
6176	19.364
7081	19.364
6313	13.176
13837702	17.242
9903	22.508
13849989	30.404
55123	23.259
12012	20.166
7534	25.551
10791	19.364
11125	17.072
7782	13.978
8552	20.166
7701	17.072
6316	13.641
9325	14.341
13866593	20.335
11911	13.574
55091	13.296
552744	12.645
7888	35.633
12013	41.821
123860	27.686
28986	22.457
2863	32.540
6335	10.885
7803	23.259
259	13.978
7616	12.645
171	7.791
24641	28.113
7129	22.508
7866	29.446
3756	38.727
10033	54.195
30713	10.328
10788	19.364
7621	19.364
8329688	12.778
10777	16.270
441	25.551
7838	22.457
5949	19.364
370	26.353
29029	28.644
7772	16.270
256	13.176
512	10.083
1005	10.885
2018460	15.051
21169510	18.518
48024	19.002
7013	15.154
7676	16.074
13875281	19.168
7220	19.414
7248	22.508
11661	22.508
12674	31.789
8097	25.602
12071	60.382
10035	63.476
12972	34.831
9976	28.644
7514	22.457
215929	25.551
11025	19.364
7734	10.885
7016	16.270
1087	4.504
60524	11.850
72551	28.113
763	2.938
1095	15.274
6179	15.087
2038738	14.1
11154	10.624
12259	30.029
3973	14.223
13836589	15.312
172	6.989
13836520	18.832
22191	21.926
75951	25.019
72793	25.019
13835336	10.090
13875230	19.168
18219	16.221
4514549	5.35
10801109	40.489
15016	58.785
29004	20.968
7871	34.831
21153	37.925
7802	25.551
12218	31.738
12632	28.644
7760	22.457
11095	19.364
21106173	20.968
7607	16.270
13866746	14.012
7577	7.791
7506	30.404
13835861	16.277
6326	12.060
9228	15.964
29036	10.707
13838404	11.577
7239	20.554
11647	25.019
7530	22.095
21106535	14.443
6119	9.837
10251740	13.873
9326	15.253
2916	9.194
558875	10.954
6106	13.794
3544	36.486
1266019	36.060
109838	18.406
