Compound Id	BPol
502855	16.680
6191	7.218
26325183	21.870
5709	7.744
6153	4.812
16425	14.058
8521	119.419
23150	50.554
76894	92.091
2041618	94.278
8520	96.464
66656	48.367
26824	96.464
18019	119.419
11434292	71.323
26325084	234.196
6190	6.435
11919	36.344
10696	91.821
26325083	211.240
10451	114.776
23101	73.509
122090	73.509
26325082	188.285
26325081	165.330
512621	51.711
10449	137.731
26325080	142.375
66655	50.554
10652594	103.844
14021447	119.419
67991	43.154
109705	14.107
17619	46.181
9256	7.108
692	3.144
291	4.373
6084	6.559
6094	8.746
7555	10.932
6120	10.932
7712	13.118
6308	13.118
9646	13.118
10781	19.678
15802	21.864
17976	21.864
7767	15.305
7604	15.305
7010	15.305
6163	15.305
6340	15.305
8560	17.491
11094	17.491
11023	17.491
11055	17.491
10786	17.491
7619	17.491
10755	17.491
11551	17.491
349	19.678
11035	19.678
11104	19.678
10795	19.678
10445	19.678
7849	21.864
17558	21.864
13439	21.864
13402	21.864
14840	24.051
13448	24.051
13619	26.237
7890	28.423
11882	30.610
11883	32.796
10540	37.169
7929	45.915
11897	48.101
11899	50.288
12017	52.474
12072	54.660
11900	56.847
11901	59.033
11146	61.220
11902	63.406
10542	72.152
11906	80.897
8878	13.118
11585	12.053
11557190	96.464
10452	68.866
10784857	124.613
108106	109.312
127983	0.298
78828	73.509
68328	50.554
67414	81.984
13837650	5.213
13853215	5.652
9392	5.652
10765	10.932
7674	15.305
14998	31.701
10614293	18.585
61149	11.810
6156	27.598
12201	13.118
11109	13.118
24142	32.796
13622	30.610
16180	28.423
7891	26.237
12446	13.118
29025	19.678
12635	24.051
11121	15.305
7713	10.932
12809	21.864
7833	17.491
7556	8.746
7954	6.559
555074	15.305
7957	8.746
4516601	17.491
56442	8.746
4483639	10.932
4516599	17.491
4512361	17.491
4483638	10.932
4449912	8.746
4512642	17.491
18410	21.864
22408	10.930
66675	41.398
10113	10.932
9484	6.889
23208	0.0
6085	4.373
7024	13.118
15438	17.491
8896	10.932
14751	17.491
221117	17.491
7787	13.118
8908	15.305
8909	17.491
8910	21.864
71433	27.598
22814	8.890
9095782	11.371
6151	3.246
14299946	89.635
6188	4.869
11099	8.746
73583	7.729
7340	31.497
8158	18.378
11110	10.932
9642	4.373
12577	6.998
11996	17.221
10756390	91.821
62827	9.295
7626	17.221
10265264	17.491
13835550	7.426
56117	35.803
11230	14.005
63631	16.192
11086	13.118
21106179	4.702
11841	21.594
6402	17.491
1406720	26.237
2056044	11.810
1114	11.819
14692	19.678
10179173	17.491
21800	17.491
8544	8.746
7788	10.932
4927801	136.640
9088156	78.315
29040	7.195
10325078	6.522
55188	17.221
7624	17.058
68224	91.821
24263	17.491
6364	17.491
11749	15.034
14672	15.034
11228	12.848
11864	15.305
12209	10.932
11857	13.118
391428	17.491
10733068	114.776
454638	26.237
12456	19.678
17880	17.491
11845	13.118
11806	8.746
9990	6.559
6309	8.746
7557	6.559
558883	8.746
56020	8.746
10124	10.932
6111	6.559
10265270	19.678
14198	17.491
7794	21.431
7180	17.491
9286	6.998
9411	11.949
14441700	8.292
6148	6.106
6149	2.463
15765	17.491
553642	15.305
15413	39.906
7182	17.491
10669	17.491
66567	11.591
6132	3.919
8569	21.594
12220	25.967
7823	17.221
11849	17.221
10441	10.662
3168	12.848
11833	15.034
455420	21.594
10709	12.848
7558	6.559
6095	4.373
10179239	19.678
12197	4.373
11761	17.585
6108	2.28
69914	68.866
59573	31.430
70850	12.685
38403	11.320
11671339	68.866
7956	8.475
55090	12.445
11180	15.305
274	1.916
6145	11.365
10053	11.129
28993	17.491
59483	68.377
11811	12.685
7777	14.872
15482	25.804
454215	7.195
7856	21.431
8562	17.058
10054	10.259
7730	12.685
11739	17.491
11056	15.305
6146	10.932
9461	10.991
654	8.312
11194	17.491
6165	13.118
11216	17.491
62230	19.678
16791	15.305
18717	17.491
11210	17.491
518	6.206
11117	8.746
205483	11.890
10979	17.491
61346	8.621
6186	4.086
391	4.466
69371	46.358
69569	66.110
6310	11.365
7606	13.552
7181	17.491
99596	7.619
23255	11.365
6123	9.179
4514529	0.0
11351244	8.746
499714	12.323
78467	10.137
16841	6.325
2062437	9.272
61266	12.030
15954	17.491
11819	17.491
7622	15.305
99440	17.491
11239	13.118
11543	17.491
10790	15.305
6187	4.086
2656	21.594
6827	24.051
20939	17.491
9016	5.542
7817	15.034
11788	16.192
13835316	3.026
6270	44.008
454209	11.152
9633	19.788
9377	15.415
9243	6.669
11148	4.483
923	0.298
6121	8.072
8576	24.484
7851	20.111
15387	22.297
6315	10.259
7811	15.738
7835	17.925
7769	13.552
7716	11.365
7564	9.179
6101	6.992
6089	4.806
6118	8.942
8577	26.331
14349	24.144
7852	21.958
14680	19.771
7776	15.398
7330	6.559
6122	11.242
63863	46.181
2282428	6.412
15486	24.051
7732	10.662
18920	19.678
11861	21.864
123993	19.678
11036	17.491
11029	17.491
11794	15.305
11732	15.305
10511	17.491
21011	13.118
11678	15.305
7533	19.678
3644	8.746
6320	10.932
10947	13.118
6164	13.118
11729	11.026
9254	5.542
9251	6.412
6307	11.129
62589	14.872
7686	14.872
13837280	2.353
9253	4.759
13255	15.034
10512	12.445
13837797	12.848
16641	1.378
6098	3.7
10536	21.958
7827	17.585
9233	13.212
18607	13.212
5730	1.680
3441	6.412
83734	4.759
217	1.3
56559	41.542
9053802	32.796
10787	15.305
29000	13.118
11793	15.305
10526	14.632
120464	14.632
7434	19.678
7459	15.305
11024	15.305
6312	10.932
8398	13.118
24590970	8.489
7733	8.475
56144	7.948
23055	7.509
6130	3.136
7850	19.005
11865	16.818
7714	10.259
10437	8.072
