Compound Id	KierHallSmarts [khs.ssCH2]
502855	0
6191	0
26325183	2
5709	0
6153	0
16425	0
8521	0
23150	0
76894	0
2041618	0
8520	0
66656	0
26824	0
18019	0
11434292	0
26325084	0
6190	0
11919	4
10696	0
26325083	0
10451	0
23101	0
122090	0
26325082	0
26325081	0
512621	0
10449	0
26325080	0
66655	0
10652594	0
14021447	0
67991	0
109705	0
17619	0
9256	0
692	0
291	0
6084	0
6094	1
7555	2
6120	0
7712	3
6308	1
9646	0
10781	1
15802	5
17976	2
7767	4
7604	2
7010	2
6163	1
6340	0
8560	5
11094	3
11023	3
11055	2
10786	1
7619	1
10755	2
11551	3
349	6
11035	4
11104	2
10795	0
10445	1
7849	7
17558	5
13439	1
13402	4
14840	8
13448	2
13619	9
7890	10
11882	11
11883	12
10540	14
7929	18
11897	19
11899	20
12017	21
12072	22
11900	23
11901	24
11146	25
11902	26
10542	30
11906	34
8878	5
11585	0
11557190	0
10452	0
10784857	0
108106	8
127983	0
78828	0
68328	0
67414	6
13837650	2
13853215	0
9392	0
10765	0
7674	5
14998	1
10614293	1
61149	0
6156	0
12201	1
11109	3
24142	12
13622	11
16180	10
7891	9
12446	2
29025	6
12635	8
11121	4
7713	2
12809	7
7833	5
7556	1
7954	0
555074	3
7957	0
4516601	4
56442	0
4483639	1
4516599	4
4512361	4
4483638	1
4449912	0
4512642	4
18410	8
22408	0
66675	0
10113	0
9484	0
23208	0
6085	0
7024	4
15438	6
8896	5
14751	6
221117	4
7787	6
8908	7
8909	8
8910	10
71433	0
22814	0
9095782	0
6151	0
14299946	0
6188	0
11099	1
73583	0
7340	9
8158	3
11110	2
9642	0
12577	1
11996	1
10756390	0
62827	1
7626	0
10265264	4
13835550	2
56117	2
11230	1
63631	0
11086	4
21106179	0
11841	2
6402	2
1406720	5
2056044	0
1114	0
14692	6
10179173	4
21800	4
8544	3
7788	4
4927801	10
9088156	3
29040	0
10325078	0
55188	1
7624	0
68224	0
24263	2
6364	3
11749	1
14672	0
11228	0
11864	5
12209	3
11857	5
391428	2
10733068	0
454638	4
12456	7
17880	6
11845	4
11806	2
9990	0
6309	0
7557	0
558883	0
56020	0
10124	0
6111	1
10265270	8
14198	3
7794	2
7180	1
9286	0
9411	1
14441700	1
6148	0
6149	0
15765	4
553642	6
15413	3
7182	2
10669	2
66567	0
6132	0
8569	6
12220	8
7823	4
11849	4
10441	1
3168	2
11833	3
455420	6
10709	2
7558	1
6095	0
10179239	8
12197	0
11761	0
6108	0
69914	0
59573	0
70850	0
38403	0
11671339	0
7956	0
55090	1
11180	0
274	0
6145	0
10053	0
28993	2
59483	0
11811	2
7777	3
15482	8
454215	0
7856	6
8562	4
10054	0
7730	2
11739	3
11056	2
6146	0
9461	1
654	0
11194	1
6165	1
11216	3
62230	4
16791	4
18717	1
11210	3
518	N/A
11117	2
205483	0
10979	3
61346	1
6186	0
391	0
69371	0
69569	0
6310	1
7606	2
7181	2
99596	0
23255	1
6123	0
4514529	0
11351244	3
499714	1
78467	1
16841	0
2062437	0
61266	0
15954	2
11819	2
7622	1
99440	1
11239	0
11543	2
10790	1
6187	0
2656	4
6827	10
20939	3
9016	0
7817	3
11788	5
13835316	0
6270	4
454209	1
9633	7
9377	5
9243	1
11148	0
923	0
6121	0
8576	9
7851	7
15387	8
6315	1
7811	5
7835	6
7769	4
7716	3
7564	2
6101	1
6089	0
6118	0
8577	9
14349	8
7852	7
14680	6
7776	4
7330	1
6122	0
63863	0
2282428	0
15486	7
7732	1
18920	5
11861	6
123993	3
11036	4
11029	4
11794	3
11732	2
10511	4
21011	2
11678	3
7533	3
3644	0
6320	1
10947	2
6164	1
11729	1
9254	0
9251	0
6307	1
62589	4
7686	4
13837280	0
9253	0
13255	2
10512	4
13837797	2
16641	0
6098	0
10536	6
7827	4
9233	2
18607	2
5730	0
3441	0
83734	0
217	0
56559	15
9053802	11
10787	1
29000	2
11793	3
10526	5
120464	2
7434	5
7459	3
11024	3
6312	1
8398	2
24590970	0
7733	0
56144	0
23055	1
6130	0
7850	7
11865	6
7714	3
10437	2
6097	1
12219	8
7848	7
61487	1
11863	6
7810	5
7766	4
7711	3
7552	2
6092	1
7791	5
12010	5
11830	4
10497	3
31029	2
6100	1
12228	0
6042	0
553742	0
13836713	1
13803	0
11898	19
72522	18
7928	17
14348	16
2581	15
11891	14
7917	13
7915	12
7901	11
7892	10
7882	9
8574	8
932	7
7812	5
7837	6
6040	4
258	3
1004	2
682	1
7815	5
7560	2
6103	1
6635	0
14829	0
6087	0
11525	1
7721	3
6083	0
1039	0
6088	0
864	0
13837281	0
937	0
56232	7
71390	0
5979	0
13837190	1
7074	1
15077490	0
13872989	1
13638	7
7170	0
10534	1
6128	0
9391	0
6086	0
10410	1
68503	0
10675065	1
14694	1
7090	0
7028	3
63156	4
12626	3
62597	2
15803	3
10487	5
13492	6
15747	7
8356	1
13849981	2
12933	6
6105	1
18971812	0
14688	11
6125	0
13835977	1
5977	0
71876	6
7128	0
7183	0
7088	0
15461	1
13299573	1
107412	1
7073	1
455353	6
16778	4
7705	2
2340753	1
7728	2
8554	5
10340	0
21112738	1
4481813	0
13487	5
7385	2
8531	2
7448	2
4514586	0
764	0
10325184	1
6406	0
12066	3
7738	0
7098	0
10404	4
7419	3
7219	1
11660	1
6999	0
5026296	3
18688	1
7737	4
13871721	1
1108	0
236	0
7521	0
7641	0
7659	0
11871	4
55130	2
10433	2
11992	1
13836399	5
7703	3
10253	0
60886	0
83962	3
12161	0
7671	1
10446	0
62249	0
11526	0
13571291	0
71312	0
7026	4
7678	5
9970	6
7672	5
7786	2
8335	2
6301	2
10606755	0
7657	2
22453	2
7065	1
11193	1
13836591	3
13875283	0
7553	1
11409	1
13249	13
3631	0
13835836	2
55084	6
7694	5
7482	4
11716	5
11045	4
7515	3
13836549	0
7546	2
7677	5
13836674	1
2293678	0
6967	0
6977	0
21168808	0
960	14
6177	0
61213	1
20545	14
7472	1
11207996	2
29016	2
7747	1
7627	0
10571	0
7076	3
6649	2
8012	1
7003	1
13854944	2
6104	1
4937830	0
61191	0
9614	0
7739	0
8883	6
7757	9
7511	7
7509	6
29005	5
10420	4
7478	2
7475	3
7463	2
6333	0
21111806	0
10364	0
21111820	0
21171407	1
3210	5
10756	3
11910	0
7469	2
7064	2
60329	3
13842001	4
13850082	2
21106169	1
7872	7
7875	9
7913	11
7670	2
8568	5
14846	7
7800	6
11843	4
29012	3
10797	0
7538	5
7536	4
11755	0
7706	2
7761	2
10492	1
11680	2
11706	3
10653	1
68179	5
10001	1
6341	0
11727	0
7727	2
3951	0
21108550	0
13836021	2
9724	3
11731	0
8950	1
14866	0
6720	3
13850142	3
558917	3
11153	1
7559	0
558928	0
415	3
390927	3
10236	0
7012	1
11065	1
28981	4
99681	3
8525	1
6176	0
7081	2
6313	0
13837702	4
9903	3
13849989	3
55123	5
12012	4
7534	3
10791	1
11125	3
7782	2
8552	4
7701	3
6316	1
9325	0
13866593	5
11911	1
55091	0
552744	0
7888	9
12013	11
123860	6
28986	4
2863	8
6335	0
7803	5
259	2
7616	0
171	0
24641	5
7129	0
7866	7
3756	10
10033	15
30713	0
10788	1
7621	1
8329688	1
10777	0
441	6
7838	5
5949	4
370	6
29029	7
7772	3
256	2
512	1
1005	1
2018460	1
21169510	1
48024	4
7013	2
7676	0
13875281	0
7220	0
7248	0
11661	0
12674	5
8097	4
12071	17
10035	18
