Compound Id	LargestChain
502855	4
6191	8
26325183	3
5709	2
6153	5
16425	7
8521	21
23150	9
76894	15
2041618	16
8520	17
66656	8
26824	17
18019	21
11434292	12
26325084	43
6190	8
11919	9
10696	0
26325083	39
10451	0
23101	13
122090	14
26325082	35
26325081	31
512621	9
10449	0
26325080	27
66655	10
10652594	0
14021447	23
67991	9
109705	4
17619	7
9256	7
692	1
291	0
6084	1
6094	3
7555	4
6120	4
7712	5
6308	5
9646	5
10781	8
15802	9
17976	9
7767	6
7604	6
7010	6
6163	6
6340	6
8560	7
11094	7
11023	7
11055	7
10786	7
7619	7
10755	7
11551	7
349	8
11035	8
11104	8
10795	8
10445	8
7849	9
17558	9
13439	9
13402	9
14840	10
13448	10
13619	11
7890	12
11882	13
11883	14
10540	16
7929	20
11897	21
11899	22
12017	23
12072	24
11900	25
11901	26
11146	27
11902	28
10542	32
11906	36
8878	0
11585	4
11557190	19
10452	0
10784857	0
108106	1
127983	1
78828	15
68328	11
67414	1
13837650	4
13853215	8
9392	8
10765	5
7674	0
14998	7
10614293	8
61149	12
6156	5
12201	6
11109	6
24142	15
13622	14
16180	13
7891	12
12446	6
29025	9
12635	11
11121	7
7713	5
12809	10
7833	8
7556	4
7954	3
555074	7
7957	4
4516601	8
56442	4
4483639	5
4516599	8
4512361	8
4483638	5
4449912	4
4512642	8
18410	5
22408	0
66675	8
10113	5
9484	5
23208	3
6085	1
7024	0
15438	3
8896	0
14751	2
221117	0
7787	0
8908	0
8909	0
8910	0
71433	6
22814	0
9095782	8
6151	5
14299946	0
6188	8
11099	5
73583	8
7340	13
8158	7
11110	6
9642	2
12577	6
11996	7
10756390	1
62827	8
7626	7
10265264	0
13835550	4
56117	9
11230	5
63631	6
11086	0
21106179	4
11841	9
6402	0
1406720	0
2056044	12
1114	3
14692	10
10179173	0
21800	0
8544	0
7788	0
4927801	1
9088156	16
29040	7
10325078	8
55188	7
7624	7
68224	1
24263	0
6364	0
11749	6
14672	6
11228	5
11864	8
12209	6
11857	0
391428	0
10733068	2
454638	0
12456	10
17880	9
11845	7
11806	5
9990	4
6309	5
7557	4
558883	5
56020	5
10124	6
6111	0
10265270	0
14198	0
7794	9
7180	2
9286	6
9411	9
14441700	6
6148	5
6149	5
15765	0
553642	0
15413	11
7182	2
10669	2
66567	11
6132	4
8569	9
12220	11
7823	7
11849	7
10441	4
3168	5
11833	6
455420	9
10709	5
7558	4
6095	3
10179239	0
12197	4
11761	7
6108	2
69914	1
59573	7
70850	5
38403	10
11671339	1
7956	3
55090	6
11180	7
274	2
6145	5
10053	5
28993	10
59483	0
11811	5
7777	6
15482	11
454215	7
7856	9
8562	7
10054	5
7730	5
11739	8
11056	7
6146	5
9461	8
654	2
11194	8
6165	6
11216	8
62230	9
16791	8
18717	8
11210	8
518	0
11117	0
205483	4
10979	2
61346	9
6186	8
391	0
69371	9
69569	13
6310	5
7606	6
7181	2
99596	7
23255	5
6123	4
4514529	0
11351244	0
499714	3
78467	4
16841	7
2062437	7
61266	0
15954	8
11819	8
7622	7
99440	8
11239	6
11543	8
10790	7
6187	8
2656	0
6827	0
20939	2
9016	7
7817	7
11788	0
13835316	4
6270	13
454209	6
9633	9
9377	7
9243	3
11148	1
923	3
6121	4
8576	11
7851	9
15387	10
6315	5
7811	7
7835	8
7769	6
7716	5
7564	4
6101	3
6089	1
6118	4
8577	11
14349	10
7852	9
14680	8
7776	6
7330	0
6122	4
63863	9
2282428	7
15486	11
7732	5
18920	9
11861	10
123993	9
11036	8
11029	8
11794	7
11732	7
10511	8
21011	6
11678	7
7533	9
3644	4
6320	5
10947	6
6164	6
11729	4
9254	7
9251	7
6307	5
62589	0
7686	0
13837280	5
9253	7
13255	0
10512	6
13837797	7
16641	3
6098	3
10536	9
7827	7
9233	5
18607	5
5730	5
3441	7
83734	7
217	0
56559	19
9053802	15
10787	7
29000	6
11793	7
10526	7
120464	7
7434	9
7459	7
11024	7
6312	5
8398	6
24590970	7
7733	5
56144	10
23055	6
6130	4
7850	9
11865	8
7714	5
10437	4
6097	3
12219	10
7848	9
61487	6
11863	8
7810	7
7766	6
7711	5
7552	4
6092	3
7791	0
12010	7
11830	6
10497	5
31029	4
6100	3
12228	0
6042	5
553742	4
13836713	4
13803	8
11898	21
72522	20
7928	19
14348	18
2581	17
11891	16
7917	15
7915	14
7901	13
7892	12
7882	11
8574	10
932	9
7812	7
7837	8
6040	6
258	5
1004	4
682	3
7815	7
7560	4
6103	3
6635	10
14829	5
6087	1
11525	6
