Compound Id	ALOGP [AMR]
937	0.0
127983	2.243
217	0.0
692	6.307
763	5.129
748	7.015
23208	1.443
291	0.0
11148	6.569
391	0.0
274	6.384
923	1.945
6105	6.601
21106179	6.860
6086	6.965
864	8.261
8960	10.568
22814	0.0
6153	8.309
518	N/A
278	8.572
1087	2.886
16641	12.293
6085	9.976
6089	9.919
4514529	0.0
22408	0.0
9642	14.257
13571291	16.271
693	8.794
6087	11.312
11153	11.520
6084	10.557
6102	11.623
7568	16.376
172	11.718
6132	11.695
9243	10.863
2275	15.553
12066	16.897
10205670	12.654
10441	17.306
4937830	16.304
6111	8.735
6135	9.307
6083	14.296
6128	10.823
6123	19.417
9484	11.713
6095	13.266
7956	13.013
682	12.555
1019	0.0
9990	19.568
4514586	0.0
12577	12.019
9286	11.090
11727	12.858
16425	9.008
7577	13.341
171	12.644
1143	9.943
6098	14.777
9256	11.980
9994	13.955
7954	15.880
6101	14.213
654	14.693
6108	22.366
6104	16.438
8900	0.0
6191	12.869
21106169	13.711
21112738	18.092
7559	16.366
4481813	15.253
28994	14.491
173	12.866
6088	19.643
13835235	14.554
6130	16.529
6097	15.606
6314	20.723
11228	22.511
13836713	23.551
6151	17.579
6094	14.709
70850	24.192
11811	22.519
6145	23.723
6310	23.202
773	3.3
7738	1.619
5978	20.035
12197	17.911
7566	16.647
6093	19.255
512	16.742
13872989	17.424
175	16.195
2018165	15.873
6148	16.548
12640	5.733
8902	0.0
13835336	16.211
6103	18.682
1039	19.187
7030	17.067
6333	17.291
71390	19.338
6338	13.694
6092	18.590
2005981	17.934
21106015	17.605
19475	23.743
23730	24.344
7736	3.3
12442	18.896
16841	16.898
7557	20.294
7558	18.115
10772140	17.397
11154	24.415
13835977	19.082
1004	16.087
3644	17.760
13835550	17.869
13835316	20.461
553742	19.579
558928	19.579
1577	4.222
7790	17.559
2916	22.072
8899	7.794
6190	17.704
7734	17.635
1005	17.667
6335	17.413
5894	20.051
13836674	20.475
659	20.559
29008	18.548
11749	26.296
11910	25.421
7012	24.458
11065	25.111
6164	26.404
11239	26.129
5977	21.364
7330	25.503
62827	15.798
7546	18.540
7737	16.867
11756	15.231
4514549	0.0
3102535	2.565
363458	28.352
7556	18.957
56442	21.784
4449912	21.784
7957	19.931
7564	17.745
1114	19.988
7777	25.431
7606	26.114
8904	0.0
8903	0.0
6149	22.214
6125	20.660
29040	19.715
454215	19.623
7029	18.465
7739	7.794
9391	18.296
7733	20.397
394562	22.270
6322	20.843
60524	19.730
6330	17.889
6334	18.563
5993	20.187
6100	23.937
13837190	18.866
13835224	19.138
7728	19.305
13839553	17.465
558020	1.184
62808	0.873
124968	1.157
14829	21.383
21111820	13.296
10437	19.138
6121	20.811
558875	25.215
8544	22.134
7553	23.459
11526	19.036
592	19.005
10771217	22.620
10498	21.076
6119	24.173
81815	3.89
14694	21.597
30713	20.927
7555	17.621
6120	20.0
24043	28.037
19476	29.213
6177	26.346
8012	25.384
12957	27.876
13875283	6.375
1020	0.0
10340	7.352
12225	5.899
1348	8.595
844	18.988
29015	22.087
10018	19.808
7717	19.558
6311	21.285
7732	20.999
6321	21.218
13871721	23.328
62597	20.336
6313	21.381
256	19.653
9016	21.816
9254	21.733
14441700	20.080
61213	20.895
7727	20.962
13836021	20.986
8733	19.123
13863629	7.913
9363	1.184
61111	0.873
7560	22.214
11729	23.481
10606755	18.028
38403	18.117
7636	21.652
374462	21.063
3951	21.649
7616	21.105
552744	23.195
8896	14.558
7615	17.226
387	18.992
5439	18.783
13837650	20.656
13853215	22.539
9392	22.539
7552	22.122
6118	23.794
733	20.516
454209	19.377
66565	2.367
7817	27.442
7081	27.536
11809	20.516
13837280	25.262
236	0.0
11731	26.980
8141	20.268
29036	26.981
13837537	23.768
2340753	24.581
10325184	24.406
107412	20.541
11099	25.160
6309	24.576
558883	26.198
56020	26.198
11806	21.440
1095	23.041
8351654	22.332
3168	21.6
10709	20.838
6312	21.545
258	18.999
6320	20.672
6146	22.065
415	20.780
4444456	25.277
12229	1.945
9614	0.873
5730	26.849
7551	26.623
2282428	24.549
9251	24.541
3441	24.633
9461	22.155
8329688	23.878
61346	20.616
9095782	21.133
21171407	28.806
7782	21.167
11755	22.839
10653	22.436
8525	21.707
6341	22.306
259	20.579
23621376	19.030
7021	21.336
11244	21.336
1141	14.884
21111806	1.745
21108550	1.745
9325	1.745
7961	28.216
10251740	8.838
66021	6.102
10437074	5.616
66996	5.992
6042	26.217
6326	25.710
10325078	25.347
11117	29.541
2062437	24.330
13867413	22.736
10675065	18.272
7630	22.082
7026	17.609
8554	19.778
7028	21.451
13835459	25.449
29004	30.225
13634	10.147
6106	32.392
10765	24.415
7713	23.409
4483639	24.861
4483638	24.861
10113	25.835
7469	29.114
7472	29.823
6649	28.462
21943	30.788
84036	32.170
68152	33.854
25889	33.843
7018	23.567
7716	20.656
