Compound Id	AutocorrelationPolarizability [ATSp2]
937	0.0
127983	3.160
217	0.0
692	5.773
763	3.642
748	5.853
23208	4.128
291	0.0
11148	4.892
391	0.0
274	9.539
923	9.420
6105	9.210
21106179	12.978
6086	9.850
864	8.309
8960	11.216
22814	0.0
6153	16.222
518	N/A
278	16.285
1087	37.212
16641	24.012
6085	15.218
6089	13.017
4514529	0.0
22408	0.0
9642	43.129
13571291	62.994
693	23.761
6087	18.215
11153	30.714
6084	14.973
6102	25.988
7568	71.691
172	26.506
6132	42.292
9243	24.157
2275	106.721
12066	114.131
10205670	57.579
10441	63.168
4937830	54.135
6111	67.403
6135	34.975
6083	29.452
6128	32.546
6123	92.447
9484	40.165
6095	35.201
7956	29.341
682	32.242
1019	119.324
9990	71.020
4514586	0.0
12577	48.2
9286	48.587
11727	43.469
16425	126.470
7577	40.965
171	47.106
1143	56.514
6098	56.602
9256	55.471
9994	87.614
7954	47.441
6101	42.476
654	41.354
6108	111.696
6104	64.790
8900	111.144
6191	62.003
21106169	59.634
21112738	85.924
7559	64.281
4481813	56.717
28994	56.292
173	61.023
6088	59.588
13835235	52.428
6130	88.367
6097	55.131
6314	123.645
11228	117.914
13836713	134.331
6151	110.674
6094	46.125
70850	144.629
11811	129.770
6145	167.674
6310	147.662
773	149.970
7738	137.431
5978	198.560
12197	76.423
7566	60.730
6093	89.610
512	62.006
13872989	71.904
175	65.702
2018165	81.077
6148	91.906
12640	183.599
8902	195.949
13835336	65.129
6103	77.238
1039	81.077
7030	133.785
6333	92.744
71390	121.823
6338	71.808
6092	78.199
2005981	140.304
21106015	81.201
19475	146.467
23730	141.739
7736	166.968
12442	94.759
16841	110.041
7557	94.182
7558	73.883
10772140	103.280
11154	150.577
13835977	86.429
1004	69.475
3644	75.118
13835550	79.021
13835316	136.304
553742	118.813
558928	118.813
1577	165.737
7790	131.803
2916	118.447
8899	253.051
6190	126.351
7734	77.086
1005	89.244
6335	82.779
5894	89.8
13836674	104.654
659	139.293
29008	181.299
11749	173.143
11910	202.829
7012	177.770
11065	175.201
6164	214.414
11239	198.443
5977	151.203
7330	204.541
62827	105.805
7546	138.872
7737	150.494
11756	84.009
4514549	0.0
3102535	271.487
363458	278.375
7556	91.333
56442	91.149
4449912	91.149
7957	101.472
7564	83.722
1114	89.752
7777	182.328
7606	204.596
8904	195.759
8903	195.818
6149	189.327
6125	132.394
29040	149.689
454215	160.098
7029	175.491
7739	274.869
9391	109.994
7733	110.118
394562	110.656
6322	117.577
60524	111.026
6330	107.616
6334	105.599
5993	109.655
6100	135.696
13837190	79.215
13835224	101.939
7728	86.694
13839553	94.555
558020	213.367
62808	214.474
124968	212.405
14829	164.598
21111820	372.698
10437	101.674
6121	114.727
558875	188.645
8544	198.044
7553	135.904
11526	98.860
592	124.414
10771217	200.023
10498	119.406
6119	194.133
81815	202.729
14694	164.462
30713	165.128
7555	88.529
6120	98.2
24043	207.170
19476	201.406
6177	246.392
8012	217.010
12957	196.469
13875283	341.863
1020	214.456
10340	205.671
12225	182.787
1348	223.314
844	137.8
29015	169.142
10018	169.449
7717	105.191
6311	116.943
7732	106.740
6321	113.569
13871721	119.312
62597	118.987
6313	119.199
256	107.011
9016	184.514
9254	188.181
14441700	145.668
61213	140.912
7727	101.745
13836021	107.959
8733	110.287
13863629	229.107
9363	233.019
61111	234.095
7560	130.905
11729	142.801
10606755	147.326
38403	123.247
7636	200.882
374462	253.448
3951	160.023
7616	129.773
552744	143.112
8896	191.642
7615	117.250
387	130.223
5439	120.010
13837650	115.755
13853215	210.602
9392	214.792
7552	132.470
6118	152.535
733	130.602
454209	123.543
66565	251.3
7817	207.202
7081	244.189
11809	130.254
13837280	224.310
236	233.878
11731	210.488
8141	222.601
29036	242.417
13837537	200.847
2340753	205.4
10325184	214.799
107412	165.637
11099	145.563
6309	163.763
558883	145.959
56020	145.959
11806	120.883
1095	282.063
8351654	252.174
3168	103.410
10709	106.755
6312	128.617
258	115.504
6320	124.838
6146	141.683
415	126.857
4444456	174.898
12229	261.733
9614	254.527
5730	288.931
7551	184.801
2282428	237.894
