Compound Id	HybridizationRatio
937	N/A
127983	N/A
217	N/A
692	0.0
763	N/A
748	N/A
23208	N/A
291	1.0
11148	1.0
391	N/A
274	N/A
923	N/A
6105	1.0
21106179	1.0
6086	N/A
864	1.0
8960	N/A
22814	N/A
6153	1.0
518	N/A
278	0.0
1087	N/A
16641	N/A
6085	0.0
6089	1.0
4514529	N/A
22408	N/A
9642	0.0
13571291	0.0
693	0.0
6087	1.0
11153	1.0
6084	1.0
6102	1.0
7568	1.0
172	0.5
6132	1.0
9243	1.0
2275	0.667
12066	1.0
10205670	0.5
10441	1.0
4937830	1.0
6111	1.0
6135	1.0
6083	1.0
6128	1.0
6123	1.0
9484	1.0
6095	1.0
7956	1.0
682	1.0
1019	0.0
9990	1.0
4514586	N/A
12577	1.0
9286	1.0
11727	1.0
16425	N/A
7577	0.5
171	0.5
1143	0.0
6098	0.0
9256	1.0
9994	1.0
7954	0.333
6101	1.0
654	1.0
6108	N/A
6104	1.0
8900	0.0
6191	1.0
21106169	1.0
21112738	1.0
7559	0.0
4481813	0.5
28994	0.5
173	0.5
6088	1.0
13835235	1.0
6130	1.0
6097	1.0
6314	0.25
11228	1.0
13836713	0.333
6151	1.0
6094	1.0
70850	1.0
11811	1.0
6145	1.0
6310	1.0
773	0.0
7738	0.0
5978	1.0
12197	0.0
7566	1.0
6093	1.0
512	0.667
13872989	0.333
175	0.667
2018165	1.0
6148	1.0
12640	0.25
8902	0.0
13835336	1.0
6103	1.0
1039	1.0
7030	0.667
6333	0.0
71390	1.0
6338	1.0
6092	1.0
2005981	0.0
21106015	1.0
19475	0.333
23730	1.0
7736	0.0
12442	1.0
16841	1.0
7557	0.0
7558	1.0
10772140	0.5
11154	1.0
13835977	0.333
1004	1.0
3644	1.0
13835550	1.0
13835316	0.0
553742	0.0
558928	0.0
1577	0.0
7790	1.0
2916	1.0
8899	0.0
6190	1.0
7734	0.667
1005	0.667
6335	0.667
5894	1.0
13836674	0.333
659	1.0
29008	1.0
11749	1.0
11910	0.8
7012	0.8
11065	0.8
6164	1.0
11239	1.0
5977	1.0
7330	0.2
62827	1.0
7546	1.0
7737	1.0
11756	1.0
4514549	N/A
3102535	0.0
363458	1.0
7556	0.5
56442	0.5
