Compound Id	MDE [MDEC-12]
937	0.0
127983	0.0
217	0.0
692	0.0
763	0.0
748	0.0
23208	0.0
291	0.0
11148	0.0
391	0.0
274	0.0
923	0.0
6105	0.0
21106179	0.0
6086	0.0
864	0.0
8960	0.0
22814	0.0
6153	0.0
518	0.0
278	0.0
1087	0.0
16641	0.0
6085	0.0
6089	0.0
4514529	0.0
22408	0.0
9642	2.0
13571291	1.414
693	0.0
6087	0.0
11153	0.0
6084	0.0
6102	1.0
7568	0.0
172	1.0
6132	0.0
9243	1.0
2275	0.0
12066	0.0
10205670	0.0
10441	1.414
4937830	1.414
6111	0.0
6135	0.0
6083	0.0
6128	0.0
6123	0.0
9484	0.0
6095	2.0
7956	0.0
682	1.0
1019	0.0
9990	2.828
4514586	0.0
12577	0.0
9286	0.0
11727	0.5
16425	0.0
7577	0.5
171	0.0
1143	0.0
6098	1.0
9256	0.0
9994	0.0
7954	2.0
6101	1.0
654	0.0
6108	0.0
6104	0.0
8900	0.0
6191	0.0
21106169	0.0
21112738	1.414
7559	1.414
4481813	1.0
28994	0.5
173	0.0
6088	0.0
13835235	0.0
6130	0.0
6097	1.0
6314	1.0
11228	0.0
13836713	1.414
6151	0.0
6094	2.0
70850	0.0
11811	2.149
6145	0.0
6310	1.0
773	0.0
7738	0.0
5978	0.0
12197	2.828
7566	1.414
6093	0.0
512	1.414
13872989	1.414
175	0.0
2018165	0.0
6148	0.0
12640	0.816
8902	0.0
13835336	0.0
6103	1.0
1039	0.0
7030	0.0
6333	1.0
71390	0.0
6338	1.0
6092	1.0
2005981	0.0
21106015	0.0
19475	1.414
23730	1.414
7736	0.0
12442	0.0
16841	0.0
7557	2.828
7558	2.828
10772140	0.0
11154	0.0
13835977	1.414
1004	1.414
3644	0.0
13835550	0.0
13835316	0.0
553742	0.0
558928	0.0
1577	0.0
7790	0.0
2916	0.0
8899	0.0
6190	0.0
7734	1.155
1005	1.0
6335	0.0
5894	0.0
13836674	1.414
659	0.0
29008	0.0
11749	1.5
11910	1.5
7012	2.149
11065	1.633
6164	1.5
11239	0.0
5977	0.0
7330	0.0
62827	0.0
7546	1.155
7737	0.0
11756	1.0
4514549	0.0
3102535	0.0
363458	1.040
7556	2.828
56442	2.828
4449912	2.828
7957	0.0
7564	1.414
1114	0.0
7777	2.621
7606	1.633
8904	0.0
8903	0.0
6149	0.0
6125	0.0
29040	0.0
454215	0.0
7029	0.0
7739	0.0
9391	0.0
7733	2.309
394562	1.651
6322	1.414
60524	0.0
6330	1.0
6334	0.0
5993	1.0
6100	1.0
13837190	1.0
13835224	0.5
7728	0.816
13839553	0.0
558020	0.0
62808	0.0
124968	0.0
14829	0.0
21111820	1.310
10437	1.414
6121	0.0
558875	0.0
8544	0.0
7553	1.414
11526	0.0
592	0.0
10771217	0.0
10498	0.0
6119	0.0
81815	0.0
14694	0.0
30713	0.0
7555	2.828
6120	0.0
24043	2.309
19476	2.149
6177	0.0
8012	1.414
12957	2.149
13875283	1.633
1020	0.0
10340	1.145
12225	0.667
1348	1.310
844	0.0
29015	0.0
10018	0.0
7717	1.651
6311	1.0
7732	2.309
6321	1.414
13871721	1.651
62597	1.651
6313	1.0
256	1.651
9016	0.0
9254	0.0
14441700	1.0
61213	0.5
7727	0.816
13836021	0.816
8733	0.0
13863629	0.0
9363	0.0
61111	0.0
7560	1.414
11729	1.414
10606755	0.0
38403	0.0
7636	0.5
374462	0.0
3951	0.0
7616	1.155
552744	1.414
8896	0.0
7615	1.414
387	0.0
5439	1.0
13837650	0.0
13853215	0.0
9392	0.0
7552	1.414
6118	0.0
733	0.0
454209	1.414
66565	0.0
7817	3.135
7081	2.884
11809	0.0
13837280	0.0
236	0.0
11731	0.0
8141	0.0
29036	0.0
13837537	0.0
2340753	0.0
10325184	0.0
107412	0.0
11099	3.302
6309	1.890
558883	3.302
56020	3.302
11806	3.302
1095	0.0
8351654	0.0
3168	2.309
10709	2.149
6312	1.0
258	1.651
6320	1.414
6146	0.0
415	0.0
4444456	0.0
12229	0.0
