Compound Id	ChiCluster [SC-3]
937	0.0
127983	0.0
217	0.0
692	0.0
763	0.0
748	0.0
23208	0.0
291	0.0
11148	0.0
391	0.0
274	0.0
923	0.0
6105	0.0
21106179	0.577
6086	0.0
864	0.0
8960	0.0
22814	0.0
6153	2.0
518	N/A
278	0.0
1087	0.0
16641	0.0
6085	0.0
6089	0.0
4514529	0.0
22408	0.0
9642	0.0
13571291	0.0
693	0.0
6087	0.0
11153	0.0
6084	0.0
6102	0.0
7568	0.0
172	0.0
6132	0.577
9243	0.0
2275	0.289
12066	0.0
10205670	0.408
10441	0.0
4937830	0.0
6111	0.0
6135	0.577
6083	0.0
6128	0.577
6123	0.577
9484	2.0
6095	0.0
7956	0.0
682	0.0
1019	0.0
9990	0.0
4514586	0.0
12577	1.561
9286	0.667
11727	0.0
16425	8.165
7577	0.0
171	0.577
1143	0.577
6098	0.0
9256	1.655
9994	0.0
7954	0.0
6101	0.0
654	0.0
6108	0.0
6104	0.0
8900	0.0
6191	2.5
21106169	1.561
21112738	0.0
7559	0.0
4481813	0.0
28994	0.0
173	0.577
6088	0.0
13835235	0.0
6130	0.577
6097	0.0
6314	0.408
11228	0.408
13836713	0.0
6151	2.0
6094	0.0
70850	0.408
11811	0.0
6145	2.0
6310	0.408
773	0.0
7738	0.0
5978	2.0
12197	0.0
7566	0.0
6093	0.0
512	0.0
13872989	0.0
175	0.577
2018165	0.408
6148	2.0
12640	0.289
8902	0.0
13835336	0.0
6103	0.0
1039	0.0
7030	0.289
6333	0.408
71390	0.577
6338	0.408
6092	0.0
2005981	0.577
21106015	0.0
19475	0.289
23730	0.289
7736	0.0
12442	0.0
16841	1.655
7557	0.0
7558	0.0
10772140	0.408
11154	0.0
13835977	0.0
1004	0.0
3644	0.577
13835550	0.0
13835316	0.577
553742	0.0
558928	0.0
1577	0.289
7790	0.0
2916	0.0
8899	0.0
6190	2.5
7734	0.0
1005	0.408
6335	0.408
5894	0.408
13836674	0.0
659	0.577
29008	0.0
11749	0.408
11910	1.561
7012	0.289
11065	0.408
6164	1.561
11239	0.667
5977	0.577
7330	0.0
62827	1.339
7546	0.204
7737	0.0
11756	0.408
4514549	0.0
3102535	0.289
363458	0.289
7556	0.0
56442	0.0
4449912	0.0
7957	0.577
7564	0.0
1114	0.577
7777	0.0
7606	0.408
8904	0.0
8903	0.0
6149	2.0
6125	0.577
29040	1.655
454215	1.655
7029	0.289
7739	0.0
9391	1.655
7733	0.0
394562	0.0
6322	0.408
60524	0.408
6330	0.408
6334	0.408
5993	0.408
6100	0.0
13837190	0.0
13835224	0.408
7728	0.0
13839553	0.0
558020	0.289
62808	0.289
124968	0.289
14829	2.0
21111820	0.289
10437	0.0
6121	0.577
558875	0.0
8544	0.0
7553	0.0
11526	0.289
592	0.667
10771217	0.667
10498	0.0
6119	0.577
81815	0.5
14694	1.561
30713	0.667
7555	0.0
6120	0.577
24043	0.204
19476	0.289
6177	1.655
8012	0.569
12957	0.289
13875283	0.577
1020	0.0
10340	0.289
12225	0.289
1348	0.289
844	0.816
29015	0.0
10018	0.0
7717	0.0
6311	0.408
7732	0.0
6321	0.408
13871721	0.0
62597	0.0
6313	0.408
256	0.0
9016	1.655
9254	1.655
14441700	1.561
61213	1.561
7727	0.0
13836021	0.0
8733	0.0
13863629	0.204
9363	0.289
61111	0.289
7560	0.0
11729	0.0
10606755	2.366
38403	1.978
7636	0.577
374462	0.471
3951	0.667
7616	0.408
552744	0.408
8896	0.0
7615	0.408
387	0.667
5439	0.408
13837650	0.0
13853215	2.5
9392	2.5
7552	0.0
6118	0.577
733	0.289
454209	1.561
66565	0.577
7817	0.0
7081	0.204
11809	0.0
13837280	0.408
236	0.0
11731	0.0
8141	0.289
29036	0.577
13837537	0.0
2340753	1.561
10325184	1.561
107412	1.339
11099	0.0
6309	0.408
558883	0.0
56020	0.0
11806	0.0
1095	0.0
8351654	0.789
3168	0.0
10709	0.0
6312	0.408
258	0.0
6320	0.408
6146	2.0
415	0.0
4444456	0.0
12229	0.289
