Compound Id	VAdjMa
937	1.0
127983	2.0
217	1.0
692	2.0
763	2.0
748	2.0
23208	2.585
291	1.0
11148	2.0
391	1.0
274	2.585
923	2.585
6105	2.585
21106179	3.0
6086	2.0
864	2.0
8960	2.0
22814	1.0
6153	3.322
518	1.0
278	2.585
1087	2.585
16641	2.585
6085	2.0
6089	2.0
4514529	1.0
22408	1.0
9642	2.585
13571291	3.0
693	2.585
6087	2.0
11153	2.585
6084	2.0
6102	2.585
7568	3.0
172	2.585
6132	3.0
9243	2.585
2275	3.322
12066	3.322
10205670	3.322
10441	3.0
4937830	3.0
6111	2.585
6135	3.0
6083	2.0
6128	3.0
6123	3.0
9484	3.322
6095	2.585
7956	2.585
682	2.585
1019	3.322
9990	3.0
4514586	1.0
12577	3.585
9286	3.585
11727	3.0
16425	3.807
7577	3.0
171	3.0
1143	3.0
6098	2.585
9256	3.807
9994	3.0
7954	2.585
6101	2.585
654	2.585
6108	2.585
6104	2.585
8900	3.322
6191	4.0
21106169	3.585
21112738	3.0
7559	3.0
4481813	3.0
28994	3.0
173	3.0
6088	2.0
13835235	3.0
6130	3.0
6097	2.585
6314	3.322
11228	3.322
13836713	3.0
6151	3.322
6094	2.585
70850	3.322
11811	3.322
6145	3.322
6310	3.322
773	3.322
7738	3.322
5978	3.322
12197	3.0
7566	3.0
6093	2.585
512	3.0
13872989	3.0
175	3.0
2018165	3.322
6148	3.322
12640	3.585
8902	3.585
13835336	3.0
6103	2.585
1039	2.585
7030	3.585
6333	3.322
71390	3.0
6338	3.322
6092	2.585
2005981	3.0
21106015	3.0
19475	3.585
23730	3.585
7736	3.322
12442	3.0
16841	3.807
7557	3.0
7558	3.0
10772140	3.322
11154	2.585
13835977	3.0
1004	3.0
3644	3.0
13835550	3.0
13835316	3.0
553742	3.0
558928	3.0
1577	3.585
7790	3.585
2916	2.585
8899	3.322
6190	4.0
7734	3.322
1005	3.322
6335	3.322
5894	3.322
13836674	3.0
659	3.0
29008	3.322
11749	3.585
11910	3.585
7012	3.585
11065	3.585
6164	3.585
11239	3.585
