Compound Id	ChiCluster [VC-3]
937	0.0
127983	0.0
217	0.0
692	0.0
763	0.0
748	0.0
23208	0.0
291	0.0
11148	0.0
391	0.0
274	0.0
923	0.0
6105	0.0
21106179	0.031
6086	0.0
864	0.0
8960	0.0
22814	0.0
6153	0.108
518	N/A
278	0.0
1087	0.0
16641	0.0
6085	0.0
6089	0.0
4514529	0.0
22408	0.0
9642	0.0
13571291	0.0
693	0.0
6087	0.0
11153	0.0
6084	0.0
6102	0.0
7568	0.0
172	0.0
6132	0.094
9243	0.0
2275	0.059
12066	0.0
10205670	0.065
10441	0.0
4937830	0.0
6111	0.0
6135	0.0
6083	0.0
6128	0.082
6123	0.333
9484	0.241
6095	0.0
7956	0.0
682	0.0
1019	0.0
9990	0.0
4514586	0.0
12577	0.179
9286	0.095
11727	0.0
16425	1.323
7577	0.0
171	0.091
1143	0.068
6098	0.0
9256	0.192
9994	0.0
7954	0.0
6101	0.0
654	0.0
6108	0.0
6104	0.0
8900	0.0
6191	0.268
21106169	0.179
21112738	0.0
7559	0.0
4481813	0.0
28994	0.0
173	0.118
6088	0.0
13835235	0.0
6130	0.281
6097	0.0
6314	0.204
11228	0.236
13836713	0.0
6151	0.648
6094	0.0
70850	0.289
11811	0.0
6145	1.366
6310	0.408
773	0.0
7738	0.0
5978	0.997
12197	0.0
7566	0.0
6093	0.0
512	0.0
13872989	0.0
175	0.204
2018165	0.058
6148	0.581
12640	0.129
8902	0.0
13835336	0.0
6103	0.0
1039	0.0
7030	0.034
6333	0.053
71390	0.486
6338	0.0
6092	0.0
2005981	0.204
21106015	0.0
19475	0.115
23730	0.141
7736	0.0
12442	0.0
16841	0.274
7557	0.0
7558	0.0
10772140	0.065
11154	0.0
13835977	0.0
1004	0.0
3644	0.258
13835550	0.0
13835316	0.455
553742	0.0
558928	0.0
1577	0.058
7790	0.0
2916	0.0
8899	0.0
6190	0.465
7734	0.0
1005	0.065
6335	0.083
5894	0.2
13836674	0.0
659	0.354
29008	0.0
11749	0.408
11910	1.366
7012	0.236
11065	0.408
6164	1.561
11239	0.482
5977	0.842
7330	0.0
62827	0.287
7546	0.118
7737	0.0
11756	0.0
4514549	0.0
3102535	0.105
363458	0.167
7556	0.0
56442	0.0
4449912	0.0
7957	0.354
7564	0.0
1114	0.447
7777	0.0
7606	0.408
8904	0.0
8903	0.0
6149	1.458
6125	0.742
29040	0.365
454215	0.651
7029	0.059
7739	0.0
9391	0.280
7733	0.0
394562	0.0
6322	0.118
60524	0.224
6330	0.083
6334	0.102
5993	0.258
6100	0.0
13837190	0.0
13835224	0.183
7728	0.0
13839553	0.0
558020	0.049
62808	0.063
124968	0.038
14829	1.314
21111820	0.167
10437	0.0
6121	0.655
558875	0.0
8544	0.0
7553	0.0
11526	0.034
592	0.182
10771217	0.424
10498	0.0
6119	1.458
81815	0.071
14694	0.435
30713	0.286
7555	0.0
6120	0.577
24043	0.082
19476	0.141
6177	1.296
8012	0.257
12957	0.141
13875283	0.230
1020	0.0
10340	0.118
12225	0.1
1348	0.149
844	0.129
29015	0.0
10018	0.0
7717	0.0
6311	0.289
7732	0.0
6321	0.144
13871721	0.0
62597	0.0
6313	0.333
256	0.0
9016	0.522
9254	0.493
14441700	0.435
61213	0.389
7727	0.0
13836021	0.0
8733	0.0
13863629	0.068
9363	0.049
61111	0.063
7560	0.0
11729	0.0
10606755	0.386
38403	0.229
7636	0.201
374462	0.272
3951	0.222
7616	0.083
552744	0.053
8896	0.0
7615	0.0
387	0.408
5439	0.048
13837650	0.0
13853215	0.662
9392	0.913
7552	0.0
6118	1.134
733	0.129
454209	0.389
66565	0.098
7817	0.0
7081	0.167
11809	0.0
13837280	0.371
236	0.0
11731	0.0
8141	0.102
29036	2.525
13837537	0.0
2340753	0.435
10325184	0.716
107412	0.287
11099	0.0
6309	0.204
558883	0.0
56020	0.0
11806	0.0
1095	0.0
8351654	0.112
3168	0.0
10709	0.0
6312	0.408
258	0.0
6320	0.183
6146	1.171
415	0.0
4444456	0.0
12229	0.0
