Compound Id	WeightedPath [WTPT-3]
937	1.0
127983	4.0
217	1.0
692	2.0
763	4.0
748	2.0
23208	6.828
291	0.0
11148	2.0
391	1.0
274	4.414
923	6.828
6105	4.414
21106179	6.732
6086	0.0
864	2.0
8960	4.0
22814	1.0
6153	9.0
518	1.0
278	4.414
1087	6.828
16641	6.828
6085	0.0
6089	2.0
4514529	1.0
22408	1.0
9642	0.0
13571291	2.311
693	4.414
6087	2.0
11153	4.414
6084	0.0
6102	2.207
7568	4.621
172	2.207
6132	6.732
9243	2.207
2275	5.207
12066	5.75
10205670	6.955
10441	2.561
4937830	2.311
6111	0.0
6135	7.220
6083	2.0
6128	4.488
6123	2.244
9484	6.75
6095	0.0
7956	2.414
682	2.207
1019	5.75
9990	0.0
4514586	1.0
12577	9.237
9286	9.301
11727	4.871
16425	16.899
7577	4.871
171	4.488
1143	6.732
6098	2.207
9256	11.588
9994	2.75
7954	0.0
6101	2.207
654	2.414
6108	4.414
6104	4.414
8900	8.625
6191	13.875
21106169	9.237
21112738	2.311
7559	2.311
4481813	4.871
28994	4.871
173	4.488
6088	2.0
13835235	4.621
6130	6.732
6097	2.207
6314	2.329
11228	2.587
13836713	2.311
6151	9.0
6094	0.0
70850	2.587
11811	2.634
6145	2.25
6310	2.329
773	5.75
7738	2.875
5978	7.5
12197	0.0
7566	2.311
6093	4.414
512	2.311
13872989	2.311
175	2.244
2018165	6.955
6148	6.75
12640	5.791
8902	5.875
13835336	4.621
6103	2.207
1039	2.414
7030	8.243
6333	4.626
71390	6.732
6338	7.478
6092	2.207
2005981	6.732
21106015	4.621
19475	7.970
23730	7.970
7736	2.875
12442	4.621
16841	11.588
7557	0.0
7558	0.0
10772140	6.955
11154	4.414
13835977	2.311
1004	2.311
3644	2.244
13835550	4.621
13835316	4.488
553742	4.621
558928	4.621
1577	11.143
7790	8.813
2916	4.414
8899	5.75
6190	13.875
7734	5.070
1005	4.626
6335	4.9
5894	7.767
13836674	2.311
659	4.976
29008	2.875
11749	2.647
11910	2.332
7012	2.364
11065	2.372
6164	2.332
11239	2.325
5977	6.732
7330	0.0
62827	11.777
7546	2.706
7737	2.875
11756	10.340
4514549	1.0
3102535	5.650
363458	5.878
7556	0.0
56442	0.0
4449912	0.0
7957	0.0
7564	2.311
1114	2.732
7777	2.670
7606	2.372
8904	5.875
8903	5.875
6149	9.0
6125	4.488
29040	11.588
454215	11.588
7029	5.352
7739	2.875
9391	9.260
7733	2.707
394562	2.362
6322	2.313
60524	4.916
6330	4.626
6334	4.9
5993	5.181
6100	2.207
13837190	5.268
13835224	4.642
7728	4.996
13839553	4.725
558020	8.369
62808	8.379
124968	8.359
14829	6.75
21111820	2.9
10437	2.311
6121	2.244
558875	4.621
8544	0.0
7553	2.311
11526	7.653
592	6.976
10771217	9.301
10498	4.725
6119	6.732
81815	16.648
14694	9.237
30713	9.301
7555	0.0
6120	0.0
24043	8.173
19476	8.072
6177	4.655
8012	4.697
12957	8.072
13875283	2.495
1020	2.938
10340	2.891
12225	5.782
1348	6.008
844	9.415
29015	5.875
10018	5.875
7717	2.362
6311	2.329
7732	2.707
6321	2.313
13871721	2.362
62597	2.362
6313	2.329
256	2.362
9016	11.588
9254	11.588
14441700	6.905
61213	6.936
7727	4.996
13836021	4.996
8733	4.725
13863629	5.384
9363	5.425
61111	5.435
7560	2.311
11729	2.561
10606755	16.427
38403	17.006
7636	8.273
374462	4.856
3951	4.651
7616	5.081
552744	4.695
8896	0.0
7615	7.607
387	7.524
5439	7.428
13837650	4.621
13853215	13.875
9392	13.875
7552	2.311
6118	2.244
733	7.109
454209	4.604
66565	7.913
7817	2.817
7081	2.398
11809	4.725
13837280	6.955
236	0.0
11731	5.121
8141	2.461
29036	6.732
13837537	5.875
2340753	9.237
10325184	9.237
107412	11.777
11099	0.0
6309	0.0
558883	0.0
56020	0.0
11806	0.0
1095	2.875
8351654	19.169
3168	2.707
10709	2.634
6312	2.329
258	2.362
6320	2.313
6146	2.25
415	4.725
4444456	4.725
12229	5.650
9614	2.491
5730	9.0
7551	4.621
2282428	11.588
9251	11.588
3441	11.588
9461	9.817
8329688	6.936
61346	13.998
9095782	9.25
21171407	2.311
7782	5.169
11755	5.105
10653	5.018
8525	5.081
6341	4.651
259	4.695
23621376	7.839
7021	7.653
11244	7.524
1141	10.852
21111806	4.988
21108550	4.990
9325	4.978
7961	9.237
10251740	7.751
66021	8.369
10437074	8.379
66996	8.359
6042	6.75
6326	6.955
10325078	13.875
11117	0.0
2062437	9.260
13867413	7.466
10675065	11.893
7630	7.467
7026	2.461
8554	2.938
7028	2.891
13835459	5.875
29004	8.782
13634	2.975
6106	4.414
10765	0.0
7713	0.0
4483639	0.0
4483638	0.0
10113	0.0
7469	4.730
7472	5.173
6649	4.743
21943	8.123
84036	8.275
68152	8.012
25889	8.209
7018	7.109
7716	2.362
23255	2.313
11230	2.852
7730	2.707
13838404	6.732
971	2.491
10008	5.425
7688	5.878
1664	5.438
71089	5.868
8543	4.725
6316	4.642
62826	11.777
10197150	9.472
10488	5.425
21168808	2.891
13647	7.831
221117	0.0
7220	0.0
10364	0.0
7672	2.491
59674	2.388
11752	5.081
13816	5.018
29107	5.198
61707	4.651
10464	4.695
65936	8.413
2038738	8.425
31029	2.311
6122	2.244
13836589	5.341
13836591	5.169
10948	4.746
13835209	4.777
13861343	14.464
4489	4.990
11351244	0.0
577	10.852
9360	4.988
9350	4.990
9326	4.978
9253	11.588
83734	11.588
71312	11.588
2293678	11.588
23055	6.905
10054	2.25
7714	2.362
6315	2.313
13299573	13.998
7689	5.425
11784	5.435
11785	5.438
9411	12.234
3631	17.006
7788	0.0
21105795	4.962
7791	2.938
13866746	12.436
70714	8.379
70715	8.359
7514	2.434
11036	2.434
472932	16.972
105291	16.896
5976	13.338
6188	13.875
99596	9.260
7712	0.0
6308	0.0
9646	0.0
2056044	18.903
61149	18.968
5889	2.491
21106520	2.944
13874733	2.947
13839199	2.934
1078	9.472
13836549	14.906
1015	12.179
7770	2.388
11525	2.382
12626	2.388
7772	2.388
10777	2.325
7016	2.382
7607	2.348
73583	11.563
7241	5.439
7225	5.424
78	5.427
60329	5.169
1609	5.059
13854944	5.283
13835861	4.634
24099	4.777
12816	5.424
9943	5.427
10772050	11.588
13837760	4.978
4878	4.988
17443	8.722
120489	8.733
9349	4.990
11600	5.392
764	4.990
21106535	7.109
7721	2.362
9233	2.707
18607	2.634
13837281	9.301
66567	16.344
7676	2.491
156255	4.938
9547	7.332
6406	5.039
13862665	5.171
29001	4.707
7024	0.0
7787	0.0
15077490	11.588
63054	12.436
11799	7.671
7466	7.859
10053	2.25
6307	2.329
7711	2.362
18971812	9.25
10781	0.0
11783	5.435
7685	5.425
13630	5.438
63889	8.157
9228	4.990
1108	0.0
10534	0.0
7679	2.491
12643	2.491
7684	6.106
12499	14.906
24590970	9.260
6950	9.129
56144	16.427
11110	0.0
12209	0.0
10124	0.0
24041	8.148
25886	8.376
19477	8.325
17784	8.215
3973	12.049
7224	2.452
11833	2.670
29000	2.372
8398	2.364
6040	2.388
14672	2.591
21011	2.348
10947	2.382
6165	2.302
13837702	4.777
235	2.452
55091	11.588
66809	5.747
62489	5.733
11080	4.988
5596	4.978
392	4.990
13257	5.662
12231	5.646
2606	11.588
8528	7.913
8878	0.0
19231	8.703
7681	2.491
11911	9.237
6342	9.301
18219	7.975
7248	0.0
11661	0.0
7710	4.725
768	14.696
11125	5.218
10492	5.186
7463	5.199
7706	5.171
11680	5.077
7701	4.730
10001	4.707
7627	5.113
10571	5.039
5708	8.173
19953955	7.944
13848341	10.242
76394	8.148
13835604	7.656
7138	7.831
7443	7.726
913	7.795
5709	7.791
7673	2.491
13875432	4.988
13875219	4.990
13837686	4.978
7013	7.109
92731	14.135
13874867	7.452
71787	9.961
7745	9.472
7678	2.491
13255	2.895
59447	5.878
48024	6.106
8868	3.050
5593	6.101
13835932	9.597
28981	2.424
4510484	2.424
7534	2.434
215929	2.442
13662	13.535
123207	8.157
7090	7.118
12201	0.0
11109	0.0
12446	0.0
7769	2.388
63631	2.873
24263	0.0
6364	0.0
7221	2.971
7240	2.986
6186	13.875
6187	13.875
7238	2.761
13835772	2.489
13839082	2.495
21105871	2.494
13860335	2.452
24533	5.961
28992	5.871
20843	5.876
21106032	4.777
6156	3.0
789	9.458
13836520	5.651
10628694	11.845
185	14.696
21106036	12.857
4444608	2.401
13837797	2.854
7794	2.880
11795	4.730
120621	5.113
20119	5.171
26765	5.077
192642	5.039
12821	4.962
12478	4.961
7389	5.341
10497	2.362
109838	5.506
16778	5.255
7705	5.199
13835293	4.716
13839441	4.803
13863618	4.965
28682	8.383
238	4.815
123	4.961
63908	8.458
9581	5.272
13875196	5.271
2018460	11.752
10512	2.388
55090	2.302
456015	8.733
13869451	4.988
13854248	4.978
13869339	4.990
1151	17.183
9574	7.328
11086	0.0
11857	0.0
7677	2.491
11788	3.159
62589	2.947
7686	2.934
776	3.050
7478	8.064
15802	0.0
17976	0.0
9579	7.327
10664	10.345
955	10.345
13837787	10.347
1266393	7.536
13875441	4.988
13842573	4.990
6974	4.978
10437239	17.123
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
7234	2.761
13854136	2.489
13835151	2.495
13860692	2.494
21105905	2.975
21106560	2.971
7242	2.986
11077	2.946
11042	2.935
10940	2.938
10937	2.950
13842613	2.925
21132380	2.939
7223	2.452
11582	10.315
6774	8.070
9218	7.848
7236	5.214
7480	5.461
499714	4.736
13857694	4.988
13866817	4.990
13837988	4.978
12228	2.491
83866	4.978
83850	4.978
6621	5.553
7671	5.209
7074	5.326
62467	7.328
30516	8.427
10487	2.491
11846	2.401
7098	9.632
61191	9.630
73412	4.777
6176	2.327
10791	2.394
10788	2.348
7621	2.354
11025	2.417
11095	2.365
5949	2.401
63156	2.401
10101	13.709
68156	4.803
9377	2.401
5026296	2.522
13648	5.403
2241	4.815
13644	5.383
13856009	5.388
11087	2.491
8657	5.272
8665	5.271
9564	4.981
447	5.274
2039535	8.910
10384035	8.932
4962	4.965
10437135	8.887
7776	2.388
7180	0.0
7182	0.0
10669	0.0
8531	0.0
8335	0.0
10253	0.0
10979	0.0
7181	0.0
13875160	2.495
13875281	2.489
13875230	2.494
13840690	2.452
4449	4.978
744	17.183
68832	4.788
7674	0.0
8908	0.0
191367	7.703
11695	8.064
7766	2.388
61487	2.302
331	7.332
7142	7.328
132	7.327
7145	10.345
13846959	10.345
13853943	10.347
222538	11.160
65523	11.182
2849146	11.204
10437210	10.225
21108548	4.990
21106019	4.961
21106014	4.965
16159	7.113
7786	5.561
7219	0.0
7521	0.0
7641	0.0
6967	0.0
9874	4.760
13054	8.211
15443	2.452
10939	2.489
6179	11.588
21106470	6.138
8855	6.105
11861	2.380
11845	0.0
13839308	2.433
10536	2.927
7823	2.854
7812	2.401
11793	2.393
7622	2.354
7459	2.381
11024	2.389
11794	2.365
11678	2.417
10787	2.348
7626	2.759
11996	2.737
55188	2.628
11732	2.373
10790	2.394
11056	2.328
11180	2.311
13866593	4.803
7703	5.334
21106020	10.345
13853953	10.347
21106013	10.345
256210	5.777
7518	4.990
13876539	2.433
7132	2.408
21106524	2.452
21168826	2.454
13865424	2.455
71433	3.104
455090	9.006
503239	8.976
13860775	5.274
13869480	5.272
13869414	5.271
11849	2.817
11083	7.484
6988	7.477
8140	7.477
65	7.477
10857	7.467
6633	7.467
21111822	2.495
7239	2.761
6550	8.071
26325086	8.775
71430	8.523
21106173	8.782
7765	4.777
13859497	8.597
6775	4.928
11672	4.921
11773	4.922
12012	5.243
7761	5.227
8552	4.747
62249	5.042
7515	5.289
7475	5.258
29012	5.216
11706	5.106
7064	4.720
11992	5.231
10446	5.118
7065	5.220
11207996	4.730
