Compound Id	BPol
937	0.270
127983	0.298
217	1.3
692	3.144
763	0.270
748	1.753
23208	0.0
291	4.373
11148	4.483
391	4.466
274	1.916
923	0.298
6105	4.592
21106179	4.702
6086	2.186
864	4.373
8960	1.733
22814	8.890
6153	4.812
518	6.206
278	3.144
1087	4.196
16641	1.378
6085	4.373
6089	4.806
4514529	0.0
22408	10.930
9642	4.373
13571291	2.846
693	3.578
6087	3.7
11153	3.809
6084	6.559
6102	3.940
7568	3.266
172	5.331
6132	3.919
9243	6.669
2275	7.247
12066	10.391
10205670	5.441
10441	10.662
4937830	4.373
6111	6.559
6135	4.536
6083	4.570
6128	6.779
6123	9.179
9484	6.889
6095	4.373
7956	8.475
682	6.559
1019	4.6
9990	6.559
4514586	0.0
12577	6.998
9286	6.998
11727	5.558
16425	14.058
7577	7.247
171	5.331
1143	4.011
6098	3.7
9256	7.108
9994	8.475
7954	6.559
6101	6.992
654	8.312
6108	2.28
6104	3.026
8900	4.826
6191	7.218
21106169	6.889
21112738	3.7
7559	5.331
4481813	5.466
28994	7.084
173	5.764
6088	6.870
13835235	6.559
6130	3.136
6097	5.886
6314	7.517
11228	12.848
13836713	8.839
6151	3.246
6094	8.746
70850	12.685
11811	12.685
6145	11.365
6310	11.365
773	6.353
7738	6.289
5978	13.035
12197	4.373
7566	6.126
6093	3.896
512	7.517
13872989	6.559
175	7.517
2018165	6.106
6148	6.106
12640	8.106
8902	5.693
13835336	6.992
6103	8.839
1039	8.839
7030	9.163
6333	5.331
71390	4.006
6338	6.722
6092	6.756
2005981	4.193
21106015	5.886
19475	8.177
23730	10.364
7736	6.126
12442	6.866
16841	6.325
7557	6.559
7558	6.559
10772140	4.658
11154	6.196
13835977	6.992
1004	8.746
3644	8.746
13835550	7.426
13835316	3.026
553742	3.026
558928	3.026
1577	5.260
7790	12.307
2916	4.766
8899	6.880
6190	6.435
7734	9.433
1005	7.517
6335	9.433
5894	8.177
13836674	5.886
659	10.937
29008	10.499
11749	15.034
11910	11.890
7012	11.890
11065	11.890
6164	13.118
11239	13.118
5977	2.353
7330	6.559
62827	9.295
7546	10.662
7737	10.662
11756	7.318
4514549	0.0
3102535	7.219
363458	14.601
7556	8.746
56442	8.746
4449912	8.746
7957	8.746
7564	9.179
1114	11.819
7777	14.872
7606	13.552
8904	7.013
8903	7.013
6149	2.463
6125	5.213
29040	7.195
454215	7.195
7029	9.433
7739	6.653
9391	9.075
7733	8.475
394562	7.517
6322	7.517
60524	7.652
6330	7.950
6334	9.270
5993	10.590
6100	9.056
13837190	12.578
13835224	8.746
7728	10.662
13839553	8.746
558020	7.123
62808	7.123
124968	7.123
14829	5.323
21111820	8.839
10437	8.072
6121	8.072
558875	4.766
8544	8.746
7553	6.756
11526	11.349
592	7.517
10771217	3.984
10498	5.453
6119	3.223
81815	4.989
14694	5.432
30713	5.432
7555	10.932
6120	10.932
24043	10.364
19476	10.364
6177	11.890
8012	11.890
12957	12.550
13875283	8.855
1020	6.786
10340	8.475
12225	8.106
1348	9.859
844	6.289
29015	12.578
10018	12.578
7717	8.312
6311	8.312
7732	10.662
6321	9.704
13871721	8.746
62597	8.746
6313	9.704
256	9.704
9016	5.542
9254	5.542
14441700	8.292
61213	8.292
7727	11.095
13836021	10.499
8733	9.179
13863629	7.247
9363	6.896
61111	6.896
7560	11.026
11729	11.026
10606755	9.404
38403	11.320
7636	11.349
374462	9.612
3951	7.517
7616	9.433
552744	7.517
8896	10.932
7615	8.908
387	8.908
5439	9.866
13837650	5.213
13853215	5.652
9392	5.652
7552	8.942
6118	8.942
733	8.746
454209	11.152
66565	7.006
7817	15.034
7081	14.076
11809	8.072
13837280	2.353
236	6.559
11731	8.839
8141	9.704
29036	4.093
13837537	12.415
2340753	6.302
10325184	6.302
107412	8.512
11099	8.746
6309	8.746
558883	8.746
56020	8.746
11806	8.746
1095	11.026
8351654	4.854
3168	12.848
10709	12.848
6312	10.932
258	10.932
6320	10.932
6146	10.932
415	9.612
4444456	5.213
12229	7.084
9614	6.669
5730	1.680
7551	6.953
2282428	6.412
9251	6.412
3441	6.412
9461	10.991
8329688	9.162
61346	8.621
9095782	11.371
21171407	9.056
7782	11.620
11755	11.620
10653	11.620
8525	11.620
6341	9.704
259	9.704
23621376	10.364
7021	11.024
11244	11.024
1141	7.609
21111806	6.779
21108550	6.779
9325	6.779
7961	4.540
10251740	7.247
66021	6.340
10437074	6.340
66996	6.340
6042	4.540
6326	4.540
10325078	6.522
11117	8.746
2062437	9.272
13867413	9.0
10675065	11.481
7630	10.391
7026	10.932
8554	12.848
7028	12.848
13835459	12.252
29004	18.866
13634	8.972
6106	9.366
10765	10.932
7713	10.932
4483639	10.932
4483638	10.932
10113	10.932
7469	14.076
7472	15.992
6649	14.076
21943	14.736
84036	14.736
68152	14.736
25889	14.736
7018	8.072
7716	11.365
23255	11.365
11230	14.005
7730	12.685
13838404	4.963
971	6.559
10008	7.219
7688	9.199
1664	7.219
71089	9.199
8543	7.399
6316	7.399
62826	9.382
10197150	6.289
10488	11.620
21168808	8.839
13647	13.281
221117	17.491
7220	8.746
10364	6.559
7672	13.315
59674	8.746
11752	11.457
13816	11.457
29107	12.777
61707	10.137
10464	10.137
65936	6.580
2038738	6.580
31029	11.242
6122	11.242
13836589	14.764
13836591	12.848
10948	10.932
13835209	10.932
13861343	2.516
4489	6.289
11351244	8.746
577	8.177
9360	6.669
9350	6.669
9326	6.669
9253	4.759
83734	4.759
71312	7.282
2293678	7.282
23055	7.509
10054	10.259
7714	10.259
6315	10.259
13299573	9.491
7689	6.113
11784	6.113
11785	6.113
9411	11.949
3631	10.537
7788	10.932
21105795	7.517
7791	12.685
13866746	7.108
70714	7.210
70715	7.210
7514	16.263
11036	17.491
472932	7.311
105291	8.929
5976	8.567
6188	4.869
99596	7.619
7712	13.118
6308	13.118
9646	13.118
2056044	11.810
61149	11.810
5889	6.992
21106520	8.972
13874733	8.972
13839199	8.972
1078	8.475
13836549	7.218
1015	8.993
7770	10.499
11525	10.932
12626	10.932
7772	11.890
10777	11.890
7016	11.890
7607	11.890
73583	7.729
7241	6.353
7225	6.353
78	6.353
60329	13.281
1609	13.281
13854944	14.005
13835861	11.365
24099	11.365
12816	7.744
9943	7.744
10772050	3.311
13837760	6.559
4878	6.559
17443	11.115
120489	11.115
9349	7.102
11600	9.433
764	6.559
21106535	7.399
7721	13.212
9233	13.212
18607	13.212
13837281	1.680
66567	11.591
7676	5.886
156255	11.798
9547	7.627
6406	11.620
13862665	11.620
29001	10.662
7024	13.118
7787	13.118
15077490	5.629
63054	6.998
11799	11.095
7466	13.373
10053	11.129
6307	11.129
7711	11.129
18971812	10.588
10781	19.678
11783	6.983
7685	6.983
13630	6.983
63889	6.411
9228	5.996
1108	8.746
10534	8.746
7679	11.890
12643	10.932
7684	15.921
12499	7.108
24590970	8.489
6950	5.693
56144	7.948
11110	10.932
12209	10.932
10124	10.932
24041	16.923
25886	12.550
19477	16.923
17784	16.923
3973	9.535
7224	6.126
11833	15.034
29000	13.118
8398	13.118
6040	13.118
14672	15.034
21011	13.118
10947	13.118
6165	13.118
13837702	11.798
235	7.517
55091	3.744
66809	10.888
62489	10.888
11080	6.992
5596	6.992
392	6.992
13257	9.270
12231	10.590
2606	4.540
8528	7.652
8878	13.118
19231	14.693
7681	8.839
11911	3.866
6342	3.866
18219	8.839
7248	10.932
11661	10.932
7710	9.139
768	9.724
11125	13.806
10492	13.806
7463	13.806
7706	13.806
11680	13.806
7701	11.890
10001	11.890
7627	13.806
10571	13.806
5708	12.550
19953955	12.550
13848341	16.680
76394	6.651
13835604	12.685
7138	6.722
7443	6.424
913	7.744
5709	7.744
7673	6.756
13875432	5.886
13875219	5.886
13837686	5.886
7013	6.726
92731	8.708
13874867	12.578
71787	10.662
7745	9.342
7678	13.118
13255	15.034
59447	14.438
48024	15.758
8868	8.475
5593	8.539
13835932	10.932
28981	18.449
4510484	16.263
7534	18.449
215929	18.449
13662	7.247
123207	7.281
7090	9.075
12201	13.118
11109	13.118
12446	13.118
7769	13.552
63631	16.192
24263	17.491
6364	17.491
7221	8.972
7240	8.972
6186	4.086
6187	4.086
7238	10.662
13835772	8.746
13839082	8.746
21105871	8.746
13860335	8.746
24533	11.386
28992	11.386
20843	11.386
21106032	9.586
6156	27.598
789	8.475
13836520	14.764
10628694	6.126
185	9.426
21106036	6.942
4444608	11.890
13837797	12.848
7794	21.431
11795	12.323
120621	13.643
20119	13.643
26765	13.643
192642	13.643
12821	6.126
12478	6.126
7389	7.744
10497	13.429
109838	16.950
16778	15.034
7705	15.034
13835293	13.118
13839441	13.118
13863618	7.517
28682	10.157
238	7.517
123	7.517
63908	11.186
9581	10.771
13875196	10.771
2018460	9.469
10512	12.445
55090	12.445
456015	11.479
13869451	6.319
13854248	6.319
13869339	6.319
1151	8.993
9574	7.627
11086	13.118
11857	13.118
7677	13.552
11788	16.192
62589	14.872
7686	14.872
776	8.312
7478	15.722
15802	21.864
17976	21.864
9579	7.627
10664	6.722
955	6.722
13837787	6.722
1266393	9.886
13875441	6.756
13842573	6.756
6974	6.756
10437239	11.115
7767	15.305
7604	15.305
7010	15.305
6163	15.305
6340	15.305
7234	10.499
13854136	9.179
13835151	9.179
13860692	9.179
21105905	11.159
21106560	11.159
7242	11.159
11077	11.159
11042	11.159
10940	11.159
10937	11.159
13842613	11.159
21132380	11.159
7223	9.179
11582	6.289
6774	14.764
9218	11.567
7236	12.025
7480	13.643
499714	12.323
13857694	5.213
13866817	5.213
13837988	5.213
12228	23.226
83866	13.118
83850	13.118
6621	9.433
7671	20.365
7074	18.179
62467	7.277
30516	19.109
10487	12.445
11846	12.685
7098	9.075
61191	9.075
73412	10.456
6176	14.076
10791	14.076
10788	14.076
7621	14.076
11025	14.076
11095	14.076
5949	14.076
63156	13.118
10101	24.025
68156	13.552
9377	15.415
5026296	19.678
13648	9.930
2241	7.950
13644	9.930
13856009	9.930
11087	9.056
8657	10.662
8665	10.662
9564	8.746
447	10.662
2039535	13.302
10384035	13.302
4962	8.746
10437135	13.302
7776	15.398
7180	17.491
7182	17.491
10669	17.491
8531	15.305
8335	15.305
10253	15.305
10979	17.491
7181	17.491
13875160	8.072
13875281	8.072
13875230	8.072
13840690	8.072
4449	13.985
744	9.724
68832	12.848
7674	15.305
8908	15.305
191367	13.281
11695	15.559
7766	13.315
61487	13.315
331	7.517
7142	7.517
132	7.517
7145	7.155
13846959	7.155
13853943	7.155
222538	12.073
65523	12.073
2849146	12.073
10437210	6.857
21108548	9.166
21106019	6.844
21106014	6.844
16159	6.726
7786	13.212
7219	10.932
7521	10.932
7641	10.932
6967	10.932
9874	11.890
13054	12.550
15443	14.076
10939	14.076
6179	3.193
21106470	9.199
8855	9.199
11861	21.864
11845	13.118
13839308	8.312
10536	21.958
7823	17.221
7812	15.305
11793	15.305
7622	15.305
7459	15.305
11024	15.305
11794	15.305
11678	15.305
10787	15.305
7626	17.221
11996	17.221
55188	17.221
11732	15.305
10790	15.305
11056	15.305
11180	15.305
13866593	13.985
7703	16.625
21106020	6.049
13853953	6.049
21106013	6.049
256210	9.270
7518	6.083
13876539	9.704
7132	9.704
21106524	9.704
21168826	9.704
13865424	9.704
71433	27.598
