Compound Id	KierHallSmarts [khs.aaCH]
937	0
127983	0
217	0
692	0
763	0
748	0
23208	0
291	0
11148	0
391	0
274	0
923	0
6105	0
21106179	0
6086	0
864	0
8960	0
22814	0
6153	0
518	N/A
278	0
1087	0
16641	0
6085	0
6089	0
4514529	0
22408	0
9642	0
13571291	0
693	0
6087	0
11153	0
6084	0
6102	0
7568	0
172	0
6132	0
9243	0
2275	0
12066	0
10205670	0
10441	0
4937830	0
6111	0
6135	0
6083	0
6128	0
6123	0
9484	0
6095	0
7956	0
682	0
1019	0
9990	0
4514586	0
12577	0
9286	0
11727	0
16425	0
7577	0
171	0
1143	0
6098	0
9256	0
9994	0
7954	0
6101	0
654	0
6108	0
6104	0
8900	0
6191	0
21106169	0
21112738	0
7559	0
4481813	0
28994	0
173	0
6088	0
13835235	0
6130	0
6097	0
6314	0
11228	0
13836713	0
6151	0
6094	0
70850	0
11811	0
6145	0
6310	0
773	3
7738	4
5978	0
12197	0
7566	0
6093	0
512	0
13872989	0
175	0
2018165	0
6148	0
12640	0
8902	4
13835336	0
6103	0
1039	0
7030	0
6333	0
71390	0
6338	0
6092	0
2005981	0
21106015	0
19475	0
23730	0
7736	4
12442	0
16841	0
7557	0
7558	0
10772140	0
11154	0
13835977	0
1004	0
3644	0
13835550	0
13835316	0
553742	0
558928	0
1577	0
7790	0
2916	0
8899	3
6190	0
7734	0
1005	0
6335	0
5894	0
13836674	0
659	0
29008	0
11749	0
11910	0
7012	0
11065	0
6164	0
11239	0
5977	0
7330	0
62827	0
7546	0
7737	0
11756	0
4514549	0
3102535	5
363458	0
7556	0
56442	0
4449912	0
7957	0
7564	0
1114	0
7777	0
7606	0
8904	4
8903	4
6149	0
6125	0
29040	0
454215	0
7029	0
7739	4
9391	0
7733	0
394562	0
6322	0
60524	0
6330	0
6334	0
5993	0
6100	0
13837190	0
13835224	0
7728	0
13839553	0
558020	3
62808	3
124968	3
14829	0
21111820	3
10437	0
6121	0
558875	0
8544	0
7553	0
11526	0
592	0
10771217	0
10498	0
6119	0
81815	0
14694	0
30713	0
7555	0
6120	0
24043	0
19476	0
6177	0
8012	0
12957	0
13875283	4
1020	5
10340	3
12225	0
1348	3
844	0
29015	0
10018	0
7717	0
6311	0
7732	0
6321	0
13871721	0
62597	0
6313	0
256	0
9016	0
9254	0
14441700	0
61213	0
7727	0
13836021	0
8733	0
13863629	3
9363	4
61111	4
7560	0
11729	0
10606755	0
38403	0
7636	0
374462	0
3951	0
7616	0
552744	0
8896	0
7615	0
387	0
5439	0
13837650	0
13853215	0
9392	0
7552	0
6118	0
733	0
454209	0
66565	3
7817	0
7081	0
11809	0
13837280	0
236	6
11731	0
8141	0
29036	0
13837537	0
2340753	0
10325184	0
107412	0
11099	0
6309	0
558883	0
56020	0
11806	0
1095	0
8351654	0
3168	0
10709	0
6312	0
258	0
6320	0
6146	0
415	0
4444456	0
12229	5
9614	5
5730	0
7551	0
2282428	0
9251	0
3441	0
9461	0
8329688	0
61346	0
9095782	0
21171407	0
7782	0
11755	0
10653	0
8525	0
6341	0
259	0
23621376	0
7021	0
11244	0
1141	0
21111806	4
21108550	4
9325	4
7961	0
10251740	3
66021	3
10437074	3
66996	3
6042	0
6326	0
10325078	0
11117	0
2062437	0
13867413	0
10675065	0
7630	0
7026	0
8554	0
7028	0
13835459	0
29004	0
13634	4
6106	0
10765	0
7713	0
4483639	0
4483638	0
10113	0
7469	0
7472	0
6649	0
21943	0
84036	0
68152	0
25889	0
7018	0
7716	0
23255	0
11230	0
7730	0
13838404	0
971	5
10008	4
7688	3
1664	4
71089	3
8543	0
6316	0
62826	0
10197150	0
10488	0
21168808	3
13647	0
221117	0
7220	5
10364	5
7672	0
59674	0
11752	0
13816	0
29107	0
61707	0
10464	0
65936	3
2038738	3
31029	0
6122	0
13836589	0
13836591	0
10948	0
13835209	0
13861343	0
4489	0
11351244	0
577	0
9360	4
9350	4
9326	4
9253	0
83734	0
71312	0
2293678	0
23055	0
10054	0
7714	0
6315	0
13299573	0
7689	4
11784	4
11785	4
9411	0
3631	0
7788	0
21105795	4
7791	0
13866746	1
70714	3
70715	3
7514	0
11036	0
472932	1
105291	1
5976	0
6188	0
99596	0
7712	0
6308	0
9646	0
2056044	0
61149	0
5889	5
21106520	4
13874733	4
13839199	4
1078	0
13836549	0
1015	3
7770	0
11525	0
12626	0
7772	0
10777	0
7016	0
7607	0
73583	0
7241	4
7225	4
78	4
60329	0
1609	0
13854944	0
13835861	0
24099	0
12816	4
9943	4
10772050	0
13837760	4
4878	4
17443	3
120489	3
9349	4
11600	2
764	4
21106535	0
7721	0
9233	0
18607	0
13837281	0
66567	0
7676	5
156255	0
9547	4
6406	0
13862665	0
29001	0
7024	0
7787	0
15077490	0
63054	1
11799	0
7466	0
10053	0
6307	0
7711	0
18971812	0
10781	0
