Compound Id	AtomCount
937	3
127983	2
217	4
692	4
763	4
748	3
23208	3
291	5
11148	5
391	3
274	3
923	3
6105	5
21106179	5
6086	4
864	6
8960	6
22814	4
6153	5
518	3
278	5
1087	3
16641	3
6085	6
6089	7
4514529	1
22408	4
9642	7
13571291	6
693	6
6087	5
11153	5
6084	8
6102	6
7568	6
172	7
6132	5
9243	8
2275	9
12066	11
10205670	8
10441	12
4937830	8
6111	9
6135	7
6083	5
6128	8
6123	13
9484	8
6095	7
7956	9
682	9
1019	8
9990	10
4514586	1
12577	8
9286	8
11727	7
16425	7
7577	8
171	8
1143	8
6098	6
9256	8
9994	10
7954	9
6101	10
654	10
6108	3
6104	5
8900	7
6191	8
21106169	9
21112738	7
7559	8
4481813	9
28994	9
173	9
6088	5
13835235	10
6130	5
6097	8
6314	11
11228	15
13836713	10
6151	5
6094	11
70850	16
11811	16
6145	16
6310	16
773	9
7738	9
5978	11
12197	8
7566	9
6093	5
512	10
13872989	10
175	10
2018165	8
6148	8
12640	11
8902	10
13835336	11
6103	9
1039	9
7030	10
6333	9
71390	5
6338	10
6092	8
2005981	8
21106015	9
19475	12
23730	14
7736	10
12442	8
16841	8
7557	10
7558	10
10772140	8
11154	5
13835977	11
1004	12
3644	12
13835550	12
13835316	6
553742	6
558928	6
1577	9
7790	12
2916	5
8899	8
6190	8
7734	11
1005	11
6335	11
5894	11
13836674	9
659	10
29008	14
11749	18
11910	16
7012	16
11065	16
6164	18
11239	18
5977	5
7330	11
62827	11
7546	13
7737	13
11756	11
4514549	1
3102535	13
363458	18
7556	12
56442	12
4449912	12
7957	12
7564	13
1114	13
7777	19
7606	19
8904	10
8903	10
6149	5
6125	8
29040	8
454215	8
7029	12
7739	9
9391	12
7733	11
394562	11
6322	11
60524	12
6330	12
6334	12
5993	12
6100	8
13837190	13
13835224	13
7728	13
13839553	13
558020	10
62808	10
124968	10
14829	8
21111820	12
10437	11
6121	11
558875	6
8544	13
7553	9
11526	12
592	12
10771217	8
10498	9
6119	5
81815	9
14694	8
30713	8
7555	14
6120	14
24043	15
19476	15
6177	17
8012	17
12957	17
13875283	15
1020	11
10340	12
12225	11
1348	12
844	11
29015	14
10018	14
7717	12
6311	12
7732	13
6321	13
13871721	13
62597	13
6313	13
256	13
9016	8
9254	8
14441700	11
61213	11
7727	14
13836021	14
8733	14
13863629	11
9363	11
61111	11
7560	12
11729	12
10606755	12
38403	12
7636	13
374462	16
3951	12
7616	12
552744	12
8896	15
7615	13
387	13
5439	13
13837650	8
13853215	8
9392	8
7552	11
6118	11
733	14
454209	14
66565	11
7817	19
7081	19
11809	12
13837280	6
236	12
11731	10
8141	14
29036	5
13837537	15
2340753	8
10325184	8
107412	11
11099	13
6309	13
558883	13
56020	13
11806	13
1095	13
8351654	9
3168	15
10709	15
6312	15
258	15
6320	15
6146	15
415	15
4444456	9
12229	12
9614	12
5730	5
7551	8
2282428	8
9251	8
3441	8
9461	13
8329688	11
61346	11
9095782	14
21171407	9
7782	14
11755	14
10653	14
8525	14
6341	14
259	14
23621376	14
7021	14
11244	14
1141	12
21111806	12
21108550	12
9325	12
7961	9
10251740	12
66021	10
10437074	10
66996	10
6042	8
6326	8
10325078	8
