Compound Id	LargestPiSystem
937	0
127983	1
217	0
692	1
763	1
748	1
23208	3
291	0
11148	0
391	0
274	2
923	3
6105	0
21106179	0
6086	1
864	0
8960	1
22814	0
6153	0
518	0
278	2
1087	3
16641	1
6085	1
6089	0
4514529	0
22408	0
9642	2
13571291	4
693	3
6087	0
11153	0
6084	0
6102	1
7568	1
172	1
6132	0
9243	0
2275	3
12066	0
10205670	2
10441	0
4937830	3
6111	0
6135	2
6083	0
6128	0
6123	0
9484	0
6095	2
7956	0
682	0
1019	2
9990	2
4514586	0
12577	0
9286	0
11727	3
16425	0
7577	3
171	2
1143	3
6098	1
9256	0
9994	0
7954	1
6101	0
654	0
6108	2
6104	0
8900	2
6191	0
21106169	0
21112738	2
7559	4
4481813	3
28994	3
173	3
6088	0
13835235	0
6130	0
6097	0
6314	4
11228	0
13836713	2
6151	0
6094	0
70850	0
11811	0
6145	0
6310	0
773	5
7738	5
5978	3
12197	4
7566	1
6093	0
512	1
13872989	2
175	1
2018165	0
6148	0
12640	0
8902	6
13835336	0
6103	0
1039	0
7030	4
6333	5
71390	0
6338	2
6092	0
2005981	3
21106015	0
19475	5
23730	3
7736	5
12442	0
16841	0
7557	4
7558	2
10772140	2
11154	0
13835977	2
1004	0
3644	0
13835550	0
13835316	2
553742	2
558928	2
1577	2
7790	0
2916	0
8899	5
6190	0
7734	3
1005	2
6335	3
5894	3
13836674	2
659	1
29008	0
11749	0
11910	2
7012	2
11065	2
6164	0
11239	0
5977	0
7330	4
62827	0
7546	0
7737	0
11756	4
4514549	0
3102535	7
363458	0
7556	1
56442	2
4449912	2
7957	1
7564	0
1114	0
7777	0
7606	0
8904	6
8903	6
6149	0
6125	0
29040	0
454215	0
7029	3
7739	5
9391	0
7733	5
394562	4
6322	4
60524	3
6330	3
6334	3
5993	3
6100	0
13837190	0
13835224	0
7728	0
13839553	0
558020	6
62808	6
124968	6
14829	0
21111820	5
10437	0
6121	0
558875	2
8544	2
7553	2
11526	4
592	2
10771217	2
10498	1
6119	0
81815	3
14694	0
30713	0
7555	0
6120	0
24043	5
19476	3
6177	3
8012	3
12957	3
13875283	6
1020	6
10340	5
12225	0
1348	5
844	2
29015	0
10018	0
7717	1
6311	2
7732	3
6321	1
13871721	2
62597	1
6313	1
256	2
9016	0
9254	0
14441700	0
61213	0
7727	0
13836021	0
8733	0
13863629	7
9363	6
61111	6
7560	0
11729	0
10606755	0
38403	0
7636	4
374462	0
3951	5
7616	5
552744	5
8896	0
7615	3
387	2
5439	4
13837650	0
13853215	0
9392	0
7552	0
6118	0
733	0
454209	0
66565	6
7817	3
7081	2
11809	0
13837280	2
236	6
11731	0
8141	1
29036	0
13837537	0
2340753	0
10325184	0
107412	0
11099	2
6309	4
558883	4
56020	4
11806	2
1095	0
8351654	9
3168	0
10709	0
6312	0
258	0
6320	0
6146	0
415	0
4444456	2
12229	7
9614	6
5730	0
7551	0
2282428	0
9251	0
3441	0
9461	3
8329688	0
61346	0
9095782	0
21171407	2
7782	3
11755	3
10653	3
8525	3
6341	3
259	2
23621376	1
7021	4
11244	4
1141	6
21111806	6
21108550	6
9325	6
7961	0
10251740	8
66021	6
10437074	6
66996	6
6042	0
6326	0
10325078	0
11117	4
2062437	0
13867413	3
10675065	0
7630	5
7026	0
8554	0
7028	0
13835459	0
29004	0
13634	8
6106	0
10765	2
7713	1
4483639	2
4483638	2
10113	2
7469	3
7472	3
6649	3
21943	3
84036	3
68152	3
25889	3
7018	0
7716	0
23255	0
11230	0
7730	0
13838404	0
971	7
10008	7
7688	6
1664	7
71089	6
8543	0
6316	0
62826	0
10197150	8
10488	3
21168808	5
13647	3
221117	0
7220	8
10364	8
7672	0
59674	2
11752	3
13816	3
29107	3
61707	3
10464	3
65936	8
2038738	8
31029	0
6122	0
13836589	0
13836591	0
10948	0
13835209	0
13861343	2
4489	8
11351244	4
577	4
9360	7
9350	7
9326	7
9253	0
83734	0
71312	0
2293678	0
23055	0
10054	0
7714	0
6315	0
13299573	0
7689	6
11784	6
11785	6
9411	3
3631	0
7788	2
21105795	9
7791	0
13866746	6
70714	6
70715	6
7514	2
11036	0
472932	5
105291	8
5976	8
6188	0
99596	0
7712	0
6308	0
9646	0
2056044	0
61149	0
5889	7
21106520	6
13874733	6
13839199	6
1078	3
13836549	6
1015	9
7770	2
11525	1
12626	1
7772	2
10777	2
7016	2
7607	2
73583	0
7241	8
7225	8
78	8
60329	0
1609	0
13854944	0
13835861	0
24099	0
12816	8
9943	8
10772050	2
13837760	8
4878	8
17443	7
120489	7
9349	7
11600	7
764	8
21106535	0
7721	0
9233	0
18607	0
13837281	2
66567	0
7676	6
156255	0
9547	9
6406	5
13862665	3
29001	1
7024	0
7787	0
15077490	0
63054	7
11799	3
7466	4
10053	0
6307	0
7711	0
18971812	0
10781	0
11783	6
7685	6
13630	6
63889	7
9228	6
1108	6
10534	6
7679	1
12643	2
7684	0
12499	7
24590970	0
6950	9
56144	0
11110	2
12209	1
10124	4
24041	3
25886	3
19477	3
17784	3
3973	0
7224	8
11833	0
29000	0
8398	0
6040	0
14672	0
21011	0
10947	0
6165	0
13837702	0
235	8
55091	2
66809	7
62489	7
11080	8
5596	8
392	8
13257	7
12231	7
2606	0
8528	8
8878	0
19231	3
7681	6
11911	0
6342	0
18219	0
7248	8
11661	8
7710	0
768	9
11125	3
10492	3
7463	3
7706	3
11680	3
7701	3
10001	3
7627	3
10571	3
5708	3
19953955	1
13848341	3
76394	9
13835604	0
7138	9
7443	9
913	9
5709	9
7673	6
13875432	7
13875219	7
13837686	7
7013	0
92731	0
13874867	3
71787	6
7745	3
7678	0
13255	0
59447	0
48024	0
8868	9
5593	9
13835932	0
28981	2
4510484	4
7534	2
215929	2
13662	10
123207	7
7090	6
12201	2
11109	1
12446	2
7769	0
63631	0
24263	2
6364	1
7221	8
7240	8
6186	0
6187	0
7238	7
13835772	7
13839082	7
21105871	7
13860335	6
24533	6
28992	6
20843	6
21106032	0
6156	0
789	5
13836520	2
10628694	10
185	10
21106036	9
4444608	4
13837797	2
7794	0
11795	3
120621	3
20119	3
26765	3
192642	3
12821	9
12478	9
7389	9
10497	0
109838	0
16778	0
7705	0
13835293	0
13839441	0
13863618	9
28682	8
238	9
123	9
63908	8
9581	7
13875196	7
2018460	0
10512	0
55090	0
456015	6
13869451	7
13854248	7
13869339	7
1151	11
9574	9
11086	2
11857	2
7677	0
11788	0
62589	0
7686	0
776	9
7478	4
15802	0
17976	0
9579	9
10664	10
955	10
13837787	10
1266393	4
13875441	7
13842573	7
6974	7
10437239	8
7767	0
7604	0
7010	0
6163	0
6340	0
7234	7
13854136	7
13835151	7
13860692	7
21105905	6
21106560	6
7242	6
11077	6
11042	6
10940	6
10937	6
13842613	6
21132380	6
7223	6
11582	11
6774	9
9218	9
7236	3
7480	3
499714	3
13857694	6
13866817	6
13837988	6
12228	6
83866	0
83850	0
6621	9
7671	3
7074	5
62467	9
30516	3
10487	0
11846	2
7098	7
61191	7
73412	0
6176	2
10791	2
10788	2
7621	2
11025	2
11095	2
5949	2
63156	1
10101	5
68156	0
9377	0
5026296	0
13648	8
2241	9
13644	8
13856009	8
11087	6
8657	8
8665	8
9564	8
447	8
2039535	7
10384035	7
4962	7
10437135	7
7776	0
7180	4
7182	4
10669	4
8531	6
8335	6
10253	6
10979	2
7181	2
13875160	6
13875281	6
13875230	6
13840690	6
4449	0
744	9
68832	2
7674	0
8908	0
191367	3
11695	4
7766	0
61487	0
331	10
7142	10
132	10
7145	10
13846959	10
13853943	10
222538	9
65523	9
2849146	9
10437210	10
21108548	6
21106019	8
21106014	8
16159	1
7786	0
7219	6
7521	6
7641	6
6967	6
9874	6
13054	6
15443	2
10939	2
6179	0
21106470	10
8855	10
11861	0
11845	2
13839308	6
10536	0
7823	0
7812	0
11793	0
7622	0
7459	0
11024	0
11794	0
11678	0
10787	0
7626	0
11996	0
55188	0
11732	0
10790	0
11056	0
11180	0
13866593	0
7703	0
21106020	9
13853953	9
21106013	9
256210	11
7518	6
13876539	6
7132	8
21106524	8
21168826	8
13865424	8
71433	1
455090	7
503239	7
13860775	8
13869480	8
13869414	8
11849	0
11083	7
6988	7
8140	7
65	7
10857	7
6633	7
21111822	6
7239	6
6550	11
26325086	0
71430	0
21106173	0
7765	0
13859497	10
6775	10
11672	10
11773	10
12012	3
7761	3
8552	2
62249	3
7515	3
7475	3
29012	3
11706	3
7064	3
11992	3
10446	3
7065	3
11207996	2
7747	3
11193	3
19956441	1
11107	4
11694	4
11930	4
9903	6
4963	10
953	10
21106146	9
21106144	9
13863774	9
73479	9
58563	10
299166	9
13875320	6
13875258	6
13875392	6
21112023	8
13851576	6
11769	7
10432	7
10328	7
63310	8
59573	0
7161	4
6720	2
13850142	2
390927	2
206493	11
11667	7
21106018	7
12823	6
55205	3
69982	2
10710415	5
13865426	3
6780	10
8098	10
6658	10
9970	0
7528	0
7530	0
11489	8
526	11
6339	0
7984	0
21111817	8
63906	8
3350	11
1446	11
18	11
71	11
7146	11
11121	2
555074	2
7811	0
8562	0
7624	0
8158	0
6079	9
434	9
8071	9
21105959	7
13865438	7
21106135	7
7391	7
28982	7
13839110	7
13839151	7
13865680	7
11604	7
13839128	7
13839174	7
13839105	7
13839123	7
11021	6
20570	7
7131	6
5830	6
24972	6
10992	6
553171	8
13860817	7
11778	7
13860720	7
136966	6
13848793	9
30572	2
7866	3
19957731	1
10257	12
7211	12
7172	12
13875356	6
13875212	6
13868640	6
10864	9
21181	3
12445	3
122446	3
62534	9
62408	9
11830	0
13835836	0
13835376	0
127750	0
13836399	0
13884973	0
13839416	0
21109330	0
18707	7
6883	9
7189	9
28969	9
61765	8
21111781	9
5915	10
68568	10
64699	3
7140	9
8070	9
7190	9
10181341	6
221226	8
10526	0
120464	0
7150	12
12259	6
13860	8
11563	9
7003	5
7662	6
13862559	6
13864445	6
13865630	3
553642	2
8876	10
906	10
13638	0
6480	7
11866	2
13839109	3
11591	11
9454	6
21106148	10
6781	10
206561	10
13803	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
221082	8
7129	8
8950	6
15965	9
13868660	6
7092	10
924	7
13860641	7
21106525	7
10991	7
13869434	7
6630	7
13840647	7
13860491	7
13869462	7
63903	6
62530	6
13856352	6
551	13
14627	11
191	2
558917	2
6301	2
10616	12
5882	12
8183	12
6646	0
84971	0
388391	0
10980	9
10972	9
6674	9
361	12
13063	10
10797	2
28986	2
7760	2
7838	2
230	7
13842001	0
18801	0
21108576	9
21106518	9
62466	9
62485	9
11460	9
10254	9
21169510	3
880	9
7397	6
8674	8
62517	8
11651	8
10437215	7
60121	8
21105859	7
13848467	7
120548	8
2923	8
28947	12
21105878	8
11625	9
7815	0
7827	0
11761	0
14998	0
