Compound Id	ChiPath [VP-2]
13837650	1.134
29015	1.225
258	1.077
7714	1.421
7882	3.198
7837	2.138
7812	1.784
932	2.491
6040	1.431
1004	0.724
10445	4.159
6320	1.257
6312	1.576
6146	2.171
21011	1.638
3644	1.094
29000	1.906
175	0.908
6102	0.224
236	1.155
7224	1.478
7673	2.211
6321	1.056
29012	1.694
5730	3.857
7676	1.732
5977	2.227
7787	2.121
7679	2.099
14840	3.121
8569	2.319
121365	2.807
6104	0.909
3168	0.781
12181	1.691
7890	3.828
682	0.316
8525	0.925
7219	1.839
9614	1.296
8560	2.061
7767	1.707
864	0.0
6335	0.696
14672	2.316
7674	2.743
7641	2.158
11752	1.087
11815	0.676
13014	2.272
6334	0.806
28994	0.407
12814	1.919
7849	2.768
349	2.414
6967	2.084
7712	1.354
7636	1.489
7521	2.155
29080	3.154
7737	1.319
1108	1.655
13619	3.475
