Compound Id	ChiPathCluster [VPC-4]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	0.816
6320	0.183
6312	0.183
6146	0.0
21011	0.129
3644	0.0
29000	0.289
175	0.0
6102	0.0
236	0.0
7224	0.133
7673	0.378
6321	0.144
29012	0.059
5730	0.0
7676	0.218
5977	0.0
7787	0.0
7679	0.144
14840	0.0
8569	0.0
121365	0.102
6104	0.0
3168	0.0
12181	0.510
7890	0.0
682	0.0
8525	0.059
7219	0.254
9614	0.073
8560	0.0
7767	0.0
864	0.0
6335	0.083
14672	0.612
7674	0.408
7641	0.359
11752	0.072
11815	0.0
13014	0.444
6334	0.102
28994	0.0
12814	0.444
7849	0.0
349	0.0
6967	0.622
7712	0.0
7636	0.195
7521	0.385
29080	0.645
7737	0.0
1108	0.192
13619	0.0
