Compound Id	AutocorrelationMass [ATSm3]
13837650	5.903
29015	7.328
258	3.332
7714	4.952
7882	9.332
7837	6.332
7812	5.332
932	7.332
6040	4.332
1004	2.332
10445	10.0
6320	4.664
6312	4.332
6146	6.996
21011	5.664
3644	3.664
29000	5.332
175	3.664
6102	1.166
236	6.0
7224	9.166
7673	19.305
6321	4.664
29012	8.771
5730	52.277
7676	11.903
5977	26.138
7787	6.0
7679	8.664
14840	8.0
8569	7.664
121365	11.218
6104	8.713
3168	3.664
12181	9.384
7890	10.0
682	1.332
8525	6.771
7219	9.0
9614	9.164
8560	5.0
7767	4.0
864	0.0
6335	5.439
14672	7.996
7674	8.0
7641	10.0
11752	6.218
11815	3.720
13014	11.218
6334	5.052
28994	2.553
12814	10.218
7849	7.0
349	6.0
6967	10.0
7712	3.0
7636	12.320
7521	10.0
29080	15.442
7737	5.664
1108	8.0
13619	9.0
