Compound Id	KappaShapeIndices [Kier1]
13837650	4.0
29015	4.167
258	5.0
7714	5.0
7882	11.0
7837	8.0
7812	7.0
932	9.0
6040	6.0
1004	4.0
10445	8.0
6320	5.0
6312	5.0
6146	5.0
21011	6.0
3644	4.0
29000	6.0
175	4.0
6102	3.0
236	4.167
7224	6.125
7673	5.143
6321	5.0
29012	8.0
5730	5.0
7676	5.143
5977	4.0
7787	4.167
7679	5.143
14840	10.0
8569	9.0
121365	11.0
6104	3.0
3168	5.0
12181	8.0
7890	12.0
682	3.0
8525	6.0
7219	6.125
9614	5.143
8560	7.0
7767	6.0
864	2.0
6335	5.0
14672	6.0
7674	5.143
7641	6.125
11752	6.0
11815	5.0
13014	6.125
6334	5.0
28994	4.0
12814	5.143
7849	9.0
349	8.0
6967	6.125
7712	5.0
7636	5.143
7521	6.125
29080	5.143
7737	3.2
1108	5.143
13619	11.0
