Compound Id	ChiPath [SP-3]
13837650	0.5
29015	1.5
258	0.707
7714	0.707
7882	2.207
7837	1.457
7812	1.207
932	1.707
6040	0.957
1004	0.5
10445	1.021
6320	0.816
6312	0.816
6146	0.0
21011	0.866
3644	0.0
29000	0.866
175	0.0
6102	0.0
236	1.5
7224	2.302
7673	1.894
6321	0.816
29012	1.385
5730	0.0
7676	1.894
5977	0.0
7787	1.5
7679	1.894
14840	1.957
8569	1.707
121365	2.351
6104	0.0
3168	0.707
12181	1.992
7890	2.457
682	0.0
8525	0.866
7219	2.302
9614	1.894
8560	1.207
7767	0.957
864	0.0
6335	0.816
14672	1.061
7674	1.894
7641	2.199
11752	0.866
11815	0.707
13014	2.540
6334	0.816
28994	0.5
12814	2.290
7849	1.707
349	1.457
6967	2.540
7712	0.707
7636	1.957
7521	2.305
29080	1.957
7737	1.25
1108	1.894
13619	2.207
