Compound Id	ChiPath [VP-6]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.446
7837	0.181
7812	0.079
932	0.269
6040	0.0
1004	0.0
10445	0.0
6320	0.0
6312	0.0
6146	0.0
21011	0.0
3644	0.0
29000	0.0
175	0.0
6102	0.0
236	0.0
7224	0.057
7673	0.126
6321	0.0
29012	0.102
5730	0.0
7676	0.073
5977	0.0
7787	0.0
7679	0.072
14840	0.427
8569	0.195
121365	0.249
6104	0.0
3168	0.0
12181	0.0
7890	0.604
682	0.0
8525	0.0
7219	0.124
9614	0.024
8560	0.177
7767	0.0
864	0.0
6335	0.0
14672	0.0
7674	0.204
7641	0.159
11752	0.0
11815	0.0
13014	0.157
6334	0.0
28994	0.0
12814	0.032
7849	0.338
349	0.25
6967	0.111
7712	0.0
7636	0.0
7521	0.111
29080	0.0
7737	0.0
1108	0.064
13619	0.515
