Compound Id	AutocorrelationMass [ATSm4]
13837650	8.713
29015	3.774
258	2.332
7714	3.952
7882	8.332
7837	5.332
7812	4.332
932	6.332
6040	3.332
1004	1.332
10445	5.0
6320	2.332
6312	2.664
6146	0.0
21011	3.332
3644	0.0
29000	3.332
175	0.0
6102	0.0
236	3.0
7224	7.332
7673	16.305
6321	2.332
29012	5.664
5730	0.0
7676	8.903
5977	0.0
7787	3.0
7679	5.664
14840	7.0
8569	6.664
121365	9.997
6104	0.0
3168	2.0
12181	8.664
7890	9.0
682	0.0
8525	3.332
7219	7.0
9614	6.164
8560	4.0
7767	3.0
864	0.0
6335	2.332
14672	3.0
7674	5.0
7641	7.0
11752	3.332
11815	2.332
13014	9.162
6334	2.332
28994	1.332
12814	5.996
7849	6.0
349	5.0
6967	8.0
7712	2.0
7636	4.996
7521	7.0
29080	5.328
7737	0.0
1108	5.0
13619	8.0
