Compound Id	AutocorrelationPolarizability [ATSp1]
13837650	144.70237963
29015	169.21424025
258	136.43912051
7714	181.61492532
7882	474.57753279
7837	301.11735198
7812	244.45273107
932	358.56905033
6040	189.19947028
1004	87.98809553
10445	403.12148946
6320	142.65716653
6312	145.79148809
6146	154.24463325
21011	196.84561385
3644	91.77025975
29000	202.13280865
175	81.90006438
6102	38.42098581
236	233.87838834
7224	327.35603248
7673	401.42083486
6321	131.30891930
29012	246.40099246
5730	300.538745
7676	338.91573575
5977	177.88597675
7787	257.70983438
7679	282.32615233
14840	447.50908304
8569	334.45519939
121365	462.87816777
6104	91.87495650
3168	124.85740198
12181	315.93082419
7890	564.02385573
682	46.73521063
8525	142.03606101
7219	380.57916662
9614	245.64856261
8560	274.49521501
7767	218.28150581
864	16.76752650
6335	96.66993205
14672	208.43877544
7674	337.68118336
7641	394.68809913
11752	173.88578073
11815	117.63350760
13014	350.95080730
6334	122.36051855
28994	71.83520477
12814	277.16625505
7849	389.45668742
349	331.70254786
6967	399.64907417
7712	163.85274785
7636	190.26380450
7521	392.24467348
29080	421.208694
7737	150.79873350
1108	310.96268727
13619	505.72299683
