Compound Id	PetitjeanNumber
13837650	0.333
29015	0.0
258	0.5
7714	0.5
7882	0.5
7837	0.429
7812	0.5
932	0.5
6040	0.4
1004	0.333
10445	0.5
6320	0.333
6312	0.333
6146	0.5
21011	0.5
3644	0.5
29000	0.5
175	0.5
6102	0.5
236	0.0
7224	0.4
7673	0.25
6321	0.333
29012	0.5
5730	0.5
7676	0.25
5977	0.5
7787	0.0
7679	0.25
14840	0.444
8569	0.5
121365	0.444
6104	0.5
3168	0.5
12181	0.5
7890	0.455
682	0.5
8525	0.5
7219	0.4
9614	0.25
8560	0.5
7767	0.4
864	0.0
6335	0.333
14672	0.333
7674	0.25
7641	0.25
11752	0.5
11815	0.5
13014	0.25
6334	0.333
28994	0.333
12814	0.333
7849	0.5
349	0.429
6967	0.25
7712	0.5
7636	0.5
7521	0.4
29080	0.333
7737	0.0
1108	0.25
13619	0.5
