Compound Id	FragmentComplexity
13837650	3.02
29015	6.02
258	4.01
7714	4.01
7882	10.01
7837	7.01
7812	6.01
932	8.01
6040	5.01
1004	3.01
10445	7.0
6320	4.01
6312	4.01
6146	4.01
21011	5.01
3644	3.01
29000	5.01
175	3.01
6102	2.01
236	6.0
7224	8.01
7673	7.01
6321	4.01
29012	7.02
5730	4.04
7676	7.01
5977	3.03
7787	6.0
7679	7.01
14840	9.0
8569	8.01
121365	10.02
6104	2.02
3168	4.01
12181	7.02
7890	11.0
682	2.01
8525	5.02
7219	8.0
9614	7.01
8560	6.0
7767	5.0
864	1.01
6335	4.02
14672	5.01
7674	7.0
7641	8.0
11752	5.02
11815	4.02
13014	8.02
6334	4.02
28994	3.02
12814	7.02
7849	8.0
349	7.0
6967	8.0
7712	4.0
7636	7.03
7521	8.0
29080	7.03
7737	5.01
1108	7.0
13619	10.0
