Compound Id	AutocorrelationPolarizability [ATSp2]
13837650	115.754749
29015	169.14185013
258	115.50412264
7714	153.64679013
7882	450.59771215
7837	277.57244959
7812	221.34087278
932	334.78718863
6040	166.87054461
1004	69.47457338
10445	403.95839761
6320	124.83766681
6312	128.61718081
6146	141.68256750
21011	178.35830077
3644	75.118450
29000	184.82787698
175	65.702455
6102	25.98771038
236	233.87838834
7224	344.40810509
7673	414.53326457
6321	113.56932453
29012	227.78594657
5730	288.931096
7676	351.27620585
5977	151.202640
7787	257.70983438
7679	292.19618328
14840	419.22049119
8569	307.66677385
121365	446.87784217
6104	64.789844
3168	103.40990758
12181	309.74358950
7890	535.65889627
682	32.241860
8525	125.86506452
7219	395.76445141
9614	254.52660595
8560	246.79909326
7767	191.182909
864	8.30887875
6335	82.77867503
14672	198.32487344
7674	348.67296633
7641	416.34329798
11752	155.89019346
11815	99.22193588
13014	372.75895228
6334	105.59859228
28994	56.29174303
12814	296.41437461
7849	361.26165493
349	303.68218360
6967	423.43998941
7712	137.84419233
7636	200.88234977
7521	412.98026160
29080	450.30711925
7737	150.49412225
1108	320.43828754
13619	477.38452475
