Compound Id	EccentricConnectivityIndex
13837650	14
29015	36
258	24
7714	24
7882	150
7837	74
7812	54
932	96
6040	38
1004	14
10445	45
6320	19
6312	19
6146	12
21011	31
3644	9
29000	31
175	9
6102	6
236	36
7224	60
7673	45
6321	19
29012	65
5730	12
7676	45
5977	9
7787	36
7679	45
14840	122
8569	96
121365	133
6104	6
3168	24
12181	43
7890	182
682	6
8525	31
7219	60
9614	45
8560	54
7767	38
864	2
6335	19
14672	24
7674	45
7641	54
11752	31
11815	24
13014	54
6334	19
28994	14
12814	36
7849	96
349	74
6967	54
7712	24
7636	42
7521	58
29080	34
7737	20
1108	45
13619	150
