Compound Id	ALOGP [AMR]
291	0.0
6084	10.557
11148	6.569
855	14.388
864	8.261
6089	9.919
6088	19.643
6094	14.709
6085	9.976
6103	18.682
7956	13.013
682	12.555
6100	23.937
6087	11.312
654	14.693
6101	14.213
6086	6.965
7954	15.880
6097	15.606
7555	17.621
1004	16.087
172	11.718
6092	18.590
7560	22.214
11729	23.481
31029	27.469
6102	11.623
5834	22.338
10046	19.996
7556	18.957
9644	14.375
11151	17.595
7712	20.532
6111	8.735
10437	19.138
3168	21.6
7721	25.126
6114	11.044
13837190	18.866
9233	27.775
7577	13.341
21171407	28.806
7566	16.647
258	18.999
13835977	19.082
6093	19.255
7728	19.305
512	16.742
21106015	17.605
7716	20.656
9990	19.568
13836021	20.986
6106	32.392
7713	23.409
21106179	6.860
13836674	20.475
6124	23.887
11835	25.132
7714	22.050
7553	23.459
1114	19.988
7732	20.999
11833	23.750
7711	25.033
6138	15.628
7717	19.558
7557	20.294
11807	24.416
7786	35.568
11834	29.924
256	19.653
7767	23.444
8894	11.646
3644	17.760
7559	16.366
11830	33.292
7567	16.271
7734	17.635
6040	21.910
7776	28.037
12977	19.493
13865015	26.808
9354	12.862
12450	21.342
693	8.794
278	8.572
13835550	17.869
13835336	16.211
10694	20.849
9480	10.878
11723	37.317
6308	23.078
64095	20.517
11099	25.160
7957	19.931
11109	26.321
12209	24.351
6121	20.811
6108	22.366
7737	16.867
7827	34.839
14512	28.685
8543	23.567
7770	22.470
1095	23.041
6104	16.438
12011	34.218
175	16.195
8896	14.558
7782	21.167
7772	22.565
8560	26.355
31016	27.741
6310	23.202
7738	1.619
7815	30.949
12010	36.204
9630	27.453
2916	22.072
7739	7.794
13839553	17.465
7736	0.0
7811	26.479
171	12.644
659	20.559
11728	14.078
173	12.866
2006126	20.857
11167	17.439
10765	24.415
7604	27.530
221079	23.428
7024	23.262
11110	29.198
10730	20.596
10766	24.780
8544	22.134
10113	25.835
68268	32.590
11121	29.232
6307	27.579
29000	24.456
13854808	23.087
6127	16.502
62433	29.710
6125	20.660
11125	24.078
72268	22.034
62241	22.032
10340	7.352
6321	21.218
11871	42.632
7810	30.856
11846	25.381
13836399	30.042
6311	21.285
6313	21.381
21168808	13.526
5993	20.187
13837112	20.057
349	29.267
19100	39.115
8554	19.778
10018	19.808
1020	0.0
13837650	20.656
7837	27.734
2275	15.553
1005	17.667
7835	29.391
13854130	23.639
7791	21.459
13837537	23.768
6336	14.281
236	0.0
11832	43.14
7787	17.470
7551	26.623
29015	22.087
13835209	20.377
8903	0.0
6334	18.563
13837702	23.692
8904	0.0
11229	14.490
7790	17.559
60524	19.730
13420	18.15
121383	28.131
6330	17.889
10951	8.182
1913	15.430
13835459	25.449
10020	34.436
6134	45.607
3530	12.507
6153	8.309
11232	20.351
14893	28.585
12201	29.280
6309	24.576
14686	26.340
12446	28.105
81237	26.492
12430	29.628
7674	26.174
14966	29.618
11551	29.234
11094	30.441
8158	32.870
11222	24.213
9484	11.713
122546	26.787
7605	27.507
76541	35.501
7788	25.045
15221	35.915
7833	32.144
8569	34.487
1108	5.502
21106561	33.019
10653	22.436
11128	37.512
8525	21.707
10536	40.662
7607	24.130
13839107	34.642
