Compound Id	AutocorrelationCharge [ATSc1]
291	0.0
6084	0.0
11148	0.107
855	0.013
864	0.095
6089	0.034
6088	0.011
6094	0.0
6085	0.0
6103	0.012
7956	0.182
682	0.084
6100	0.009
6087	0.050
654	0.069
6101	0.030
6086	0.0
7954	0.002
6097	0.044
7555	0.0
1004	0.083
172	0.133
6092	0.029
7560	0.012
11729	0.028
31029	0.009
6102	0.103
5834	0.046
10046	0.101
7556	0.001
9644	0.153
11151	0.016
7712	0.0
6111	0.0
10437	0.044
3168	0.168
7721	0.012
6114	0.182
13837190	0.359
9233	0.027
7577	0.313
21171407	0.013
7566	0.099
258	0.083
13835977	0.034
6093	0.087
7728	0.277
512	0.132
21106015	0.144
7716	0.030
9990	0.032
13836021	0.161
6106	0.023
7713	0.001
21106179	0.318
13836674	0.049
6124	0.011
11835	0.168
7714	0.044
7553	0.034
1114	0.097
7732	0.146
11833	0.175
7711	0.029
6138	0.175
7717	0.098
7557	0.0
11807	0.030
7786	0.023
11834	0.028
256	0.132
7767	0.0
8894	0.0
3644	0.076
7559	0.138
11830	0.009
7567	0.098
7734	0.305
6040	0.083
7776	0.012
12977	0.106
13865015	0.026
9354	0.202
12450	0.127
693	0.176
278	0.234
13835550	0.067
13835336	0.127
10694	0.110
9480	0.117
11723	0.021
6308	0.0
64095	0.0
11099	0.004
7957	0.003
11109	0.001
12209	0.012
6121	0.040
6108	0.011
7737	0.168
7827	0.027
14512	0.027
8543	0.090
7770	0.098
1095	0.027
6104	0.105
12011	0.027
175	0.122
8896	0.0
7782	0.304
7772	0.132
8560	0.0
31016	0.030
6310	0.030
7738	0.168
7815	0.012
12010	0.009
9630	0.344
2916	0.070
7739	0.027
13839553	0.171
7736	0.064
7811	0.030
171	0.195
659	0.091
11728	0.176
173	0.148
2006126	0.021
11167	0.0
10765	0.001
7604	0.0
221079	0.0
7024	0.0
11110	0.003
10730	0.025
10766	0.003
8544	0.003
10113	0.006
68268	0.029
11121	0.001
6307	0.029
29000	0.083
13854808	0.337
6127	0.160
62433	0.011
6125	0.089
11125	0.304
72268	0.044
62241	0.011
10340	0.164
6321	0.121
11871	0.023
7810	0.029
11846	0.098
13836399	0.270
6311	0.095
6313	0.131
21168808	0.026
5993	0.219
13837112	0.232
349	0.0
19100	0.009
8554	0.168
10018	0.348
1020	0.064
13837650	0.1
7837	0.083
2275	0.279
1005	0.192
7835	0.030
13854130	0.083
7791	0.064
13837537	0.249
6336	0.190
236	0.0
11832	0.019
7787	0.0
7551	0.066
29015	0.363
13835209	0.167
8903	0.130
6334	0.176
13837702	0.059
8904	0.139
11229	0.314
7790	0.533
60524	0.024
13420	0.148
121383	0.029
6330	0.147
10951	0.129
1913	0.159
13835459	0.139
10020	0.057
6134	0.032
3530	0.2
6153	0.393
11232	0.0
14893	0.003
12201	0.001
6309	0.001
14686	0.0
12446	0.003
81237	0.015
12430	0.003
7674	0.0
14966	0.027
11551	0.0
11094	0.0
8158	0.091
11222	0.003
9484	0.258
122546	0.012
7605	0.044
76541	0.029
7788	0.003
15221	0.029
7833	0.001
8569	0.168
1108	0.0
21106561	0.070
10653	0.277
11128	0.031
8525	0.271
10536	0.027
7607	0.121
13839107	0.452
11865	0.044
13839199	0.062
13839575	0.545
11866	0.098
5977	0.146
7856	0.064
7715	0.075
11863	0.029
6305	0.062
7849	0.0
10498	0.153
7852	0.012
11874	0.009
6323	0.186
7838	0.132
7016	0.120
10733	0.008
13835401	0.137
29101	0.093
7710	0.060
7688	0.136
119963	0.311
21106520	0.064
7677	0.027
13839441	0.167
9646	0.0
932	0.083
13835180	0.372
259	0.192
7851	0.030
6147	0.010
11526	0.441
13874733	0.064
11750	0.404
6333	0.197
6146	0.071
13835604	0.253
67424	0.130
13884495	0.232
68156	0.113
61471	0.135
5439	0.306
10772140	0.271
72718	0.315
6331	0.151
4200	0.148
10464	0.147
1143	0.185
11787	0.144
62181	0.158
1664	0.094
234	0.229
61632	0
6148	0.211
84221	0.0
67620	0.005
6340	0.0
18792	0.001
121154	0.012
11086	0.005
121113	0.005
15438	0.0
454272	0.027
121640	0.0
14751	0.0
14672	0.168
11106	0.0
21073	0.003
6163	0.0
7219	0.0
7706	0.271
126201	0.030
21106560	0.064
2803	0.027
29025	0.001
10465	0.320
21105905	0.064
7022	0.281
7463	0.268
7244	0.273
7242	0.062
55123	0.304
7850	0.044
11095	0.121
11025	0.120
13840	0.120
11838	0.008
29026	0.098
7878	0.270
11029	0.075
21106032	0.088
7238	0.170
30349	0.2
6326	0.153
7701	0.192
13872667	0.353
14840	0.0
13851383	0.012
59607	0.102
10054	0.037
6967	0.0
12814	0.196
14349	0.012
7026	0.075
7765	0.059
10053	0.025
6165	0.071
69736	0.094
8574	0.083
6170	0.059
8909	0.0
733	0.285
60839	0.062
21997	0.094
15117	0.207
13835861	0.118
13835772	0.075
14608	0.090
13835579	0.059
10328	0.089
13839416	0.167
69525	0.146
6164	0.083
10988	0.148
21106481	0.206
18801	0.113
61810	0.229
737	0.323
5050	0.217
4418329	0.201
773	0.134
2070	0.119
3596	0.169
