Compound Id	AutocorrelationMass [ATSm4]
291	0.0
6084	0.0
11148	0.0
855	0.0
864	0.0
6089	0.0
6088	0.0
6094	0.0
6085	0.0
6103	0.0
7956	0.0
682	0.0
6100	0.0
6087	0.0
654	0.0
6101	0.0
6086	0.0
7954	0.0
6097	0.0
7555	1.0
1004	1.332
172	0.0
6092	0.0
7560	2.670
11729	1.0
31029	10.566
6102	0.0
5834	3.113
10046	0.0
7556	1.0
9644	0.0
11151	0.0
7712	2.0
6111	0.0
10437	2.952
3168	2.0
7721	3.670
6114	0.0
13837190	2.664
9233	2.0
7577	1.332
21171407	10.566
7566	1.166
258	2.332
13835977	1.166
6093	0.0
7728	2.774
512	1.332
21106015	3.932
7716	2.166
9990	1.0
13836021	2.553
6106	0.0
7713	2.0
21106179	0.0
13836674	2.952
6124	0.0
11835	3.332
7714	3.952
7553	6.653
1114	0.0
7732	2.0
11833	3.332
7711	7.653
6138	0.0
7717	2.166
7557	1.0
11807	2.0
7786	6.340
11834	4.670
256	2.332
7767	3.0
8894	0.0
3644	0.0
7559	1.332
11830	12.566
7567	1.166
7734	2.332
6040	3.332
7776	4.670
12977	2.332
13865015	7.128
9354	2.107
12450	2.332
693	0.0
278	0.0
13835550	1.360
13835336	1.553
10694	2.670
9480	0.0
11723	111.639
6308	2.0
64095	2.0
11099	2.0
7957	0.0
11109	3.0
12209	3.0
6121	0.0
6108	0.0
7737	0.0
7827	7.340
14512	2.0
8543	5.904
7770	3.166
1095	0.0
6104	0.0
12011	5.670
175	0.0
8896	0.0
7782	3.664
7772	3.332
8560	4.0
31016	3.0
6310	2.332
7738	0.0
7815	5.670
12010	13.566
9630	4.664
2916	0.0
7739	0.0
13839553	2.664
7736	0.0
7811	4.166
171	0.0
659	0.0
11728	1.553
173	0.0
2006126	0.0
11167	0.0
10765	2.0
7604	3.0
221079	3.0
7024	2.0
11110	3.0
10730	0.0
10766	2.0
8544	0.0
10113	2.0
68268	4.0
11121	4.0
6307	13.305
29000	3.332
13854808	4.664
6127	0.0
62433	7.340
6125	0.0
11125	4.664
72268	5.904
62241	2.0
10340	2.0
6321	2.332
11871	11.679
7810	9.653
11846	4.166
13836399	6.107
6311	2.332
6313	2.664
21168808	2.0
5993	2.664
13837112	6.884
349	5.0
19100	14.566
8554	3.332
10018	3.664
1020	3.166
13837650	8.713
7837	5.332
2275	1.332
1005	2.664
7835	5.166
13854130	19.637
7791	3.166
13837537	3.553
6336	3.107
236	3.0
11832	22.132
7787	3.0
7551	44.258
29015	3.774
13835209	3.664
8903	3.332
6334	2.332
13837702	3.332
8904	3.360
11229	2.498
7790	3.996
60524	2.664
13420	2.720
121383	3.0
6330	2.498
10951	2.720
1913	3.107
13835459	3.360
10020	9.128
6134	0.0
3530	3.328
6153	0.0
11232	1.0
14893	2.0
12201	3.0
6309	2.0
14686	4.0
12446	3.0
81237	7.653
12430	4.0
7674	5.0
14966	15.305
11551	6.0
11094	4.0
8158	6.0
11222	2.0
9484	0.0
122546	3.0
7605	4.952
76541	5.0
7788	3.0
15221	5.0
7833	5.0
8569	6.664
1108	5.0
21106561	4.332
10653	4.996
11128	7.340
8525	3.332
10536	9.340
7607	3.332
13839107	7.549
11865	6.952
13839199	5.166
13839575	7.549
11866	5.166
5977	0.0
7856	6.332
7715	9.604
11863	10.653
6305	50.911
7849	6.0
10498	4.118
7852	7.670
11874	15.566
6323	6.884
7838	5.332
7016	4.664
10733	0.0
13835401	4.720
29101	2.332
7710	13.305
7688	5.526
119963	4.214
21106520	5.332
7677	5.332
13839441	4.664
9646	0.0
932	6.332
13835180	5.549
259	3.664
7851	6.166
6147	0.0
11526	5.328
13874733	5.166
11750	4.549
6333	2.664
6146	0.0
13835604	5.107
67424	5.665
13884495	2.332
68156	4.498
61471	7.692
5439	3.498
10772140	7.864
72718	5.605
6331	2.498
4200	15.515
10464	3.498
1143	0.0
11787	5.830
62181	5.665
1664	5.499
234	3.830
61632	2.0
6148	0.0
84221	3.0
67620	4.0
6340	4.0
18792	6.0
121154	4.0
11086	5.0
121113	4.0
15438	5.0
454272	4.0
121640	4.0
14751	7.0
14672	3.0
11106	5.0
21073	4.0
6163	3.0
7219	7.0
7706	4.664
126201	4.0
21106560	7.166
2803	2.332
29025	6.0
10465	5.284
21105905	7.332
7022	4.996
7463	5.996
7244	7.553
7242	7.332
55123	6.664
7850	7.952
11095	4.332
11025	5.664
13840	1.332
11838	3.0
29026	6.166
7878	8.107
11029	6.664
21106032	6.904
7238	7.664
30349	3.664
6326	17.426
7701	4.664
13872667	10.196
14840	7.0
13851383	10.340
59607	88.516
10054	0.0
6967	8.0
12814	5.996
14349	8.670
7026	2.664
7765	14.305
10053	0.0
6165	3.332
69736	7.499
8574	7.332
6170	3.996
8909	8.0
733	6.213
60839	0.0
21997	7.499
15117	13.452
13835861	4.218
13835772	8.996
14608	8.831
13835579	5.332
10328	40.871
13839416	5.664
69525	6.218
6164	3.996
10988	7.830
21106481	3.332
18801	5.498
61810	3.664
737	3.549
5050	28.150
4418329	9.004
773	0.0
2070	2.332
