Compound Id	BCUT [BCUTp-1l]
291	2.612
6084	3.75950
11148	1.92035
855	5.20242
864	2.66642
6089	3.45876
6088	7.41435
6094	4.47953
6085	3.691
6103	5.37275
7956	3.66868
682	3.31247
6100	6.571
6087	3.96735
654	4.30451
6101	4.12279
6086	2.8285
7954	4.52974
6097	4.60632
7555	4.79990
1004	3.62959
172	2.80405
6092	5.426
7560	5.24987
11729	5.68712
31029	5.849
6102	3.08747
5834	4.88887
10046	5.23118
7556	4.84410
9644	3.597
11151	5.42966
7712	4.95885
6111	4.640
10437	4.92271
3168	4.55955
7721	5.18844
6114	3.54169
13837190	3.96359
9233	5.83806
7577	2.72170
21171407	5.88050
7566	3.42657
258	3.78772
13835977	4.52617
6093	5.53835
7728	3.58975
512	3.12776
21106015	3.80525
7716	4.59952
9990	4.53014
13836021	3.74561
6106	10.13208
7713	4.96258
21106179	1.82587
13836674	5.00743
6124	6.00050
11835	4.65490
7714	5.05709
7553	5.308
1114	4.94812
7732	4.55012
11833	4.24641
7711	5.20175
6138	4.18499
7717	3.59237
7557	4.88722
11807	4.69308
7786	6.35513
11834	5.26703
256	3.28823
7767	5.03815
8894	5.36550
3644	3.94567
7559	3.21398
11830	5.30750
7567	3.51580
7734	2.88488
6040	3.86672
7776	5.15772
12977	3.72286
13865015	6.60493
9354	2.68687
12450	3.65796
693	2.762
278	2.45225
13835550	4.39873
13835336	3.59675
10694	4.88350
9480	3.10750
11723	9.40910
6308	5.11744
64095	5.03025
11099	5.00610
7957	5.17049
11109	5.05946
12209	4.24086
6121	5.23843
6108	6.62219
7737	5.01699
7827	5.51756
14512	6.31488
8543	5.16818
7770	3.67463
1095	7.05414
6104	4.95766
12011	5.29795
175	3.48650
8896	6.091
7782	2.96593
7772	3.36823
8560	5.07777
31016	4.77366
6310	4.75771
7738	4.93449
7815	5.14236
12010	5.21725
9630	4.57949
2916	6.69520
7739	6.84323
13839553	3.68868
7736	4.82010
7811	4.71818
171	3.093
659	5.61450
11728	3.03450
173	3.40275
2006126	5.81773
11167	4.92224
10765	5.15849
7604	5.12699
221079	5.21162
7024	5.659
11110	5.06529
10730	5.41865
10766	5.21737
8544	6.22150
10113	5.30174
68268	4.94769
11121	5.08845
6307	5.90425
29000	3.94567
13854808	4.28607
6127	3.83575
62433	5.71479
6125	5.58857
11125	3.00634
72268	5.14133
62241	4.396
10340	5.21049
6321	3.80087
11871	5.75672
7810	5.14568
11846	3.71563
13836399	3.72818
6311	3.75654
6313	3.44811
21168808	6.56850
5993	3.36299
13837112	4.67713
349	5.09757
19100	5.17212
8554	5.37974
10018	4.96949
1020	5.71636
13837650	5.09803
7837	3.92594
2275	3.23185
1005	3.40737
7835	4.73794
13854130	5.38843
7791	6.19273
13837537	5.33787
6336	2.92043
236	6.09338
11832	8.86638
7787	6.45375
7551	6.54529
29015	5.14010
13835209	3.81718
8903	5.54863
6334	3.71712
13837702	4.66801
8904	5.52827
11229	3.32362
7790	4.54984
60524	3.65425
13420	3.67525
121383	4.70753
6330	3.71712
10951	4.91488
1913	3.52033
13835459	6.10119
10020	8.34098
6134	12.83494
3530	3.43661
6153	1.77818
11232	5.28782
14893	5.71525
12201	5.12435
6309	5.21691
14686	5.393
12446	5.17218
81237	5.67459
12430	5.36646
7674	5.84037
14966	5.74151
11551	5.43352
11094	5.11745
8158	5.34935
11222	5.03924
9484	2.46740
122546	4.32373
7605	5.23844
76541	4.96753
7788	6.57177
15221	5.03255
7833	5.10294
8569	5.00829
1108	5.76818
21106561	5.05179
10653	3.72175
11128	5.54091
8525	3.56456
10536	5.32749
7607	3.95806
13839107	3.71332
11865	5.11825
13839199	5.60143
13839575	4.20366
11866	3.73610
5977	5.93844
7856	5.08637
7715	5.31975
11863	5.13634
6305	6.83297
7849	5.10746
10498	3.68373
7852	5.13084
11874	5.14956
6323	3.97550
7838	3.42815
7016	4.11525
10733	7.8275
13835401	4.67069
29101	3.85036
7710	6.47031
7688	5.51805
119963	2.64037
21106520	5.68480
7677	5.47937
13839441	3.88138
9646	5.74905
932	3.93580
13835180	3.68357
259	3.56456
7851	4.75617
6147	6.62925
11526	3.32825
13874733	5.72649
11750	3.36781
6333	3.49175
6146	4.57644
13835604	3.83930
67424	5.60142
13884495	3.47409
68156	3.90094
61471	6.51263
5439	3.48081
10772140	3.55701
72718	3.59612
6331	3.80150
4200	4.181
10464	3.87431
1143	3.319
11787	4.54669
62181	5.19173
1664	5.35910
234	3.54362
61632	4.21440
6148	3.49596
84221	5.34462
67620	5.56775
6340	5.74905
18792	5.47258
121154	4.32373
11086	6.02112
121113	5.48337
