Compound Id	BCUT [BCUTw-1l]
291	12.0
6084	11.890
11148	11.998
855	11.999
864	11.997
6089	11.994
6088	12.0
6094	11.890
6085	11.790
6103	11.999
7956	11.997
682	11.997
6100	11.999
6087	11.999
654	11.994
6101	11.994
6086	11.690
7954	11.890
6097	11.999
7555	11.890
1004	11.997
172	11.989
6092	11.999
7560	11.999
11729	11.999
31029	11.999
6102	11.953
5834	11.999
10046	11.953
7556	11.890
9644	11.998
11151	11.790
7712	11.890
6111	11.9
10437	11.999
3168	11.890
7721	11.999
6114	11.997
13837190	11.997
9233	11.89
7577	11.989
21171407	11.999
7566	11.953
258	11.996
13835977	11.994
6093	11.999
7728	11.997
512	11.989
21106015	11.997
7716	11.994
9990	11.890
13836021	11.997
6106	12.0
7713	11.790
21106179	11.998
13836674	11.999
6124	11.999
11835	11.890
7714	11.999
7553	11.999
1114	11.994
7732	11.790
11833	11.996
7711	11.999
6138	11.997
7717	11.953
7557	11.790
11807	11.890
7786	11.89
11834	11.999
256	11.989
7767	11.890
8894	11.9
3644	11.997
7559	11.989
11830	11.999
7567	11.953
7734	11.989
6040	11.996
7776	11.999
12977	11.996
13865015	11.999
9354	11.997
12450	11.996
693	11.994
278	11.997
13835550	11.994
13835336	11.994
10694	11.997
9480	11.994
11723	11.999
6308	11.890
64095	11.9
11099	11.790
7957	11.89
11109	11.890
12209	11.690
6121	11.999
6108	11.998
7737	11.9
7827	11.890
14512	11.999
8543	11.999
7770	11.953
1095	11.9
6104	11.999
12011	11.890
175	11.890
8896	11.9
7782	11.989
7772	11.989
8560	11.890
31016	11.890
6310	11.994
7738	11.850
7815	11.998
12010	11.999
9630	11.890
2916	12.0
7739	11.850
13839553	11.997
7736	11.995
7811	11.994
171	11.997
659	11.999
11728	12.0
173	11.994
2006126	11.994
11167	11.890
10765	11.890
7604	11.890
221079	11.9
7024	11.9
11110	11.790
10730	11.999
10766	11.890
8544	11.9
10113	11.890
68268	11.890
11121	11.890
6307	11.999
29000	11.996
13854808	11.996
6127	11.999
62433	11.890
6125	11.999
11125	11.989
72268	11.999
62241	11.890
10340	11.994
6321	11.890
11871	11.890
7810	11.999
11846	11.953
13836399	11.996
6311	11.953
6313	11.989
21168808	11.998
5993	11.989
13837112	11.997
349	11.89
19100	11.999
8554	11.9
10018	11.997
1020	11.85
13837650	11.999
7837	11.996
2275	11.989
1005	11.997
7835	11.994
13854130	11.999
7791	11.9
13837537	11.995
6336	11.999
236	11.850
11832	11.999
7787	11.9
7551	11.999
29015	11.997
13835209	11.996
8903	11.850
6334	11.994
13837702	11.994
8904	11.989
11229	11.994
7790	11.997
60524	11.890
13420	11.999
121383	11.890
6330	11.994
10951	11.999
1913	11.999
13835459	11.995
10020	11.999
6134	12.0
3530	12.0
6153	11.998
11232	11.890
14893	11.9
12201	11.790
6309	11.790
14686	11.9
12446	11.890
81237	11.890
12430	11.890
7674	11.9
14966	11.89
11551	11.890
11094	11.890
8158	11.890
11222	11.890
9484	11.998
122546	11.690
7605	11.999
76541	11.89
7788	11.9
15221	11.89
7833	11.89
8569	11.890
1108	11.850
21106561	11.79
10653	11.996
11128	11.790
8525	11.89
10536	11.890
7607	11.890
13839107	11.996
11865	11.999
13839199	11.989
13839575	11.996
11866	11.953
5977	11.999
7856	11.890
7715	11.999
11863	11.999
6305	11.999
7849	11.890
10498	11.953
7852	11.998
11874	11.999
6323	11.999
7838	11.989
7016	11.890
10733	11.999
13835401	11.994
29101	11.953
7710	11.999
7688	11.989
119963	11.997
21106520	11.850
7677	11.9
13839441	11.996
9646	11.890
932	11.996
13835180	11.996
259	11.996
7851	11.890
6147	11.999
11526	11.997
13874733	11.850
11750	11.997
6333	11.997
6146	11.996
13835604	11.996
67424	11.850
13884495	11.953
68156	11.996
61471	11.9
5439	11.994
10772140	11.989
72718	11.999
6331	11.994
4200	11.999
10464	11.994
1143	11.994
11787	11.996
62181	11.994
1664	11.994
234	11.994
61632	11.890
6148	11.998
84221	11.9
67620	11.9
6340	11.890
18792	11.890
121154	11.690
11086	11.9
121113	11.9
15438	11.9
454272	11.890
121640	11.9
14751	11.9
14672	11.996
11106	11.89
21073	11.890
6163	11.890
7219	11.85
7706	11.890
126201	11.890
21106560	11.850
2803	11.994
29025	11.890
10465	11.999
21105905	11.850
7022	11.790
7463	11.890
7244	11.995
7242	11.989
55123	11.989
7850	11.999
11095	11.89
11025	11.89
13840	11.989
11838	11.9
29026	11.953
7878	11.996
11029	11.890
21106032	11.999
7238	11.85
30349	11.996
6326	11.999
7701	11.890
13872667	11.999
14840	11.890
13851383	11.850
59607	11.999
10054	11.999
6967	11.89
12814	11.989
14349	11.998
7026	11.996
7765	11.999
10053	11.999
6165	11.996
69736	11.994
8574	11.996
6170	11.999
8909	11.9
733	11.997
60839	11.989
21997	11.994
15117	11.996
13835861	11.994
13835772	11.996
14608	11.994
13835579	11.994
10328	11.996
13839416	11.996
69525	11.999
6164	11.996
10988	11.996
21106481	11.953
18801	11.994
61810	11.996
737	11.997
5050	11.999
4418329	11.994
773	11.989
2070	11.994
3596	11.999
11795	11.994
13220	12.0
10775	11.890
10755	11.890
16689	11.890
11055	11.890
7619	11.890
10737	11.790
69505	11.9
11056	11.996
7385	11.850
14752	11.9
7475	11.890
7761	11.989
10777	11.890
63026	11.890
7626	11.890
17558	11.890
12924	11.690
7515	11.89
10776	11.890
55090	11.999
21106526	11.999
7027	11.999
8490	11.790
14679	11.9
12809	11.890
13864773	11.996
7387	11.850
11998	11.890
11763	11.89
6119	12.0
21170543	11.850
8141	11.989
12810	11.890
21106016	11.999
6341	11.996
13860641	11.993
10364	11.85
21106583	11.890
9614	11.998
16268	11.999
7514	11.890
13875281	11.999
15846	11.953
11170	11.999
8157	11.009
11087	11.999
7391	11.850
13875320	11.999
13619	11.890
7465	11.999
6248	11.890
55085	11.996
29036	12.0
15480	11.999
5889	11.994
8552	11.996
55110	11.996
21106133	11.996
13860775	11.994
7882	11.996
13838404	12.0
8576	11.993
11909	11.953
11875	11.996
19231	11.989
7678	11.996
11530	11.9
361265	11.994
62737	11.994
447	11.996
15443	11.9
66464	11.996
6728	11.996
971	11.996
62577	11.999
66754	11.994
10301338	11.999
12640	11.989
21069	11.996
10008	11.994
177126	11.999
21111768	11.994
87514	11.890
10989	11.85
2016737	11.890
7225	11.953
8524	11.997
1013221	11.999
11107	11.994
21349	11.953
2005898	11.995
8537	11.996
5978	11.999
1477	11.996
11694	11.890
6332	11.999
2005963	11.999
7690	11.994
7683	11.996
13835293	11.996
61707	11.994
2005897	11.999
12225	11.989
66578	12.0
11244	11.994
1414905	11.999
60308	11.998
26072	11.9
12444	11.79
17801	11.890
10759	11.89
15794	11.890
11064	11.89
11370	11.89
18604	11.9
6149	11.998
66568	11.8
6156	11.998
7334	11.890
10420	11.890
13400	11.89
7419	11.850
25609	11.890
10571	11.996
14729	11.89
7621	11.89
21111805	11.999
10534	11.9
70705	11.890
14753	11.9
12807	11.890
7627	11.890
11410	11.790
21111882	11.999
21132380	11.890
13839109	11.89
13471	11.890
7672	11.999
7641	11.890
7689	11.999
7676	11.999
21106169	11.997
13863629	11.989
11062	11.9
13248	11.999
6042	11.999
8335	11.890
7673	11.999
13860692	11.994
10001	11.890
7881	11.999
11655	11.850
11783	11.999
11765	11.999
13856579	11.953
28777	11.994
7802	11.890
67360	11.953
13860335	11.996
11210	11.996
7890	11.890
11077	11.890
7803	11.996
7229	11.996
13842613	11.890
13835895	11.996
7883	11.989
630	11.89
9349	11.998
11862	11.999
21106134	11.999
13876621	11.953
13881329	11.999
9917	11.997
21105871	11.996
1031	11.890
7521	11.890
7235	11.999
6726	11.999
1071	11.994
11063	11.996
287294	11.996
60121	11.996
59438	11.996
12150	12.0
12144	11.9
61553	11.994
7611	11.997
14991	11.994
59556	11.996
13835151	11.994
9350	11.850
13844	11.9
96573	11.996
11066	11.997
62628	11.996
9357	11.997
66996	11.999
14609	11.994
10432	11.999
1479	11.994
7610	11.994
11708	11.999
10467	11.994
8882	11.995
7651	11.994
764	11.996
653	11.996
392	11.996
24633	11.994
9611	11.994
5705	11.994
11757	11.890
69826	11.9
13450	11.890
7747	11.890
11603	11.890
7628	11.890
7694	11.89
7065	11.89
13837280	11.999
16383	11.999
8568	11.890
7794	11.890
24634	11.9
21105900	11.890
8514	11.790
14205	11.999
11660	11.890
19110	11.9
15432	11.999
11741	11.890
21896	11.89
13875230	11.999
6406	11.996
13840690	11.999
11041	11.9
17474	11.999
13875392	11.999
7891	11.790
12067	11.996
13402	11.890
16486	11.989
6252	11.997
6135	12.0
10236	11.890
9228	11.999
5730	11.999
8160	11.9
13673	11.850
13875180	11.999
7013	11.999
7224	11.953
11180	11.996
12221	11.999
7392	11.996
7903	11.998
63871	11.996
11882	11.890
21106525	11.993
13851576	11.999
7893	11.996
7894	11.989
19108	11.999
13869480	11.994
924	11.850
13840647	11.993
13875160	11.999
6409	11.994
6654	11.998
11057	11.997
6630	11.890
62314	11.999
59426	11.993
370	11.996
7007	11.999
17221	11.996
14890	11.996
7901	11.996
78543	11.996
13875258	11.999
7241	11.953
13849	11.994
9563	11.994
15708	11.890
13875432	11.850
21111781	11.989
14436	11.9
13875219	11.999
7795	11.996
21106513	11.999
28982	11.996
18685	11.996
13839174	11.89
78	11.953
13860491	11.993
62877	11.999
13868660	11.999
8665	11.996
13869414	11.994
11021	11.996
7519	11.999
13842573	11.850
11242	11.999
333	11.996
7480	11.9
13869339	11.999
62226	11.890
13839151	11.890
59439	11.999
7236	11.9
11038	11.999
6991	11.994
16257	11.989
13646	11.850
11350	11.996
7634	11.989
9849	11.996
10955	11.989
6983	11.996
10251740	11.994
6652	11.996
1131173	11.997
9546	11.995
7632	11.9
1013196	11.999
23718	11.890
11179	11.890
10795	11.890
10445	11.890
10742	11.89
7657	11.890
6338	11.999
8659	11.009
7248	11.790
8531	11.850
11818	11.890
61026	12.0
10428	11.890
10253	11.890
11911	11.999
11790	11.89
13040	11.890
7509	11.890
13473	11.850
12829	11.890
21242799	11.850
13451	11.890
14888	11.890
6176	11.890
8013	11.999
13032	11.890
21106562	11.850
7448	11.890
21168731	11.999
13875381	11.890
61200	11.997
7879	11.999
11607	11.953
13839308	11.953
7129	11.850
16887	11.890
8579	11.999
7900	11.999
7744	11.890
11879	11.953
6628	11.994
21106155	11.993
21111850	11.999
11883	11.890
7866	11.996
13881571	11.999
9360	11.996
14787	11.995
12451	11.890
13856009	11.850
13848467	11.996
8138	11.998
9326	11.998
13644	11.850
6677	11.996
70682	11.999
72625	11.999
7132	11.850
13835630	11.996
12060	11.996
66344	11.993
6990	11.999
21105859	11.996
6985	11.994
66551	11.9
8098	11.850
74169	11.994
191427	11.999
21106167	11.953
7135	11.9
11091	11.996
6277	11.996
207215	11.989
7915	11.996
6177	11.996
13861	11.997
21168837	11.999
15526	11.996
13033	11.996
67466	11.89
7388	11.989
14165	11.999
10649	11.996
13866817	11.850
7635	11.989
14163	11.996
21111896	11.999
4642	11.989
11500	11.999
25942	11.993
21105878	11.996
5704	11.9
8911	11.9
25757	11.999
65689	11.996
13836283	11.994
16011	11.999
6253	11.999
24133	11.999
16237	11.999
60497	11.953
11651	11.996
7518	11.999
21106018	11.996
60662	11.999
73531	11.953
63882	11.989
12823	11.999
34095	11.996
56234	11.850
63307	11.999
87265	11.999
21844	11.994
12821	11.850
11181	11.996
521915	11.999
22006	11.994
12822	11.994
13868640	11.850
63180	11.996
9964	11.996
8852	11.850
10471	11.989
16931	11.996
13837582	11.994
13837760	11.996
5975	11.89
4878	11.996
12478	11.996
123	11.850
11022	11.996
8528	11.994
11080	11.994
68939	11.999
68309	11.994
63658	11.989
14346	11.994
68282	11.989
5408	11.850
5596	11.996
11489	11.890
62546	11.89
1017	11.989
13421	11.890
26065	11.890
21998	11.89
26066	11.890
7581	11.890
17976	11.890
26068	11.890
7580	11.890
15532	11.999
9478	11.890
13231	11.890
21106102	11.996
63017	11.999
9903	11.9
73565	11.890
7511	11.890
21106174	11.890
7659	11.890
6977	11.890
13865426	11.890
6794	11.850
