Compound Id	FragmentComplexity
291	16.0
6084	47.0
11148	14.01
855	23.01
864	23.01
6089	34.01
6088	14.01
6094	94.0
6085	23.0
6103	58.01
7956	58.01
682	58.01
6100	43.01
6087	14.01
654	75.01
6101	75.01
6086	7.0
7954	58.0
6097	43.01
7555	157.0
1004	109.01
172	30.01
6092	43.01
7560	109.01
11729	109.01
31029	88.01
6102	19.01
5834	88.02
10046	2.02
7556	109.0
9644	2.02
11151	19.01
7712	236.0
6111	75.0
10437	88.01
3168	176.01
7721	176.01
6114	43.01
13837190	124.02
9233	176.01
7577	37.02
21171407	52.01
7566	52.01
258	176.01
13835977	88.01
6093	10.02
7728	124.02
512	69.01
21106015	52.02
7716	205.01
9990	69.0
13836021	149.02
6106	10.02
7713	176.0
21106179	4.03
13836674	52.01
6124	109.01
11835	259.01
7714	149.01
7553	52.01
1114	132.01
7732	124.01
11833	259.01
7711	149.01
6138	88.01
7717	101.01
7557	69.0
11807	124.0
7786	195.02
11834	259.01
256	124.01
7767	331.0
8894	132.0
3644	109.01
7559	37.01
11830	226.01
7567	24.01
7734	80.02
6040	259.01
7776	259.01
12977	80.01
13865015	69.02
9354	52.02
12450	80.01
693	19.02
278	10.02
13835550	109.02
13835336	88.02
10694	24.02
9480	10.02
11723	37.02
6308	236.0
64095	205.0
11099	124.0
7957	109.0
11109	259.0
12209	195.0
6121	88.01
6108	2.02
7737	149.01
7827	358.01
14512	176.01
8543	80.02
7770	166.01
1095	149.01
6104	10.02
12011	358.01
175	69.01
8896	205.0
7782	139.02
7772	195.01
8560	442.0
31016	195.0
6310	205.01
7738	61.01
7815	358.01
12010	319.01
9630	282.02
2916	10.02
7739	61.01
13839553	124.02
7736	61.01
7811	399.01
171	37.02
659	69.02
11728	37.03
173	52.02
2006126	52.02
11167	132.0
10765	176.0
7604	331.0
221079	294.0
7024	294.0
11110	195.0
10730	52.01
10766	176.0
8544	149.0
10113	176.0
68268	282.0
11121	358.0
6307	149.01
29000	259.01
13854808	195.02
6127	24.02
62433	259.01
6125	37.02
11125	214.02
72268	124.01
62241	124.0
10340	114.01
6321	124.01
11871	385.02
7810	319.01
11846	247.01
13836399	385.02
6311	101.01
6313	124.01
21168808	114.01
5993	101.02
13837112	80.02
349	569.0
19100	428.01
8554	226.01
10018	166.02
1020	91.01
13837650	37.02
7837	473.01
2275	61.02
1005	80.02
7835	520.01
13854130	37.02
7791	259.01
13837537	195.02
6336	44.03
236	114.0
11832	139.02
7787	294.0
7551	37.02
29015	166.02
13835209	195.02
8903	70.02
6334	101.02
13837702	259.02
8904	70.02
11229	61.03
7790	114.03
60524	101.02
13420	80.03
121383	91.0
6330	101.02
10951	70.04
1913	61.03
13835459	226.02
10020	166.02
6134	4.03
3530	44.04
6153	4.04
11232	205.0
14893	226.0
12201	259.0
6309	124.0
14686	399.0
12446	259.0
81237	101.01
12430	259.0
7674	399.0
14966	226.01
11551	442.0
11094	442.0
8158	399.01
11222	124.0
9484	29.03
122546	195.0
7605	226.01
76541	385.0
7788	226.0
15221	385.0
7833	473.0
8569	604.01
1108	183.0
21106561	247.01
10653	139.02
11128	214.01
8525	139.02
10536	604.01
7607	195.01
13839107	412.03
11865	428.01
13839199	154.01
13839575	412.03
11866	344.01
5977	4.03
7856	657.01
7715	80.02
11863	428.01
6305	80.02
7849	712.0
10498	44.02
7852	604.01
11874	553.01
6323	61.02
7838	385.01
7016	195.01
10733	149.01
13835401	319.03
29101	61.01
7710	80.02
7688	127.02
119963	44.03
21106520	154.01
7677	358.01
13839441	282.02
9646	236.0
932	604.01
13835180	214.03
259	139.02
7851	657.01
6147	176.01
11526	91.03
13874733	154.01
11750	91.03
6333	44.02
6146	176.01
13835604	247.03
67424	127.02
13884495	16.02
68156	319.02
61471	319.02
5439	114.03
10772140	29.03
72718	91.04
6331	61.02
4200	44.03
10464	166.02
1143	37.03
11787	102.02
62181	102.03
1664	127.02
234	114.03
61632	176.01
6148	29.03
84221	294.0
67620	319.0
6340	331.0
18792	358.0
121154	282.0
11086	319.0
121113	319.0
15438	520.0
454272	282.0
121640	294.0
14751	520.0
14672	259.01
11106	569.0
21073	358.0
6163	331.0
7219	268.0
7706	214.02
126201	282.0
21106560	233.01
2803	259.01
29025	604.0
10465	70.03
21105905	233.01
7022	91.02
7463	214.02
7244	385.02
7242	233.01
55123	412.02
7850	553.01
11095	282.01
11025	282.01
13840	101.01
11838	166.0
29026	457.01
7878	639.02
11029	473.01
21106032	139.02
7238	200.01
30349	91.02
6326	29.03
7701	214.02
