Compound Id,mpC
18,204.7
50,115.3
65,57.7
78,50.3
100,72
123,117.3
124,151
132,215.2
171,16.8
172,-125.1
173,80.2
175,-94.6
191,152.8
222,146
234,198
236,5.5
238,122.4
256,-97.8
258,-89.5
259,-6.3
278,8.2
291,-182.3
305,153.2
331,158.8
333,66.5
349,-56.9
352,218.2
370,16.5
376,105.3
387,-92.4
392,188.4
434,157
447,29.5
512,-80.5
526,106.3
532,128.7
630,-2.4
653,184
654,-92.1
655,205
659,18.3
682,-114.1
693,2.2
723,97.1
733,18
737,78.8
764,172.2
773,90.2
776,52.2
855,-122
864,-97.9
880,114.4
911,129.9
913,237
924,2.4
932,-15.5
953,188.5
955,113.3
960,61.8
967,173.6
970,99.4
971,41.2
993,136.8
1004,-126.5
1005,-20.9
1017,190.4
1020,-41.9
1031,12.2
1071,23.8
1072,28.7
1078,187.1
1095,-96
1103,316.4
1108,-94
1114,-117
1118,116
1143,133.8
1278,117.3
1306,37.8
1346,39.2
1441,138.8
1446,225.5
1477,110.5
1479,99.5
1484,128.5
1540,191
1583,114.5
1611,179.7
1615,63
1664,158.8
1668,106.8
1675,143.2
1688,43.5
1847,75.2
1904,150.5
1909,259.8
1912,188.5
1913,89.2
1928,104.2
1991,171
1998,208.6
2034,229.1
2063,199
2066,108
2068,271.9
2070,91.5
2075,196.3
2079,156.6
2117,179.7
2160,149
2169,173.5
2179,105
2181,72.5
2241,128.1
2246,177.9
2275,-33.7
2283,217.3
2356,129.2
2359,198.5
2372,153.3
2384,115.8
2387,138.6
2388,57.8
2424,237.5
2447,76.8
2457,190.6
2468,151.2
2562,157.8
2607,64.5
2621,180
2626,128
2629,42
2632,191.3
2656,1.2
2673,148.5
2695,119.2
2710,147.5
2803,-84.5
2810,112.4
2839,156
2849,175.9
2863,31.4
2867,139.5
2911,329.4
2915,98
2916,-52.6
2923,144.1
2928,108.7
2951,213.5
2972,77.8
2973,51.8
2980,138.5
2991,48.3
3005,70.6
3008,158.4
3039,240.8
3168,-116.1
3208,163.4
3214,151.4
3215,160.8
3218,186
3228,84.5
3229,7.2
3268,282
3300,167.2
3322,205.8
3345,61.3
3368,170.1
3395,31.8
3438,149.9
3472,165.2
3508,101.3
3521,271.9
3530,142.5
3581,97.8
3584,159
3596,94
3613,134.2
3618,180.2
3635,171.3
3644,-89.2
3708,153.7
3756,43.8
3762,166
3765,182.1
3871,92.3
3915,104.2
3924,104.7
3973,-35.2
3987,35.8
4024,147.2
4029,159.8
4200,103.8
4209,44.8
4233,185.2
4268,229.4
4317,151.3
4355,183
4433,155.8
4453,160.1
4471,64.8
4489,114.4
4518,147.2
4575,129.6
4582,52.5
4586,95.5
4590,135.4
4596,149.8
4599,174.6
4600,261.2
4611,50.7
4617,105.5
4642,56.2
4735,120.2
4740,281.4
4742,196.8
4775,90.8
4819,233.3
4878,110.8
4959,229.2
4962,85.7
4963,141
5004,132.8
5026,254.3
5027,227
5050,81.5
5075,190.6
5091,69.4
5129,182.8
5131,166.9
5134,235.6
5138,168.1
5142,165.5
5145,191.8
5163,180.5
5165,169.7
5237,303
5242,126.5
5302,171
5304,128.6
5363,56.6
5374,46.3
5376,200.9
5399,42.3
5408,164.2
5423,226.5
5437,156.3
5439,48.8
5507,131.5
5515,138.5
5531,178.2
5532,161.8
5555,143.8
5561,162.5
5562,168.5
5571,174.8
5584,177.5
5593,171
5596,174.8
5606,186.7
5612,207.5
5622,129
5632,172.8
5686,193.5
5704,59
5705,218.5
5730,-23
5739,159
5740,154.3
5786,48.2
5816,198.8
5820,139
5834,97
5878,184.2
5882,240.4
5889,-6.1
5899,142.8
5931,-24.3
5966,61.5
5975,107.2
5977,-63.2
5978,109.3
5993,-60.8
6023,49.8
6032,150.5
6033,138.5
6040,-78.5
6042,-31.1
6057,109.2
6079,241.8
6080,145.5
6084,-183
6085,-169.1
6086,-80.8
6087,-97.4
6088,-65.8
6089,-93.2
6092,-118.9
6093,-88
6094,-187.8
6097,-138.8
6100,-109.5
6101,-81.1
6102,-46.5
6103,-147.9
6104,-95.5
6106,5.8
6108,-111.8
6111,-127.4
6114,-111.4
6119,-56.3
6121,-117.3
6124,-130.8
6125,-97
6127,-112.2
6134,120.8
6135,-28.8
6138,-112
6143,-5.8
6146,25.4
6147,0.2
6148,-130.9
6149,-110.8
6153,-183.8
6156,-99.5
6160,80
6163,-99.8
6164,52.2
6165,-9.7
6170,-5.5
6175,131.8
6176,-52.5
6177,34.8
6179,-28.9
6191,-100.4
6208,200.7
6213,201.3
6214,112.8
6215,163.3
6216,92.8
6220,150.4
6221,141.6
6222,102.7
6229,127.8
6232,289.5
6235,150
6246,177
6248,-23.8
6252,-29.5
6253,64.7
6270,-84.5
6277,32.2
6287,-56.2
6296,-8
6305,-55.2
6307,-118
6308,-159.9
6309,-146
6310,-85.7
6311,-71.9
6313,-65.2
6321,-86.6
6323,-44.6
6326,-36.2
6330,79.6
6331,84.2
6332,119.5
6333,13
6334,27.3
6336,0
6338,-89.2
6340,-128.7
6341,-46.2
6342,-43.4
6369,93
6371,154.5
6373,148.4
6381,86.2
6386,33.5
6389,40.3
6406,-47.9
6409,8.1
6420,15.2
6433,198.5
6438,270.5
6442,171
6447,205.2
6453,161.5
6454,252.5
6464,142.8
6468,259.5
6478,94.3
6479,41
6480,96.2
6481,71.1
6482,165.2
6484,36.6
6505,208.8
6508,56.4
6514,109.2
6515,174.5
6517,214.8
6520,74
6546,158.5
6550,236
6552,131.4
6554,128
6574,30
6575,68.7
6576,74.2
6585,36.8
6586,161.3
6588,59.8
6592,114.9
6593,244.9
6601,133.3
6610,136.8
6620,61.2
6621,74.5
6628,1.5
6630,10.6
6633,67.1
6639,326.5
6642,164.9
6652,138.5
6654,10.2
6655,-6.5
6656,-31
6657,-6.9
6658,156.2
6674,148.2
6675,162.4
6677,15.6
6688,122.2
6705,185.2
6707,152
6709,37.7
6713,116.8
6714,88.2
6716,60.7
6724,145
6725,7.3
6726,20
6728,37.3
6735,-1.3
6739,95.5
6746,61.5
6748,50.4
6751,156.2
6753,175.5
