Compound Id	ALOGP [AMR]
13837650	20.656
29015	22.087
258	18.999
7714	22.050
7882	36.468
7837	27.734
7812	24.822
932	30.645
6040	21.910
1004	16.087
10445	38.149
6320	20.672
6312	21.545
6146	22.065
21011	23.583
3644	17.760
29000	24.456
175	16.195
6102	11.623
236	0.0
7224	6.199
7673	8.599
6321	21.218
29012	28.150
5730	26.849
7676	5.616
5977	21.364
7787	17.470
7679	23.179
14840	35.090
8569	34.487
121365	40.147
6104	16.438
3168	21.6
12181	32.847
7890	40.913
682	12.555
8525	21.707
7219	10.351
9614	0.873
8560	26.355
7767	23.444
864	8.261
6335	17.413
14672	26.816
7674	26.174
7641	11.004
11752	22.856
11815	18.784
13014	28.223
6334	18.563
28994	14.491
12814	25.311
7849	32.179
349	29.267
6967	11.004
7712	20.532
7636	21.652
7521	11.004
29080	23.889
7737	16.867
1108	5.502
13619	38.002
