Compound Id	s
13837650	-0.134
29015	-0.033
258	-1.011
7714	-0.569
7882	-1.319
7837	-1.063
7812	-1.164
932	-1.044
6040	-1.229
1004	-1.029
10445	-1.685
6320	-0.976
6312	-1.127
6146	-0.947
21011	-1.331
3644	-1.049
29000	-1.273
175	-0.121
6102	0.326
236	-0.588
7224	0.059
7673	-0.424
6321	-0.08
29012	-0.501
5730	-1.159
7676	-0.521
5977	-0.403
7787	-1.678
7679	0.058
14840	-1.741
8569	-0.985
121365	-0.436
6104	-0.187
3168	-0.82
12181	0.089
7890	-1.644
682	-1.035
8525	-0.446
7219	-0.723
9614	-0.374
8560	-1.755
7767	-1.71
864	-0.714
6335	-0.15
14672	-0.817
7674	-1.982
7641	-0.603
11752	-0.442
11815	-0.166
13014	0.257
6334	-0.172
28994	-0.287
12814	0.225
7849	-1.713
349	-1.84
6967	-0.813
7712	-1.568
7636	0.504
7521	-0.812
29080	0.601
7737	-0.384
1108	-0.644
13619	-1.661
