Compound Id	AutocorrelationPolarizability [ATSp4]
13837650	26.064
29015	84.607
258	48.031
7714	66.002
7882	361.430
7837	191.887
7812	138.920
932	247.242
6040	90.057
1004	16.795
10445	257.637
6320	45.927
6312	41.464
6146	0.0
21011	92.476
3644	0.0
29000	89.763
175	0.0
6102	0.0
236	116.939
7224	267.657
7673	270.501
6321	42.935
29012	157.103
5730	0.0
7676	229.687
5977	0.0
7787	128.855
7679	188.063
14840	325.799
8569	225.822
121365	385.676
6104	0.0
3168	48.354
12181	285.646
7890	441.616
682	0.0
8525	68.936
7219	321.839
9614	163.215
8560	157.830
7767	106.417
864	0.0
6335	32.798
14672	79.263
7674	231.306
7641	335.475
11752	82.567
11815	40.465
13014	314.886
6334	40.727
28994	13.573
12814	152.976
7849	268.576
349	212.329
6967	366.936
7712	60.335
7636	92.161
7521	330.009
29080	190.032
7737	0.0
1108	213.794
13619	383.561
