Compound Id	ChiPathCluster [SPC-4]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	0.816
6320	0.408
6312	0.408
6146	0.0
21011	0.289
3644	0.0
29000	0.289
175	0.0
6102	0.0
236	0.0
7224	0.493
7673	0.408
6321	0.408
29012	0.289
5730	0.0
7676	0.408
5977	0.0
7787	0.0
7679	0.408
14840	0.0
8569	0.0
121365	0.408
6104	0.0
3168	0.0
12181	1.138
7890	0.0
682	0.0
8525	0.289
7219	0.493
9614	0.408
8560	0.0
7767	0.0
864	0.0
6335	0.408
14672	1.061
7674	0.408
7641	0.742
11752	0.289
11815	0.0
13014	1.138
6334	0.408
28994	0.0
12814	1.138
7849	0.0
349	0.0
6967	1.138
7712	0.0
7636	0.742
7521	0.816
29080	1.207
7737	0.0
1108	0.408
13619	0.0
