Compound Id	v
13837650	4.18
29015	4.11
258	4.044
7714	4.456
7882	4.279
7837	4.317
7812	4.131
932	4.218
6040	4.077
1004	3.986
10445	4.399
6320	4.114
6312	3.968
6146	4.109
21011	4.201
3644	4.033
29000	4.399
175	3.942
6102	3.364
236	4.491
7224	4.028
7673	4.445
6321	4.148
29012	4.281
5730	4.618
7676	4.614
5977	4.395
7787	4.577
7679	4.315
14840	4.476
8569	4.524
121365	3.952
6104	4.324
3168	4.35
12181	4.088
7890	4.459
682	3.857
8525	4.15
7219	4.514
9614	4.54
8560	4.488
7767	4.463
864	3.549
6335	3.972
14672	4.425
7674	4.528
7641	4.535
11752	3.856
11815	3.73
13014	3.983
6334	3.833
28994	3.471
12814	3.674
7849	4.482
349	4.502
6967	4.559
7712	4.514
7636	3.421
7521	4.532
29080	3.29
7737	4.45
1108	4.524
13619	4.619
