Compound Id	Difference of heats of formation between phenoxyl radicals and the corresponding parent phenols as DeltaHf/10
Tab1-1	25.91
Tab1-2	24.44
Tab1-3	23.86
Tab1-4	24.14
Tab1-5	24.71
Tab1-6	23.45
Tab1-7	23.69
Tab1-8	23.3
Tab1-9	23.2
Tab1-10	22.55
Tab1-11	24.9
Tab1-12	22.57
Tab1-13	23.51
Tab1-14	24.04
Tab1-15	23.78
Tab1-16	21.35
Tab1-17	21.04
Tab1-18	21.11
Tab1-19	20.81
Tab1-20	22.2
Tab1-21	23.03
Tab1-22	20.81
Tab1-23	21.69
Tab1-24	22.7
Tab1-25	22.01
Tab1-26	21.99
Tab1-27	21.4
Tab1-28	19.49
Tab1-29	21.83
Tab1-30	19.73
Tab1-31	15.14
Tab2-1	24.54
Tab2-2	25.19
Tab2-3	25.2
Tab2-4	23.78
Tab2-5	24.43
Tab2-6	23.85
Tab2-7	23.26
Tab2-8	23.08
Tab2-9	21.47
Tab2-10	22.67
Tab2-11	22.41
Tab2-12	21.38
Tab2-13	22.1
Tab3-1	20.56
Tab3-2	20.49
Tab3-3	20.72
Tab3-4	20.43
Tab3-5	20.37
Tab3-6	19.89
Tab3-7	19.74
Tab3-8	19.75
Tab3-9	19.98
Tab3-10	19.93
Tab3-11	19.94
Tab3-12	19.37
Tab3-13	19.68
Tab3-14	19.98
Tab3-15	19.54
Tab3-16	19.88
Tab3-17	19.57
Tab3-18	19.49
Tab3-19	19.66
Tab3-20	19.72
Tab3-21	19.99
Tab3-22	18.53
Tab3-23	18.35
