Compound Id	MEDV-33
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	0
16	0
17	0
18	1
19	0.25
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0.25
30	0.1111
31	0
32	1
33	0
34	0
35	0
36	0
37	2.25
38	1
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	0.25
48	0.1111
49	0.0625
50	0
51	1
52	0.25
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	2.25
61	1.3611
62	0
63	0
64	1
65	0.25
66	0
67	1
68	0
69	1
70	0
71	0.25
72	0
73	0
74	2.25
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	1
83	0.25
84	0.1111
85	0.0625
86	0.04
87	0
88	1
89	0.25
90	0.1111
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	2.25
101	1.3611
102	1.1736
103	0
104	1.3611
105	0.5625
106	0
107	0
108	0
109	0
110	2.25
111	1
112	0.25
113	0.1111
114	0
115	1
116	0.25
117	1
118	0
119	0
120	1
121	0
122	1
123	0.25
124	0
125	1
126	0
127	0.25
128	0.1111
129	1
130	3.6111
131	0
132	0
133	0
134	0
135	2.25
136	2.25
137	0
138	1.3611
139	0
140	0
141	0
142	1
143	2.25
144	0
145	0
146	0
147	1
148	0.25
149	0
150	3.75
