Compound Id	Critical pressure
2	48.2
3	42.01
4	37.47
5	36
6	33.31
7	32.9
8	31.57
9	29.92
10	29.95
11	30.83
12	30.67
13	30.99
14	27.01
15	27.2
16	28.1
17	28.4
18	29.2
19	27.4
20	30
21	28.6
22	29.75
23	24.64
24	24.8
25	25.6
26	25.6
27	25.6
28	26.6
29	25.8
30	25
31	27.2
32	27.4
33	25.74
34	28.2
35	25.5
36	29
37	27.6
38	27.4
39	28.9
40	24.5
41	22.74
42	23.6
43	23.7
44	23.06
45	22.8
46	23.79
47	22.7
48	22.7
49	23.7
50	24.19
51	24.77
52	23.59
53	24.18
54	23.98
55	23.98
56	25.07
57	23.39
58	22.41
59	25.56
60	25.46
61	23.49
62	23.79
63	26.45
64	24.77
65	25.56
66	25.66
67	23.59
68	27.04
69	25.66
70	24.58
71	26.85
72	25.96
73	26.94
74	25.46
75	26.94
