Compound Id	Enthalphy at 300K
10	26.61
11	26.32
12	25.4
13	24.77
14	33.56
15	31.21
16	30.71
17	29.5
18	28.62
19	29.58
20	29.33
21	31.84
22	28.28
23	38.12
24	35.82
25	35.31
26	35.06
27	34.23
28	33.05
29	33.76
30	33.39
31	33.43
32	32.47
33	36.07
34	32.13
35	32.55
36	32.17
37	32.55
38	34.31
39	33.26
40	31.84
42	40.42
43	39.92
44	39.71
45	38.83
46	37.82
47	38.16
48	37.53
49	37.99
50	38.2
51	37.02
52	38.07
53	37.53
54	40.71
55	40.5
56	36.61
57	36.61
58	36.86
59	36.28
60	36.86
61	36.02
62	36.44
63	35.98
64	38.7
65	39.25
66	37.36
67	38.07
68	35.86
69	35.06
70	36.44
71	36.23
72	36.15
73	36.61
74	36.07
75	38.37
81	43.43
82	42.43
83	42.76
84	41.92
85	42.09
86	42.58
87	42.8
88	41.8
89	42.47
90	41.63
91	42.3
92	41.51
93	45.31
94	45.1
95	41.3
96	41.05
97	40.5
98	40.96
99	41
100	40.9
101	40.12
102	39.75
103	40.54
104	39.98
105	41.13
106	40.54
107	40.46
108	40.46
109	40.08
110	41.14
111	43.3
112	43.64
113	42.93
114	42.13
115	42.47
116	43.35
117	42.51
118	41.46
119	44.85
120	43.1
121	40
122	39.25
123	39.54
124	40.29
125	38.83
126	39.37
127	40.04
128	39.16
129	38.87
130	40.71
131	39.87
132	40.5
133	41.92
134	40.7
135	42.43
137	40.29
138	41.34
139	39.92
140	40.42
141	42.43
142	43.6
143	40.46
144	38.62
145	38.81
146	38.41
147	38.87
148	38.58
149	39.25
150	39.25
