Compound Id	Heat of atomization at 25C
3	4000.45
4	5176.18
5	5184.56
6	6349.91
7	6357.95
8	6369.46
9	7524.1
10	7531.22
11	7528.54
12	7542.48
13	7534.69
14	8698.16
15	8705.32
16	8702.68
17	8716.54
18	8709.63
19	8712.39
20	8711.94
21	8700.04
22	8715.2
23	9872.22
24	9879.26
25	9876.41
26	9875.87
27	9888.51
28	9877.71
29	9883.19
30	9886.42
31	9883.9
32	9876.77
33	9874.65
34	9883.9
35	9887.92
36	9880.22
37	9881.22
38	9874.99
39	9878.75
40	9889.68
41	11046.24
68	11054.45
69	11054.2
70	11059.18
71	11053.45
75	11049.17
