Compound Id	Heat of formation in liquid at 25C
2	22.5
3	28.79
4	35.34
5	36.95
6	41.4
7	42.95
8	45.61
9	47.52
10	48.82
11	48.28
12	51
13	49.48
14	53.63
15	54.93
16	54.35
17	57.05
18	54.83
19	56.17
20	56.07
21	53.77
22	56.63
23	59.74
24	60.98
25	60.34
26	60.17
27	62.63
28	60.4
29	61.47
30	62.26
31	61.58
32	60.23
33	59.88
34	61.44
35	61.97
36	60.63
37	60.98
38	59.69
39	60.46
40	62.4
41	65.64
44	66.82
45	68.88
56	67.57
57	67.6
58	70.11
59	67.18
61	67.88
62	66.97
63	66.33
68	66.54
69	66.4
70	66.95
71	66.46
72	65.18
74	64.47
75	65.85
76	71.95
77	74.04
80	73.58
108	72.84
121	72.53
126	77.32
