Compound Id	molar refraction at 20C
6	25.2656
7	25.2923
8	25.7243
9	29.9066
10	29.9459
11	29.8016
12	29.9347
13	29.8014
14	34.5504
15	34.5908
16	34.4597
17	34.6166
18	34.3237
19	34.6192
20	34.3323
21	34.2827
22	34.3736
23	39.1922
24	39.2316
25	39.1001
26	39.1174
27	39.2525
28	38.9808
29	39.13
30	39.2596
31	39.0087
32	38.8453
33	38.9441
34	38.9249
35	39.2617
36	38.7617
37	38.8681
38	38.8362
39	38.7171
41	43.8423
42	43.8795
43	43.7296
44	43.7687
45	43.9138
46	43.6269
47	43.7393
48	43.8484
49	43.9258
50	43.687
51	43.5473
52	43.6378
53	43.6022
54	43.642
55	43.4907
56	43.6226
57	43.7638
58	43.9356
59	43.4347
60	43.3917
61	43.6474
62	43.6598
63	43.3407
64	43.655
65	43.6472
66	43.268
67	43.3746
68	43.2147
69	43.4359
70	43.8747
71	43.2016
72	43.4571
73	42.9542
74	43.4037
75	43.1134
