Compound Id	Surface tension at 20C
6	16
7	15
9	18.42
10	17.38
11	18.12
12	16.3
13	17.37
14	20.26
15	19.29
16	19.79
17	18.02
18	19.96
19	18.15
20	19.59
21	20.44
22	18.76
23	21.76
24	20.6
25	21.17
26	21
27	19.6
28	20.99
29	20.05
30	19.73
31	20.63
32	21.64
33	21.51
34	20.67
35	18.77
36	21.56
37	21.14
38	21.52
39	21.99
41	22.92
42	21.88
43	22.34
44	22.34
45	20.8
46	22.34
47	21.3
48	21.3
49	20.83
50	22.01
51	22.8
52	21.77
53	22.01
54	22.81
55	22.81
56	21.86
57	20.51
58	20.04
59	22.41
60	22.8
61	21.27
62	21.17
63	23.27
64	22.8
65	21.77
66	23.22
67	23.27
68	23.38
69	21.98
70	20.37
71	23.31
72	22.38
73	23.87
74	22.8
75	23.75
