Compound Id	TIC1
1	117.658
2	121.458
3	148.254
4	176.193
5	132.385
6	138.058
7	157.214
8	248.23
9	106.118
10	148.476
11	138.058
12	127.224
13	134.176
14	176.193
15	97.464
16	238.439
17	117.871
18	172.245
19	130.53
20	140
21	141.81
22	127.909
23	122.857
24	121.458
25	132.385
26	76.606
27	157.763
28	146.263
29	160.511
30	165.811
31	128.083
32	129.363
33	92.832
34	161.056
35	192.309
36	140.2
37	148.476
38	128.399
39	121.009
40	89.639
41	92.536
42	67.387
43	86.452
44	99.464
45	62.823
46	137.675
47	86.187
48	157.214
49	98.333
50	86.475
51	116.485
52	109.844
53	104.117
54	107.954
55	128.084
56	87.135
57	81.207
58	58.739
59	134.176
60	101.098
61	134.176
62	96.515
63	92.536
64	94.561
65	86.475
67	109.805
68	119.881
69	94.508
70	102.627
72	106.537
73	92.955
74	106.716
75	54.042
76	114.601
77	83.432
78	91.753
79	94.561
80	92.536
81	112.549
82	70.298
83	83.362
84	66.211
85	81.823
86	70.298
87	66.211
88	92.452
89	107.154
90	71.823
92	112.549
93	99.936
94	54.042
95	92.452
96	58.759
97	54.367
98	75.851
99	91.312
100	114.761
101	86.475
102	70.382
103	44.983
104	92.452
105	92.536
106	88.077
107	70.382
108	97.952
109	124.969
110	98.202
111	80.445
112	70.498
113	70.039
114	107.337
115	75.797
116	69.567
117	49.735
118	78.077
119	44.983
120	67.323
121	59.956
122	69.567
123	66.812
124	44.107
125	49.735
126	49.735
127	110.573
128	92.452
129	53.101
131	53.101
132	43.245
K1	58.739
K2	61.513
K3	58.739
K4	58.739
K5	61.513
K6	62.823
K7	62.823
K8	62.823
K9	62.823
K10	62.823
K11	62.823
K12	62.823
K13	62.823
K14	62.823
K15	62.823
K16	61.513
K17	130.647
K18	141.647
K19	141.578
K20	141.81
K21	127.909
K22	209.345
K23	153.624
